id;cswidth;csheight
514;2.0;2.0
3;0.95;5.95
1540;1.94;1.88
1028;0.02;2.62
9;5.3;18.23
1547;0.73;1.57
529;0.99;1.67
535;1.6;1.22
2071;0.93;1.74
2074;1.3;12.46
3114;1.15;8.55
557;0.87;1.23
48;0.59;3.77
2609;0.95;1.92
1074;0.86;2.3
1072;0.56;2.16
2097;4.23;4.24
2615;2.0;1.1
1081;1.08;1.08
2624;4.08;0.94
1603;1.88;2.64
68;2.06;3.15
1606;0.35;1.44
2120;0.55;3.39
1609;8.77;7.02
3150;1.33;12.47
594;1.04;5.34
1627;2.21;13.3
2151;0.38;1.91
107;1.15;1.97
1646;0.96;4.75
110;0.55;2.0
2162;1.73;3.48
628;0.24;2.03
2164;1.69;1.66
121;3.27;0.68
1659;2.58;0.86
1167;2.16;2.8
3226;0.05;0.73
1692;0.77;2.87
1182;6.88;22.79
165;0.84;0.81
678;3.26;3.37
167;0.81;5.56
1196;0.98;2.08
172;0.48;0.4
1710;4.31;3.22
3246;1.21;0.83
179;1.58;4.4
1717;1.67;1.67
1212;1.47;1.48
189;0.55;2.96
1728;0.59;2.45
1221;0.51;0.41
2763;1.53;4.5
2768;0.18;1.92
3281;0.14;3.79
2257;0.36;2.32
209;0.17;0.87
2272;0.23;2.98
3299;0.1;4.31
749;4.2;38.4
754;3.92;3.64
1781;1.48;2.51
247;2.95;3.77
763;1.0;1.4
2818;0.68;2.35
2307;0.78;2.32
266;2.78;5.58
3340;0.21;1.13
1297;0.85;1.51
3352;1.92;1.92
1820;2.0;2.0
2339;6.63;10.15
3366;0.58;1.21
2856;2.43;2.43
1321;1.33;2.42
2858;0.27;0.72
2358;0.63;3.77
2359;1.31;8.63
2876;7.15;24.92
321;0.2;1.24
2883;0.58;2.0
2375;4.0;3.1
3409;0.41;1.07
349;0.99;2.84
3435;0.59;1.65
879;2.26;6.29
3446;0.92;2.27
1401;0.55;1.04
3451;0.31;3.69
380;0.87;0.09
898;1.0;1.0
1924;0.74;0.77
1412;2.53;2.72
2949;0.63;3.01
1927;1.59;4.79
393;0.4;5.72
1421;0.43;1.57
1940;0.6;2.02
1433;0.11;2.63
925;0.84;12.69
927;0.73;2.97
2976;3.85;3.96
3488;2.35;1.86
940;1.09;0.74
3507;0.76;3.4
1460;1.21;6.5
436;0.15;6.69
2486;6.81;7.9
3515;0.27;3.42
1980;1.62;2.6
452;1.24;3.72
3014;1.22;2.73
1482;0.16;4.83
1490;3.19;3.44
2006;3.39;0.45
2012;0.67;1.14
2526;1.62;1.62
1506;1.4;2.0
2022;0.15;1.11
492;0.06;0.84
3065;2.63;0.93
1531;1.44;4.23
509;1.77;3.41
3071;0.65;3.05
