id;x;y;z
2053;725890.19;5028229.26;1521.75
1042;725881.11;5028093.96;1627.63
2582;725904.19;5028168.14;1614.25
1565;725879.09;5028096.39;1626.33
1054;725839.26;5028048.85;1682.6
3107;725880.58;5028092.83;1628.21
1572;725908.42;5028161.3;1615.19
2088;725886.25;5028232.87;1521.87
2095;725877.96;5028069.85;1629.97
2610;725884.39;5028235.59;1524.69
2619;725882.64;5028085.07;1628.8
1596;725855.72;5028040.42;1654.64
572;725866.96;5028038.81;1646.29
574;725880.29;5028084.14;1630.56
3134;725884.2;5028204.7;1573.33
64;725882.23;5028088.55;1628.21
587;725883.31;5028188.47;1581.32
1614;725884.12;5028139.54;1621.52
1107;725885.07;5028171.03;1590.85
3155;725884.22;5028209.4;1572.39
2143;725879.86;5028216.77;1553.58
1130;725894.51;5028226.4;1521.99
3197;725897.03;5028231.5;1506.71
2685;725835.0;5028050.0;1690.0
126;725877.87;5028071.83;1629.97
3201;725865.02;5028039.36;1648.65
133;725889.62;5028154.65;1611.78
654;725896.19;5028169.68;1612.95
3216;725868.5;5028232.61;1549.83
2705;725877.25;5028062.84;1632.2
662;725893.43;5028169.34;1612.02
2714;725886.66;5028197.35;1576.74
2727;725835.55;5028049.96;1685.77
690;725896.63;5028234.98;1506.12
2739;725896.12;5028231.51;1507.3
716;725884.89;5028074.09;1628.91
207;725869.46;5028228.91;1550.77
3285;725883.91;5028182.83;1582.97
3292;725885.88;5028169.02;1592.38
2789;725902.36;5028168.43;1614.13
1255;725892.74;5028229.04;1521.4
2291;725884.33;5028214.19;1555.58
249;725885.61;5028211.06;1571.22
1275;725880.87;5028235.54;1529.5
2816;725886.25;5028194.96;1578.98
3332;725876.82;5028050.62;1637.37
2824;725877.4;5028040.11;1639.13
1802;725871.72;5028040.14;1641.48
2828;725901.66;5028172.07;1614.36
3341;725859.82;5028040.88;1653.93
2325;725884.84;5028213.52;1571.1
1304;725849.79;5028042.14;1655.34
1827;725864.12;5028040.19;1665.68
2852;725886.14;5028167.15;1590.03
2345;725889.97;5028232.67;1516.81
1834;725882.82;5028200.88;1575.92
3371;725869.59;5028230.46;1550.42
2348;725904.03;5028163.89;1614.25
2860;725870.2;5028220.77;1553.23
1327;725884.59;5028177.3;1584.38
1847;725832.76;5028043.95;1674.13
2881;725886.47;5028164.47;1609.55
2886;725885.52;5028142.01;1620.11
841;725875.18;5028218.6;1553.23
1867;725880.88;5028088.52;1628.21
847;725873.16;5028224.92;1552.64
1361;725878.86;5028051.97;1635.37
1876;725882.82;5028177.96;1583.44
346;725882.46;5028070.98;1628.09
1373;725864.35;5028039.66;1656.52
372;725888.98;5028232.67;1520.93
1920;725876.47;5028055.46;1634.91
3478;725885.99;5028070.93;1632.32
2458;725911.05;5028158.2;1619.3
1948;725877.32;5028096.95;1626.22
928;725884.5;5028121.43;1624.47
416;725887.38;5028142.45;1618.94
2473;725881.62;5028214.31;1553.82
431;725878.0;5028104.42;1624.69
960;725878.27;5028057.52;1632.55
2500;725897.53;5028171.87;1613.66
1479;725869.82;5028235.98;1549.36
1993;725895.12;5028231.69;1512.47
3024;725886.68;5028150.23;1614.24
472;725887.64;5028146.53;1615.53
2015;725879.1;5028094.23;1627.74
1504;725885.93;5028129.59;1623.88
1505;725876.77;5028067.03;1630.68
1520;725893.91;5028233.02;1515.05
3059;725887.34;5028190.82;1579.68
1012;725884.98;5028171.92;1585.91
2038;725875.98;5028063.81;1631.03
504;725886.57;5028165.3;1597.56
505;725877.45;5028233.43;1549.12
2556;725838.92;5028046.58;1658.27
