number;short_name;status;type_of_correction;last_processing_date;total_length;percentage_csidm;number_connected_components;number_nodes;number_edges;number_cycles;country;latitude;longitude;altitude;license;citation;thanks
C001;Poteu;clean;no correction;06 Jun 2025;5517;92;1;853;862;10;Switzerland;46.1712;7.1735;600;To confirm;Unknown yet;
C002;FeesVD;clean;manual correction;06 Jun 2025;36318;85;1;5440;5605;166;Switzerland;46.6996;6.3407;866.86;To confirm;Unknown yet;
C003;FeesVS;clean;no correction;06 Jun 2025;3561;91;1;558;564;7;Switzerland;46.2233;7.0012;497;To confirm;Unknown yet;
C004;GrandCor;clean;manual correction;06 Jun 2025;4739;91;1;892;895;4;Switzerland;46.1926;7.0841;2660;To confirm;Unknown yet;
C005;Bouillon;clean;manual correction;06 Jun 2025;3794;0;1;723;729;7;Switzerland;47.8504;1.9375;0;To confirm;Unknown yet;
C006;DiableRouge;clean;manual correction;06 Jun 2025;265;97;1;43;43;1;France;43.0363;0.2191;580;unclear. may not be sharable;Unknown yet;
C007;Escargots;clean;no correction;06 Jun 2025;682;82;2;156;158;4;France;42.9611;0.3999;810;unclear. may not be sharable;Unknown yet;
C008;Artigaleou;clean;no correction;06 Jun 2025;1180;92;1;228;233;6;France;;;;unclear. may not be sharable;Unknown yet;
C009;Espelugues;clean;manual correction;06 Jun 2025;237;89;1;38;38;1;France;43.0959;-0.0607;420;unclear. may not be sharable;Unknown yet;
C010;Sarrazins;clean;no correction;06 Jun 2025;658;0;2;150;149;1;France;43.0921;-0.0489;420;unclear. may not be sharable;Unknown yet;
C012;Labastide;clean;no correction;06 Jun 2025;1507;94;1;197;200;4;France;;;;unclear. may not be sharable;Unknown yet;
C013;Monachou;clean;manual correction;06 Jun 2025;673;78;1;261;269;9;France;42.9286;0.3673;700;unclear. may not be sharable;Unknown yet;
C014;Bedat;clean;no correction;06 Jun 2025;4025;67;1;480;488;9;France;;;;unclear. may not be sharable;Unknown yet;
C015;Cardal;clean;manual correction;06 Jun 2025;884;82;1;174;181;8;France;42.735;0.0998;2130;unclear. may not be sharable;Unknown yet;
C016;Loup;clean;no correction;06 Jun 2025;560;92;2;140;138;0;France;43.0961;-0.0678;400;unclear. may not be sharable;Unknown yet;
C017;PicDuJer;clean;manual correction;06 Jun 2025;614;85;1;102;103;2;France;43.0784;-0.0319;909.4;unclear but probabl not sharable;;
C018;Tunnel;clean;no correction;06 Jun 2025;920;92;1;251;255;5;France;;;;unclear. may not be sharable;Unknown yet;
