number;short_name;status;type_of_correction;last_processing_date;total_length;percentage_csidm;number_connected_components;number_nodes;number_edges;number_cycles;country;latitude;longitude;altitude;license;citation;thanks
S001;AguaAzul;in github (cleaning in progress);no correction;05 May 2025;1821;0;1;91;91;1;Brazil;;;;Confidential - not to be published;Unknown yet;
S002;Caieira;in github (cleaning in progress);no correction;05 May 2025;3615;0;1;258;270;13;Brazil;;;;Confidential - not to be published;Unknown yet;
S003;CanalDaFumacinha;clean;no correction;06 Jun 2025;811;0;1;134;151;18;Brazil;-12.8931;-41.3236;;Confidential - not to be published;Unknown yet;
S004;Esconcio;in github (cleaning in progress);no correction;05 May 2025;3419;0;1;281;291;11;Brazil;;;;Confidential - not to be published;Unknown yet;
S005;GrutaAzul;in github (cleaning in progress);no correction;05 May 2025;1741;0;1;149;160;12;Brazil;;;;Confidential - not to be published;Unknown yet;
S006;Impossivel;in github (cleaning in progress);no correction;05 May 2025;9291;0;2;607;618;13;Brazil;;;;Confidential - not to be published;;
S007;LapaDoce;in github (cleaning in progress);no correction;05 May 2025;27028;0;1;1975;2138;164;Brazil;;;;Confidential - not to be published;Unknown yet;
S008;Torrinha;in github (cleaning in progress);no correction;05 May 2025;15148;0;1;984;1056;73;Brazil;;;;Confidential - not to be published;Unknown yet;
S010;Aspirateur;ready for cleaning;no correction;06 Jun 2025;1897;98;1;270;269;0;France;;;;unclear. may not be sharable;;
S012;Bret;ready for cleaning;no correction;06 Jun 2025;1208;94;1;237;241;5;France;;;;unclear. may not be sharable;;
S013;Everest;ready for cleaning;no correction;06 Jun 2025;531;96;1;94;94;1;France;;;;unclear. may not be sharable;;
S014;Malaval;ready for cleaning;no correction;06 Jun 2025;11984;96;1;2256;2275;20;France;;;;unclear. may not be sharable;;
S015;Souchon;ready for cleaning;no correction;06 Jun 2025;569;95;1;133;132;0;France;;;;unclear. may not be sharable;;
S017;Genie;ready for cleaning;no correction;06 Jun 2025;2846;51;1;176;175;0;France;;;;unclear. may not be sharable;;
