id;x;y
0;642.904;-264.549
1;653.03;-277.972
2;662.45;-296.34
3;662.214;-311.411
4;661.743;-325.069
5;663.392;-338.492
6;668.808;-351.444
7;677.992;-363.218
8;681.053;-366.986
9;683.643;-387.944
10;685.763;-401.367
11;685.763;-424.916
12;688.589;-436.219
13;694.947;-449.877
14;702.247;-457.884
15;714.728;-464.006
16;728.15;-470.129
17;738.983;-478.842
18;753.818;-494.149
19;762.767;-508.278
20;759.47;-525.233
21;762.296;-553.02
22;767.006;-571.859
23;777.838;-586.459
24;790.083;-597.292
25;807.509;-605.298
26;824.464;-612.363
27;832.942;-624.137
28;843.303;-633.557
29;855.078;-631.202
30;866.381;-623.666
31;880.981;-620.369
32;891.813;-624.137
33;906.414;-638.266
34;922.427;-650.041
35;933.73;-668.409
36;935.143;-685.364
37;935.143;-703.261
38;931.846;-716.919
39;673.753;-302.463
40;686.705;-311.176
41;691.179;-316.238
42;703.307;-312.942
43;715.905;-316.474
44;718.849;-325.187
45;723.912;-336.373
46;727.679;-351.797
47;728.327;-356.271
48;743.163;-365.455
49;759.882;-373.933
50;769.537;-385.001
51;776.602;-398.894
52;780.369;-410.198
53;781.547;-421.501
54;798.031;-435.159
55;806.744;-442.93
56;814.28;-454.469
57;825.347;-466.243
58;834.531;-475.192
59;847.719;-473.072
60;864.674;-474.721
61;877.625;-482.727
62;886.809;-491.205
63;894.58;-502.744
64;902.116;-518.757
65;908.474;-529.589
66;917.187;-540.893
67;927.313;-553.373
68;931.316;-571.27
69;932.494;-577.864
70;941.207;-587.283
71;950.391;-598.116
72;960.046;-608.948
73;964.755;-617.19
74;976.294;-631.555
75;980.298;-634.616
76;695.123;-334.135
77;701.011;-359.568
78;709.253;-371.342
79;722.911;-384.059
80;732.33;-401.485
81;743.634;-413.259
82;756.35;-424.562
83;757.527;-443.401
84;756.35;-467.421
85;760.824;-490.969
86;778.015;-518.757
87;785.727;-524.291
88;793.557;-529.825
89;803.212;-543.954
90;808.863;-559.025
91;811.689;-571.741
92;815.221;-584.929
93;817.341;-591.522
94;820.873;-600.0
95;796.265;-522.525
96;806.862;-522.819
97;818.754;-524.88
98;827.114;-528.647
99;837.357;-533.475
100;845.835;-540.363
101;858.963;-549.37
102;862.451;-579.601
103;863.393;-600.794
104;866.69;-612.569
105;860.803;-533.916
106;850.912;-516.726
107;842.906;-500.006
108;835.606;-482.816
109;872.577;-546.868
110;898.481;-566.884
111;918.262;-573.949
112;907.9;-579.13
113;910.491;-606.682
114;912.845;-626.463
115;917.084;-639.885
116;922.265;-649.305
117;707.678;-294.073
118;698.258;-271.938
119;687.897;-253.099
120;696.845;-363.66
121;720.166;-364.042
