from_id;to_id
0;1
0;88
1;2
2;3
2;83
2;88
3;4
3;82
3;84
4;5
4;25
4;26
5;6
5;31
5;32
6;7
6;39
6;40
7;8
7;45
7;46
8;9
8;57
8;58
9;10
9;63
9;64
10;11
10;73
10;74
11;12
11;79
11;107
12;13
12;73
12;102
13;14
13;72
13;111
14;15
14;71
14;112
15;16
16;17
16;70
16;71
17;18
17;66
17;67
18;19
18;54
18;55
19;20
19;48
19;49
20;21
20;36
20;37
21;22
21;34
21;35
22;23
23;24
23;86
23;34
24;25
24;33
24;85
25;89
25;32
26;27
26;31
26;82
27;28
27;80
27;30
28;29
29;30
29;42
29;90
30;31
30;41
31;40
32;33
32;39
33;34
33;38
34;37
35;36
36;69
36;49
37;38
37;48
38;39
38;47
39;46
40;41
40;45
41;42
41;44
42;43
42;91
43;44
43;60
43;100
44;45
44;59
45;81
46;47
46;57
47;48
47;56
48;55
49;50
49;54
50;51
50;53
50;69
51;52
52;53
53;54
53;68
54;67
55;56
55;66
56;57
56;65
57;64
58;59
59;60
59;62
60;61
60;101
61;62
61;76
61;98
62;63
62;75
63;74
63;81
64;65
64;73
65;66
65;72
66;71
67;68
67;70
71;72
72;73
74;75
74;79
75;76
75;78
76;77
76;99
77;78
78;79
78;110
79;108
80;82
82;83
84;85
85;86
85;87
87;88
88;89
90;91
91;92
91;100
92;93
93;94
93;100
93;96
94;95
95;96
96;97
96;101
97;98
98;99
98;101
100;101
102;103
102;111
102;107
103;104
103;113
103;106
104;105
105;106
106;107
106;109
107;108
108;109
108;110
111;112
111;113
