id;x;y
0;451.966;-237.241
1;697.923;-491.606
2;937.981;-235.757
3;1184.58;-992.978
4;1670.815;-487.787
5;1424.967;-236.699
6;2893.343;-994.495
7;2399.763;-485.844
8;2158.625;-237.17
9;2648.437;-237.17
10;1913.719;-240.938
11;2889.575;-986.959
12;3375.62;-485.844
13;3134.481;-237.17
14;3624.293;-240.938
15;3869.199;-248.474
16;4106.57;-485.844
17;4355.243;-240.938
18;4845.055;-244.706
19;5086.194;-489.612
20;5327.332;-244.706
21;4596.382;-990.727
22;2030.521;-1892.169
23;3741.095;-1884.634
24;2889.575;-2766.295
