id;x;y
0;272.153;-910.96
1;275.329;-931.478
2;296.704;-1002.356
3;297.512;-1004.992
4;311.244;-1057.197
5;328.905;-1127.136
6;347.744;-1197.782
7;367.525;-1260.893
8;384.48;-1327.771
9;392.015;-1092.049
10;399.787;-1119.365
11;414.858;-1184.595
12;431.577;-1247.941
13;440.643;-1271.843
14;467.415;-1144.695
15;476.835;-1174.366
16;483.899;-1197.444
17;291.271;-1116.907
18;295.039;-1136.688
19;312.936;-1201.682
20;323.298;-1227.115
21;301.162;-1261.025
22;303.988;-1273.27
23;310.581;-1294.464
24;219.683;-1126.327
25;225.806;-1153.172
26;244.174;-1214.87
27;263.484;-1278.451
28;264.426;-1288.342
29;182.948;-1178.134
30;194.251;-1224.289
31;202.257;-1245.012
32;181.064;-984.564
33;191.896;-1016.119
34;206.967;-1076.875
35;212.148;-1096.185
36;214.503;-945.002
37;232.4;-1009.996
38;237.58;-1033.074
39;161.283;-1023.655
40;296.695;-1002.358
41;316.704;-998.693
42;147.798;-1088.872
43;155.57;-1087.694
44;172.171;-1083.455
45;187.831;-1082.513
46;221.623;-1073.8
47;237.637;-1069.326
48;245.408;-1067.56
49;264.6;-1063.91
50;276.963;-1060.849
51;297.803;-1058.376
52;326.062;-1053.431
53;346.902;-1049.781
54;371.393;-1045.778
55;378.34;-1044.836
56;390.35;-1043.305
57;409.424;-1039.419
58;375.632;-1033.414
59;383.756;-1056.021
60;273.901;-1049.663
61;280.848;-1078.275
62;241.875;-1058.847
63;251.545;-1083.544
64;256.255;-1100.381
65;258.727;-1116.394
66;263.202;-1130.405
67;265.027;-1145.3
68;275.918;-1182.271
69;284.69;-1208.646
70;287.398;-1224.6
71;180.251;-1224.836
72;498.158;-1171.616
73;252.781;-1279.939
74;311.888;-1270.755
75;354.511;-1262.513
76;403.493;-1251.681
77;425.628;-1249.091
78;448.942;-1244.616
79;213.691;-1154.425
80;354.747;-1124.518
81;378.531;-1122.163
82;411.499;-1116.512
83;157.645;-1100.028
84;290.93;-928.358
85;262.672;-933.774
