id;fulladdress
17;GouffreDejaVu.1
17;GouffreDejaVu.-
27;GouffreDejaVu.2
27;GouffreDejaVu.-
5;GouffreDejaVu.3
24;GouffreDejaVu.4
24;GouffreDejaVu.-
6;GouffreDejaVu.-
6;GouffreDejaVu.5
8;GouffreDejaVu.6
1;GouffreDejaVu.7
30;GouffreDejaVu.-
30;GouffreDejaVu.8
15;GouffreDejaVu.-
15;GouffreDejaVu.9
25;GouffreDejaVu.-
25;GouffreDejaVu.10
18;GouffreDejaVu.-
18;GouffreDejaVu.11
29;GouffreDejaVu.12
13;GouffreDejaVu.-
13;GouffreDejaVu.13
28;GouffreDejaVu.-
28;GouffreDejaVu.14
31;GouffreDejaVu.-
31;GouffreDejaVu.15
32;GouffreDejaVu.-
32;GouffreDejaVu.16
12;GouffreDejaVu.-
12;GouffreDejaVu.17
10;GouffreDejaVu.-
10;GouffreDejaVu.18
21;GouffreDejaVu.-
21;GouffreDejaVu.19
4;GouffreDejaVu.-
4;GouffreDejaVu.20
7;GouffreDejaVu.-
7;GouffreDejaVu.21
20;GouffreDejaVu.-
20;GouffreDejaVu.22
19;GouffreDejaVu.-
19;GouffreDejaVu.23
11;GouffreDejaVu.-
11;GouffreDejaVu.24
9;GouffreDejaVu.-
9;GouffreDejaVu.25
16;GouffreDejaVu.26
22;GouffreDejaVu.-
22;GouffreDejaVu.27
14;GouffreDejaVu.-
14;GouffreDejaVu.28
0;GouffreDejaVu.29
3;GouffreDejaVu.-
3;GouffreDejaVu.31
26;GouffreDejaVu.-
26;GouffreDejaVu.32
2;GouffreDejaVu.-
2;GouffreDejaVu.33
23;GouffreDejaVu.-
23;GouffreDejaVu.34
