id;x;y;z
17;0.56;1.12;0.46
17;2.15;-0.58;0.11
17;0.1;-1.67;-0.98
27;3.37;-8.67;-2.35
27;2.08;-4.14;-2.55
5;3.34;-4.2;-21.66
5;-1.47;-7.06;-21.39
5;1.9;-7.03;-21.52
5;3.29;-7.19;-21.58
5;0.38;-6.29;-17.08
5;3.38;-3.9;-19.34
5;-0.1;-5.98;-24.47
24;0.04;-7.3;-24.6
24;-0.8;-7.19;-19.48
24;-3.7;-6.93;-23.85
24;-3.21;-5.97;-24.46
24;-1.77;-7.73;-24.58
24;-6.83;-7.78;-25.34
24;-7.02;-8.47;-21.35
24;-3.56;-7.0;-23.41
24;-3.58;-7.0;-24.28
24;3.09;-6.72;-23.36
24;3.36;-5.64;-23.57
24;-0.28;-6.01;-26.28
6;-4.71;-10.72;-27.35
6;1.27;-10.28;-26.53
6;-3.19;-8.32;-26.91
6;-3.64;-7.49;-24.28
6;-8.6;-8.64;-28.7
6;-5.75;-6.52;-28.52
6;-5.34;-5.9;-28.48
6;-7.0;-6.29;-28.57
6;-6.04;-6.96;-23.59
8;-5.63;-3.82;-29.86
8;-6.6;-2.22;-30.48
8;-6.13;-3.12;-30.56
8;-3.19;-2.0;-30.34
8;-3.55;-2.91;-29.97
8;-6.44;-3.23;-30.04
1;-5.18;1.2;-31.31
1;-9.5;1.02;-31.88
1;-3.81;0.97;-31.47
1;-5.3;0.57;-30.87
1;-5.17;0.55;-31.7
30;-3.07;-8.64;-25.52
30;-4.51;-10.44;-27.05
30;-3.74;-6.05;-26.37
30;-6.99;-8.37;-27.75
15;-12.08;-11.8;-27.57
15;-12.13;-9.47;-27.96
15;-12.37;-8.78;-28.62
15;-12.04;-10.55;-27.72
15;-11.83;-10.46;-28.76
25;-18.23;-11.53;-28.28
25;-18.01;-10.15;-28.28
25;-17.94;-10.14;-29.13
25;-17.79;-8.39;-29.08
25;-21.17;-9.45;-28.87
25;-19.8;-7.53;-29.14
18;-21.84;-8.83;-29.49
18;-20.5;-6.86;-29.59
18;-20.77;-7.52;-29.12
18;-20.87;-7.56;-30.17
18;-22.92;-6.47;-29.65
29;-26.29;-5.17;-30.3
29;-27.06;-4.48;-30.09
29;-26.58;-4.4;-30.35
29;-25.68;-4.84;-29.86
29;-25.81;-4.57;-31.0
29;-25.26;-4.13;-30.62
13;-27.79;-3.66;-31.34
13;-27.35;-2.43;-30.93
13;-27.69;-2.71;-32.49
13;-29.28;-1.66;-31.06
13;-28.68;-2.12;-31.36
28;-30.79;-0.69;-31.92
28;-32.62;-2.0;-32.75
28;-32.76;0.26;-32.22
28;-30.53;-3.0;-32.38
28;-30.79;-2.11;-31.87
28;-30.74;-1.8;-32.76
31;-36.28;-4.69;-33.25
31;-36.24;-4.43;-33.13
31;-34.01;-5.31;-32.84
31;-35.16;-4.22;-32.66
31;-30.3;-4.26;-31.6
31;-31.5;-4.39;-31.51
31;-31.87;-4.59;-32.74
31;-30.07;-5.17;-31.33
31;-30.51;-6.44;-31.02
32;-31.66;-8.15;-30.95
32;-30.86;-7.42;-30.48
32;-30.85;-7.49;-31.42
32;-28.91;-10.05;-30.53
12;-29.35;-11.4;-30.46
12;-31.89;-11.36;-30.75
12;-30.98;-11.32;-30.41
12;-30.84;-12.1;-32.36
12;-29.82;-16.65;-31.1
10;-29.06;-15.22;-31.05
10;-29.79;-15.27;-29.33
10;-30.12;-15.54;-30.56
10;-30.05;-13.98;-30.93
10;-29.84;-15.81;-32.61
10;-29.92;-15.24;-29.35
21;-29.51;-21.61;-30.11
21;-28.6;-21.53;-27.63
21;-27.99;-21.46;-31.77
21;-28.29;-21.69;-31.66
21;-27.38;-22.31;-30.2
21;-29.18;-21.75;-27.7
21;-29.49;-22.06;-29.88
4;-29.35;-26.64;-28.4
4;-29.71;-26.38;-26.72
4;-29.63;-27.13;-30.87
4;-29.56;-27.11;-30.89
4;-28.82;-25.41;-28.62
4;-29.76;-27.07;-30.66
4;-29.75;-27.05;-30.67
4;-29.47;-27.02;-30.82
4;-30.35;-26.86;-29.3
7;-29.15;-31.88;-26.63
7;-32.06;-30.16;-27.38
7;-29.79;-29.4;-24.98
7;-29.37;-30.92;-30.03
7;-31.94;-31.56;-28.76
7;-29.64;-31.91;-27.87
7;-29.15;-29.41;-25.02
7;-29.37;-30.65;-30.32
7;-31.37;-28.46;-27.23
20;-28.93;-33.37;-28.39
20;-28.89;-33.1;-27.22
20;-27.43;-33.34;-30.03
20;-26.6;-33.82;-29.95
20;-27.27;-33.4;-28.54
20;-26.33;-31.46;-27.98
19;-30.04;-36.35;-24.18
19;-30.71;-38.66;-26.79
19;-30.03;-37.7;-28.37
19;-31.42;-36.96;-29.95
19;-30.53;-34.13;-27.49
19;-30.01;-36.28;-28.22
19;-27.37;-31.4;-29.19
11;-31.94;-38.41;-27.5
11;-32.4;-37.37;-28.09
11;-31.89;-38.38;-28.47
11;-32.16;-38.16;-29.07
11;-32.5;-37.62;-30.08
11;-33.07;-38.42;-27.74
9;-33.37;-38.71;-27.4
9;-33.79;-39.08;-27.45
9;-34.16;-38.88;-27.27
9;-33.58;-39.22;-28.48
16;-34.18;-39.72;-28.01
16;-34.17;-38.44;-27.48
16;-33.7;-39.4;-27.72
16;-34.6;-40.25;-29.95
16;-35.59;-39.53;-28.7
16;-34.42;-40.2;-27.49
16;-33.62;-40.77;-26.25
16;-33.54;-40.48;-22.52
16;-37.19;-39.98;-27.33
16;-36.85;-39.59;-27.31
16;-37.03;-40.8;-26.94
16;-36.74;-40.32;-24.36
16;-35.48;-39.34;-29.81
22;-35.45;-40.93;-28.24
22;-37.17;-39.66;-27.39
22;-35.84;-40.34;-24.27
22;-35.88;-40.82;-29.88
22;-35.93;-39.82;-28.24
22;-35.68;-41.74;-28.37
22;-35.81;-40.75;-27.89
14;-36.59;-43.93;-28.45
14;-37.27;-43.55;-27.71
14;-36.58;-44.09;-28.73
14;-36.58;-44.76;-29.95
14;-36.69;-44.59;-27.74
14;-37.3;-44.42;-27.65
0;-40.37;-45.33;-28.16
0;-40.09;-45.67;-25.93
0;-41.35;-45.94;-27.83
0;-40.31;-45.49;-29.2
3;-39.5;-46.5;-28.1
3;-39.53;-46.47;-29.85
3;-39.66;-46.5;-29.83
3;-39.06;-46.23;-27.66
3;-39.55;-46.44;-27.03
3;-38.85;-46.98;-27.86
26;-38.67;-47.86;-27.78
26;-39.81;-48.36;-27.44
26;-40.35;-48.28;-27.87
26;-39.6;-48.42;-29.81
2;-38.75;-49.98;-26.99
2;-37.22;-48.82;-28.56
2;-39.23;-50.39;-26.28
2;-39.52;-51.58;-26.62
2;-39.61;-50.02;-28.73
2;-39.68;-47.96;-29.79
2;-38.62;-52.05;-26.26
2;-36.93;-53.16;-24.12
2;-34.0;-54.78;-23.64
23;-34.39;-47.69;-3.67
23;-33.77;-54.34;-12.87
