from_id;to_id;flag
2834;1847;srf
3939;835;dpl
3939;3520;dpl
202;7105;dpl
202;7105;add
1993;6718;dpl
1993;5289;dpl
2363;3600;add
5943;935;dpl
5070;3257;dpl
2459;1641;add
935;6935;dpl
6935;2077;dpl
2077;6002;dpl
6002;2039;dpl
2039;3439;dpl
6745;4767;dpl
6745;2412;dpl
6693;6873;dpl
6426;2733;add
1106;1576;dpl
6120;6205;add
3102;6205;dpl
3102;1061;dpl
2581;2224;dpl
2581;6331;dpl
2581;916;dpl
6830;6620;add
6338;6620;add
4801;2696;add
586;1;dpl
858;1068;dpl
1068;4560;dpl
4560;639;dpl
639;3909;dpl
3909;3563;dpl
3563;783;dpl
783;3860;dpl
3860;3703;dpl
3703;6232;dpl
6232;4381;dpl
4381;5897;dpl
5897;4767;dpl
4607;3047;dpl
7007;2608;add
2707;2201;dpl
2707;6137;dpl
2707;256;add
2412;1129;dpl
1129;517;dpl
517;6873;dpl
2603;1941;dpl
3600;3470;dpl
3470;5493;dpl
3470;172;dpl
1318;1790;dpl
1318;6224;dpl
1790;2201;dpl
6137;6007;dpl
6007;4919;dpl
4919;1225;dpl
1225;256;dpl
1061;1862;dpl
1862;4247;dpl
4247;584;dpl
584;267;dpl
267;3993;dpl
3993;5868;dpl
5868;5493;dpl
172;6508;dpl
6508;852;dpl
852;6883;dpl
6883;4516;dpl
4516;650;dpl
650;867;dpl
867;6610;dpl
6610;5460;dpl
5460;4816;dpl
4816;4594;dpl
4594;6539;dpl
6539;739;dpl
739;6475;dpl
6475;6871;dpl
6871;5498;dpl
5498;750;dpl
750;2165;dpl
2165;3764;dpl
3764;3062;dpl
3062;5575;dpl
5575;444;dpl
444;1344;dpl
1344;4233;dpl
4233;5266;dpl
4233;6558;dpl
5266;7255;dpl
7255;835;dpl
4377;3895;add
2980;6222;add
3895;6222;dpl
3895;4171;dpl
4171;765;dpl
765;1941;dpl
3280;6844;dpl
3280;1863;add
1863;6844;dpl
2733;3027;dpl
3027;1859;dpl
1859;5970;dpl
5970;3626;dpl
3626;1576;dpl
3047;2608;dpl
1641;3709;dpl
3709;7096;dpl
7096;3257;dpl
2696;6639;dpl
6639;1;dpl
6224;76;dpl
76;6718;dpl
5289;7019;dpl
7019;1468;dpl
1468;6659;dpl
6659;2906;dpl
2906;3806;dpl
3806;7105;dpl
5415;1754;dpl
7155;4887;dpl
440;5900;add
3037;2819;dpl
5900;4685;dpl
4685;2819;dpl
2224;5016;dpl
5016;5856;dpl
5856;3028;dpl
3028;5084;dpl
5084;1050;dpl
1050;5739;dpl
5739;4529;dpl
4529;7267;dpl
7267;4926;dpl
4926;2352;dpl
2352;4444;dpl
4444;1754;dpl
6620;6430;dpl
