from_id;to_id
469;5189
5189;4855
4855;436
436;2336
2336;4736
4736;1030
1030;3818
3818;6735
6735;1242
1242;829
829;5839
5839;6905
6905;393
393;7224
7224;1769
1769;5367
5367;3261
3261;3492
3492;6764
6764;6512
6512;6492
6492;2624
2624;1813
1813;4618
1813;3732
4618;233
233;1917
233;5313
1917;4747
5313;5918
6839;1105
6839;687
1105;2366
2366;6299
6299;2715
2715;2337
2337;7097
7097;2784
2784;3257
3257;7562
7562;4969
4969;1620
1620;1254
1254;1371
1371;496
496;3631
3631;826
826;2502
2502;7049
7049;7524
7524;2419
2419;3255
3255;341
341;7069
7069;4750
6893;1309
6893;5167
6893;2685
1309;1157
5167;6509
2685;2703
1157;6821
6821;3073
3073;2402
2402;2160
2160;2583
2583;4949
4949;4242
4242;6017
6017;7541
7541;3264
3264;2186
2186;3199
3199;3346
3346;3417
3417;6866
6866;463
463;4791
463;6232
4791;2178
6232;6595
2178;2732
2178;1633
2732;6947
6947;888
888;1383
1383;5882
5882;2307
2307;4092
4092;3210
3210;6796
6595;1160
6595;551
1160;2960
551;3402
3402;3408
3408;5541
3408;247
3408;5389
5541;5369
5389;4657
7205;6422
6422;4321
4321;3129
3129;419
419;5203
419;41
1989;3943
1989;4776
1989;1703
3943;2331
4776;464
1703;2719
2331;5031
5031;90
90;781
781;3423
3423;6396
6396;78
78;1942
1942;5706
5706;6283
6283;2908
2908;7035
7035;4039
4039;6397
6397;5009
5009;3916
3916;1676
1676;4190
1676;191
1676;5082
191;4989
5082;5660
4989;2969
2969;3961
3961;5947
5947;6323
6323;1778
1778;3050
3050;212
212;3456
3456;4257
4257;3776
3776;4512
4512;7102
7102;6982
6982;1689
1689;1499
1499;6535
6535;5598
5598;219
219;5217
5217;1278
1278;7233
7233;1843
1843;1673
5660;2915
2915;1830
1830;2396
2396;7248
2396;1427
7248;6906
1427;5046
6906;443
443;1394
443;5466
443;2032
1394;7424
5466;4484
2032;6609
7424;1389
1389;107
107;6341
6341;6780
6780;3698
3698;925
925;1764
1764;707
707;2742
707;5686
4484;3216
4484;166
3216;4934
166;598
4934;3651
3651;2795
2795;1042
1042;2493
2493;3092
3092;3641
3641;374
374;674
674;1008
1008;63
63;7495
63;568
7495;5024
5024;1527
1527;5010
5010;3954
3954;4291
568;5676
5676;3101
3101;110
3101;95
110;2338
95;665
665;4972
4972;2921
2921;2246
2246;5124
5124;380
5124;4895
380;2434
4895;3953
2434;5517
5517;2076
2076;6300
3953;2985
2985;3279
3279;3896
3279;4671
4291;6123
6123;906
906;4557
4557;4861
4861;7380
7380;1800
1800;368
368;4682
4682;3890
4682;4836
4682;2165
4682;679
3890;3962
4836;1564
2165;6588
679;1007
5482;3519
5482;5498
2529;3430
2529;2509
1489;7383
1489;2509
3430;3038
7383;2332
2332;2161
2161;79
79;2382
2382;6543
6543;3336
3336;3306
4996;5885
4996;7300
5885;25
7300;4962
6808;5405
6808;5280
5405;2163
5280;447
5280;4437
5280;4027
5280;686
2163;2608
2608;388
388;6500
6500;2349
2349;2943
2943;6987
2943;5098
6987;6803
5098;6969
6803;4435
4435;3381
4435;3397
3381;3233
3397;7167
3233;3841
7167;7540
7540;6055
7540;4694
6055;2731
4694;4935
2731;4634
4634;4382
4382;3495
3495;2990
3495;4888
4888;7157
7157;865
7157;6358
865;7489
6358;5743
6358;1762
7489;5185
5185;1440
1440;2572
2572;2386
2386;3110
3110;1956
1956;7448
7448;204
7448;5453
204;7163
5453;4255
7163;3981
3981;4408
4408;2623
2623;6398
6398;1926
1926;7228
7228;5701
5701;4828
4828;2986
2986;5494
5494;3723
3723;6249
6249;2126
2126;7375
2126;3028
7375;2042
3028;7463
2042;1259
1259;682
682;2014
2014;3076
3076;3354
3354;5909
5909;671
671;6361
6361;5357
5357;4885
4885;4196
4196;5805
5805;5715
5715;3148
3148;796
796;1255
1255;5223
5223;855
855;5410
5410;2416
2416;5394
5394;7365
7365;764
764;4763
764;7395
764;2683
764;7544
4763;1552
7395;6214
2683;1647
7544;5727
287;2408
2408;5966
5966;5351
5351;6382
6382;1533
1533;4552
4552;339
339;6732
6732;1749
1749;7116
7116;2852
2852;3534
3534;6367
6367;7528
7528;3461
1552;3551
3551;4475
4475;3054
3054;6234
6234;3874
3874;3971
3971;3917
3971;6610
3971;3315
