id;cswidth;csheight
3939;6.18;6.18
688;14.46;34.24
1594;1.84;1.41
3086;2.08;2.08
2308;0.86;4.26
2581;3.1;3.1
3579;3.26;3.26
4016;4.37;1.27
6105;4.54;1.84
3280;1.01;1.01
3471;7.19;2.87
2757;6.16;10.18
1086;8.58;14.42
6719;0.97;0.61
5415;1.79;2.77
3649;4.13;4.13
3343;11.21;13.27
3565;7.86;20.68
3981;8.54;10.05
1270;4.2;3.11
2699;1.24;1.28
6735;0.79;0.6
61;5.25;14.3
6632;2.54;14.82
422;14.24;7.16
3849;4.31;18.52
5512;0.18;1.38
3049;20.49;5.68
7284;7.33;4.98
2988;7.2;7.2
3131;7.55;4.13
640;18.93;4.44
4763;9.35;9.75
5178;4.76;3.42
5945;2.82;6.08
5268;3.68;2.79
4802;0.89;1.41
6704;2.93;2.93
5338;0.26;2.59
1719;4.63;2.41
6981;3.6;4.56
1302;8.55;4.72
292;5.62;4.79
6907;13.03;2.35
4132;3.12;2.68
7152;5.8;5.81
3132;4.72;3.5
3659;0.35;1.76
4853;5.32;0.89
2423;4.81;9.15
5000;5.31;3.28
4243;6.46;1.73
362;1.14;0.49
6785;6.56;11.61
3786;3.26;3.26
1904;23.65;10.83
474;11.44;11.91
4592;23.01;13.96
2313;11.31;11.31
6050;24.44;10.98
2739;21.5;6.35
2045;2.77;0.74
2886;1.95;1.86
7154;0.46;1.78
2878;2.03;0.89
2218;2.59;4.35
2244;0.63;0.17
5494;0.41;1.02
6074;12.52;1.62
1171;1.28;0.63
1457;6.41;0.58
92;8.61;5.53
5446;2.61;2.77
1133;13.64;2.41
6069;13.24;2.25
6166;17.64;2.67
6528;7.27;1.85
4827;6.66;1.36
5350;12.5;12.85
1291;5.31;1.9
435;10.95;2.65
2122;6.33;2.36
6432;7.84;5.24
454;5.6;19.94
3067;6.1;4.28
6562;4.32;17.4
3474;3.29;2.58
2665;2.72;2.24
7282;3.73;1.57
3292;6.01;2.18
2870;6.7;4.61
6476;3.37;3.41
3726;1.75;3.78
1642;0.33;3.16
2251;15.51;1.68
5635;2.62;10.95
575;3.0;5.85
4028;27.29;12.68
3743;21.18;13.83
915;12.44;11.97
737;4.6;22.7
2375;2.06;1.84
664;9.32;0.59
2325;4.17;3.14
6487;9.68;6.23
321;8.12;8.45
5250;15.29;18.68
754;20.68;14.58
2868;31.47;36.83
4363;28.89;16.41
4666;0.02;8.18
4584;0.21;11.32
1182;5.02;5.64
5736;10.65;5.04
5106;1.62;1.03
6033;1.61;2.4
5379;6.18;5.25
135;11.75;3.7
4090;11.11;0.64
3921;3.16;1.85
448;0.18;1.9
2146;3.95;1.72
5680;2.36;3.14
1962;3.01;5.53
1561;12.13;8.32
5713;9.53;3.21
5336;3.96;7.02
6080;7.0;12.51
332;7.18;29.13
4109;7.35;7.91
2674;2.62;2.62
7039;9.27;1.44
2879;2.62;2.62
2279;2.39;3.49
3498;3.1;3.1
2814;4.33;6.19
3796;6.57;7.77
203;9.37;1.55
4932;3.1;3.78
3167;5.84;5.52
2338;10.35;2.12
4572;3.95;2.74
1839;4.58;3.48
1666;2.21;2.21
2478;4.27;3.72
5316;8.48;15.95
3352;5.0;13.82
1811;11.94;8.94
31;7.79;14.61
4166;6.61;6.61
1912;9.3;7.84
3128;5.46;2.02
5763;3.79;2.3
1202;8.63;13.2
727;2.28;4.07
478;5.09;17.19
