id;fulladdress
2130;system_migovec.primadona_ubend_mona_tip.primadona.prima2.2
2130;system_migovec.primadona_ubend_mona_tip.primadona.the_aqueduct..
4753;system_migovec.primadona_ubend_mona_tip.primadona.prima2.1
4753;system_migovec.primadona_ubend_mona_tip.primadona.ttt.34
4753;system_migovec.primadona_ubend_mona_tip.primadona.poseidon_rift..
327;system_migovec.primadona_ubend_mona_tip.primadona.prima2.3
5148;system_migovec.primadona_ubend_mona_tip.primadona.prima2.4
5148;system_migovec.primadona_ubend_mona_tip.primadona.street-wise_hercules..
3187;system_migovec.primadona_ubend_mona_tip.primadona.prima2.5
3187;system_migovec.primadona_ubend_mona_tip.primadona.bath..
3338;system_migovec.primadona_ubend_mona_tip.primadona.prima2.6
3338;system_migovec.primadona_ubend_mona_tip.primadona.bath..
7264;system_migovec.primadona_ubend_mona_tip.primadona.prima2.7
7264;system_migovec.primadona_ubend_mona_tip.primadona.beam_me_up..
2309;system_migovec.primadona_ubend_mona_tip.primadona.prima2.8
2309;system_migovec.primadona_ubend_mona_tip.primadona.klic_globin..
1637;system_migovec.primadona_ubend_mona_tip.primadona.prima2.9
1637;system_migovec.primadona_ubend_mona_tip.primadona.moonraker..
1544;system_migovec.primadona_ubend_mona_tip.primadona.prima2.10
1544;system_migovec.primadona_ubend_mona_tip.primadona.moonraker..
1429;system_migovec.primadona_ubend_mona_tip.primadona.prima2.11
1429;system_migovec.primadona_ubend_mona_tip.primadona.moonraker..
938;system_migovec.primadona_ubend_mona_tip.primadona.prima2.12
7194;system_migovec.primadona_ubend_mona_tip.primadona.prima2.13
7139;system_migovec.primadona_ubend_mona_tip.primadona.prima2.14
7139;system_migovec.primadona_ubend_mona_tip.primadona.beam_me_up..
3813;system_migovec.primadona_ubend_mona_tip.primadona.prima2.15
3813;system_migovec.primadona_ubend_mona_tip.primadona.dysentery..
195;system_migovec.primadona_ubend_mona_tip.primadona.prima2.16
2044;system_migovec.primadona_ubend_mona_tip.primadona.prima2.17
2044;system_migovec.primadona_ubend_mona_tip.primadona.the_aqueduct..
749;system_migovec.primadona_ubend_mona_tip.primadona.prima2.18
2026;system_migovec.primadona_ubend_mona_tip.primadona.prima2.19
2026;system_migovec.primadona_ubend_mona_tip.primadona.the_aqueduct..
6924;system_migovec.primadona_ubend_mona_tip.primadona.prima2.20
6924;system_migovec.primadona_ubend_mona_tip.primadona.hades..
2958;system_migovec.primadona_ubend_mona_tip.primadona.prima2.21
2958;system_migovec.primadona_ubend_mona_tip.primadona.bath..
2580;system_migovec.primadona_ubend_mona_tip.primadona.prima2.22
2580;system_migovec.primadona_ubend_mona_tip.primadona.mouseleum..
4610;system_migovec.primadona_ubend_mona_tip.primadona.prima2.23
4610;system_migovec.primadona_ubend_mona_tip.primadona.poseidon_rift..
5733;system_migovec.primadona_ubend_mona_tip.primadona.prima2.24
5733;system_migovec.primadona_ubend_mona_tip.primadona.death_star..
5733;system_migovec.primadona_ubend_mona_tip.mona_tip.therock.25
2057;system_migovec.primadona_ubend_mona_tip.primadona.prima2.25
2057;system_migovec.primadona_ubend_mona_tip.primadona.the_aqueduct..
7174;system_migovec.primadona_ubend_mona_tip.primadona.prima2.26
