id;x;y;z
469;404565.57;123894.41;1728.66
5189;404581.2;123896.98;1729.8
4855;404583.8;123901.52;1730.59
436;404589.24;123896.44;1731.44
2336;404594.41;123891.95;1732.47
4736;404597.5;123895.65;1733.73
1030;404597.49;123895.66;1732.19
3818;404601.33;123896.27;1733.35
6735;404604.59;123894.31;1733.59
1242;404607.13;123896.46;1733.45
829;404609.2;123895.98;1731.64
5839;404609.86;123892.88;1729.93
6905;404609.84;123892.89;1719.89
393;404616.38;123884.5;1724.29
7224;404620.17;123881.31;1724.0
1769;404620.15;123881.33;1709.85
5367;404626.4;123876.62;1715.07
3261;404631.57;123874.21;1709.05
3492;404638.72;123872.7;1713.73
6764;404640.14;123869.92;1714.32
6512;404640.13;123869.93;1704.98
6492;404644.05;123868.95;1716.12
2624;404650.6;123867.33;1724.11
1813;404654.02;123863.09;1723.4
4618;404660.86;123857.56;1721.1
3732;404654.02;123863.09;1713.4
233;404668.11;123855.63;1720.9
1917;404667.44;123850.3;1721.68
5313;404677.49;123851.12;1745.31
6839;404677.63;123840.84;1711.16
1105;404678.45;123843.21;1711.48
2366;404679.23;123845.25;1712.08
6299;404676.84;123846.31;1712.26
2715;404680.02;123852.12;1713.57
2337;404683.13;123857.82;1714.98
7097;404683.58;123857.93;1716.67
2784;404683.01;123860.06;1717.1
3257;404685.67;123864.19;1717.36
7562;404685.75;123864.16;1718.04
4969;404687.9;123871.15;1719.8
1620;404687.82;123876.01;1720.65
1254;404685.14;123876.86;1722.06
1371;404687.08;123876.15;1722.69
496;404688.63;123877.94;1723.29
3631;404691.18;123882.38;1725.12
826;404695.74;123881.43;1725.65
2502;404698.52;123880.86;1725.96
7049;404703.1;123879.91;1726.51
7524;404705.51;123878.13;1727.08
2419;404707.33;123882.18;1728.93
3255;404709.16;123886.21;1730.75
341;404710.41;123887.65;1732.86
7069;404712.23;123892.65;1738.75
4750;404716.73;123889.34;1742.44
6893;404682.77;123825.38;1705.95
1309;404681.42;123824.92;1706.68
5167;404681.68;123822.05;1698.75
2685;404681.71;123833.39;1708.59
1157;404679.0;123825.87;1708.21
6821;404675.84;123817.59;1706.57
3073;404674.09;123816.44;1705.96
2402;404672.12;123808.37;1704.13
2160;404667.68;123782.56;1696.89
2583;404669.19;123781.52;1696.42
4949;404667.84;123778.59;1695.09
4242;404666.32;123773.13;1693.31
6017;404668.9;123769.86;1690.54
7541;404666.65;123764.73;1689.82
3264;404668.21;123763.89;1693.55
2186;404669.34;123762.02;1693.31
3199;404663.27;123760.16;1691.7
3346;404662.23;123756.14;1690.41
3417;404658.39;123752.9;1688.55
6866;404658.52;123750.02;1688.13
463;404655.67;123750.3;1687.77
4791;404649.11;123758.12;1689.38
6232;404655.54;123744.77;1686.45
2178;404645.22;123760.65;1690.2
2732;404645.01;123760.99;1690.1
1633;404645.22;123760.65;1673.45
6947;404641.86;123764.61;1674.5
888;404639.12;123767.01;1674.75
1383;404638.44;123767.27;1675.53
5882;404635.4;123770.73;1675.33
2307;404639.79;123771.42;1675.51
4092;404639.78;123771.92;1674.11
3210;404642.08;123773.94;1648.45
6796;404642.15;123768.3;1648.79
6595;404664.13;123725.46;1683.1
1160;404665.71;123727.41;1683.59
551;404660.73;123718.74;1681.45
2960;404669.37;123723.19;1683.98
3402;404659.51;123716.31;1680.95
3408;404657.37;123709.62;1676.61
5541;404655.44;123703.68;1676.07
247;404657.37;123709.62;1715.11
5389;404651.54;123705.22;1675.46
7205;404632.8;123693.79;1665.9
