from_id;to_id;flag
854;1941;dpl
1941;1138;dpl
3825;3131;dpl
4452;4101;dpl
4;4272;dpl
5291;3422;dpl
3422;3256;dpl
2405;4101;dpl
2652;299;dpl
3940;3501;dpl
860;4904;dpl
4805;1112;dpl
2010;3243;dpl
489;3124;dpl
298;4910;dpl
1515;4809;dpl
4236;1049;dpl
1049;2384;dpl
5046;886;dpl
3368;2070;dpl
1187;836;dpl
836;3927;dpl
1519;4312;dpl
2926;4497;dpl
509;395;dpl
395;5005;dpl
5005;1036;dpl
1036;2810;dpl
2810;1115;dpl
5111;1249;dpl
1249;1759;dpl
1759;702;dpl
702;4229;dpl
4229;1306;dpl
1306;5091;dpl
5091;3387;dpl
3387;2489;dpl
2489;1945;dpl
1945;4348;dpl
4348;1151;dpl
1151;2265;dpl
2265;5247;dpl
5247;4290;dpl
4290;456;dpl
456;3759;dpl
3759;2713;dpl
2713;1725;dpl
1725;3887;dpl
3887;1328;dpl
1328;5222;dpl
5222;209;dpl
209;4127;dpl
4127;2205;dpl
2205;2292;dpl
2292;3025;dpl
3025;1179;dpl
1179;3535;dpl
3535;28;dpl
28;1912;dpl
1912;1848;dpl
1848;2310;dpl
2310;3793;dpl
3793;4690;dpl
4690;2726;dpl
2726;4184;dpl
4184;3594;dpl
3594;3958;dpl
3958;2770;dpl
2770;4742;dpl
4742;2062;dpl
2062;807;dpl
807;935;dpl
935;5013;dpl
5013;4333;dpl
4333;2894;dpl
2894;3872;dpl
3872;2364;dpl
2364;3180;dpl
3180;4655;dpl
4655;1127;dpl
1127;1371;dpl
1371;4595;dpl
1371;3210;dpl
4595;2740;dpl
2740;40;dpl
3210;4772;dpl
4772;2357;dpl
2357;4858;dpl
4858;3643;dpl
3643;1623;dpl
1623;3079;dpl
3079;3523;dpl
3523;2373;dpl
2373;733;dpl
733;1415;dpl
1415;5189;dpl
5189;1781;dpl
1781;4710;dpl
4710;3805;dpl
3805;4054;dpl
4054;3928;dpl
3928;4881;dpl
4881;3097;dpl
3097;432;dpl
432;4641;dpl
4641;3307;dpl
3307;4759;dpl
4759;466;dpl
4759;1263;dpl
1263;1427;dpl
1427;1665;dpl
1665;4019;dpl
4019;5223;dpl
5223;142;dpl
142;5162;dpl
5162;1155;dpl
1155;3339;dpl
3339;1511;dpl
1511;149;dpl
1511;2126;dpl
149;2970;dpl
2970;3802;dpl
3802;2736;dpl
2736;1323;dpl
1323;3651;dpl
3651;1004;dpl
1004;3423;dpl
3423;3494;dpl
3494;98;dpl
98;4830;dpl
4830;1354;dpl
1354;4072;dpl
4072;3420;dpl
3420;121;dpl
121;548;dpl
548;2503;dpl
2503;2477;dpl
2477;80;dpl
80;871;dpl
871;907;dpl
907;3144;dpl
3144;282;dpl
282;3909;dpl
3909;475;dpl
475;4587;dpl
4587;3557;dpl
3557;4697;dpl
4697;404;dpl
404;2654;dpl
2654;2517;dpl
2517;2197;dpl
2126;3548;dpl
3548;3796;dpl
3796;1077;dpl
1077;3317;dpl
3317;417;dpl
417;1336;dpl
1336;3466;dpl
3466;816;dpl
816;2682;dpl
2682;3583;dpl
3583;5254;dpl
5254;2643;dpl
2643;4478;dpl
4478;247;dpl
247;2456;dpl
2456;4446;dpl
4446;3513;dpl
3513;3908;dpl
3908;3529;dpl
3529;138;dpl
138;1173;dpl
1173;2919;dpl
2919;281;dpl
281;3620;dpl
3620;1375;dpl
1375;1739;dpl
1739;3629;dpl
3629;3076;dpl
3629;1612;dpl
3076;4002;dpl
1612;2352;dpl
2352;3572;dpl
3572;2579;dpl
2579;3660;dpl
3660;1801;dpl
1801;4145;dpl
4145;2120;dpl
2120;1859;dpl
1859;650;dpl
650;3820;dpl
3820;779;dpl
779;2937;dpl
2937;628;dpl
628;771;dpl
771;215;dpl
215;3449;dpl
3449;4497;dpl
3544;3328;dpl
3328;4628;dpl
4628;1881;dpl
4628;2653;dpl
1881;2855;dpl
2855;2509;dpl
2509;4842;dpl
4842;4462;dpl
4462;46;dpl
46;4542;dpl
4542;4239;dpl
4239;1158;dpl
1158;4084;dpl
4084;1005;dpl
1005;3675;dpl
2653;2582;dpl
2582;1429;dpl
1429;3393;dpl
3393;385;dpl
385;3017;dpl
3017;4608;dpl
589;582;dpl
3294;582;dpl
4213;3981;dpl
3981;4037;dpl
4037;4807;dpl
4807;2628;dpl
411;3748;dpl
4386;3821;dpl
3821;4748;dpl
4748;4170;dpl
4170;2099;dpl
2099;3234;dpl
3234;4566;dpl
4566;4890;dpl
4890;3306;dpl
2387;3667;dpl
3667;3179;dpl
3179;3366;dpl
3366;1552;dpl
823;4720;dpl
1617;2406;dpl
1707;1913;dpl
4720;987;dpl
987;2057;dpl
2057;2023;dpl
2023;905;dpl
905;1900;dpl
1900;1913;dpl
