from_id;to_id
3799;2163
2163;2648
2648;1591
1591;353
353;3378
3378;4406
4406;3703
3703;2872
2872;4146
4146;3624
3624;453
453;872
872;472
472;2188
2188;3840
3840;1888
1888;145
145;4250
4250;2260
2260;2817
2817;2064
2064;1776
1776;3301
3301;521
521;3950
3950;5094
5094;4460
4460;2605
2605;3835
3835;3990
3990;4615
4615;707
707;1315
1315;1188
1188;1805
1805;1464
1464;928
928;2890
2890;3644
3644;1746
5178;3227
3227;3921
3921;4569
4569;4570
4570;311
311;4273
4273;4277
4277;3140
3140;2519
2519;4946
4946;3379
3379;3877
3877;2802
2802;1870
1870;4185
4185;4153
4153;3236
3236;3369
3369;3030
3030;5170
5170;1340
1340;2268
2268;4738
2994;2434
2434;4275
4275;3007
3007;1821
1821;5196
5196;2472
2472;4623
4623;474
474;1784
1784;2796
2796;1226
1226;4622
4622;1449
1449;5202
5202;3818
3818;91
91;1778
1778;4778
4778;4611
4611;137
137;1126
137;1896
1126;122
1126;3875
122;226
226;1869
1869;5317
5317;1082
1082;5322
3875;3262
3262;2162
2162;1399
1399;5167
1896;338
338;501
501;3067
3067;1636
1636;4899
4899;1960
1960;492
492;3008
3008;2907
2907;3382
304;4850
304;4488
4850;3896
3896;2606
2606;5104
5104;4797
4797;443
443;4636
4636;3214
3214;3269
3269;3064
3064;5009
5009;818
818;316
316;993
993;2386
2386;1604
1604;1467
1467;120
120;2617
2617;4717
4717;3828
3828;2281
2281;3467
3467;4114
4114;2692
2692;2862
2862;3688
3688;4947
4947;2058
2058;3809
3809;4957
4957;180
180;493
493;1094
1094;1981
1981;189
189;4192
4192;4536
4536;2016
2016;1312
1312;3946
3946;3267
3267;3382
1630;4070
1630;3016
4070;3364
3364;2381
2381;1596
1596;2647
2647;2524
2524;3399
3399;4264
4264;859
859;1860
1860;3015
3015;3237
3237;1996
1996;5134
5134;3173
3173;4134
4134;3812
3812;2032
2032;222
222;852
852;3717
3717;3342
3342;4118
4118;5081
5081;2138
2138;4488
2103;717
717;1559
1559;3645
3645;5012
5012;2688
2688;5258
5258;5034
3016;2639
2639;3522
3522;2525
2525;4298
4298;941
941;3081
3081;1857
1857;1956
1956;325
325;3508
3508;620
620;3384
3384;1561
1561;4426
4426;3923
3923;792
792;307
307;2501
2501;1536
1536;3101
3101;3888
3888;2905
2905;806
806;3598
3598;1117
1117;5068
5068;164
164;3073
3073;5010
5010;752
752;5034
153;4884
4884;2527
4884;5285
2527;2777
2777;2842
5285;1689
1689;1745
1745;5307
5307;4546
4546;5304
5304;1921
1921;4763
1921;3893
4763;4463
4463;3275
3275;1838
3893;301
301;5215
5215;3558
3558;1683
1683;4718
1683;2326
4718;3372
3372;5261
5261;1189
1189;510
510;1483
1483;994
994;2351
994;597
597;3563
3563;3425
3563;1016
1016;2873
2873;800
800;876
876;3304
3304;2028
2028;2131
2131;1247
1247;4862
4862;2273
2273;4116
2326;2481
2326;457
2481;4061
1926;2929
2929;4555
4555;553
553;4103
4103;4352
4352;1622
1622;2902
2902;4435
4435;4917
