id;cswidth;csheight
4884;1.55;1.55
5285;0.14;0.9
1745;3.58;3.11
5307;1.09;6.82
4546;1.76;6.63
1921;3.5;3.5
4463;1.37;10.13
301;1.42;2.84
3558;2.29;14.29
1683;3.52;3.52
4718;5.05;6.92
994;1.72;1.72
597;3.05;3.76
3563;2.88;2.88
2873;0.11;0.9
876;0.22;0.21
3304;0.12;1.84
2131;6.31;7.93
1247;3.53;3.38
2326;2.73;2.73
2912;1.03;1.37
2049;0.18;0.81
4701;0.65;1.14
2093;0.66;1.28
4680;0.79;1.5
2627;1.27;4.33
2727;1.46;3.12
1405;1.45;1.55
4902;2.06;1.88
2411;1.12;4.53
2098;0.32;0.69
3530;0.88;1.09
1034;0.14;1.05
204;0.94;7.93
393;3.29;3.29
1699;7.19;3.06
3744;4.3;12.56
3676;9.13;23.58
2284;0.54;10.81
4007;0.4;7.49
1235;0.95;12.13
4186;11.43;15.67
854;0.73;0.73
773;2.98;2.98
1138;4.71;4.71
1139;2.09;7.66
3727;4.16;4.16
4882;1.18;1.36
3886;5.54;8.06
4545;9.83;19.61
570;5.16;8.04
2934;2.09;1.75
3353;1.69;2.44
200;0.81;9.33
630;3.26;3.38
2124;4.69;6.88
371;9.62;19.83
5316;8.32;16.22
5064;2.31;2.31
2432;8.64;7.91
1038;4.64;6.37
1783;2.29;9.63
81;6.24;7.44
1453;0.34;1.97
4952;1.49;2.69
375;4.68;4.68
3915;3.74;6.6
412;2.61;6.74
421;7.3;7.3
3370;3.92;13.01
1576;7.02;7.02
1416;12.47;4.49
1125;6.24;6.24
5027;5.2;17.49
612;0.82;3.07
4485;8.9;21.88
3213;7.18;7.19
50;4.35;4.35
3235;3.7;3.7
2807;4.61;9.39
2924;7.92;5.21
4096;12.36;10.09
2119;8.95;9.82
4981;3.73;3.73
4094;11.17;7.33
776;7.67;7.67
980;5.79;5.79
3103;2.95;7.4
2141;3.78;12.63
5156;4.74;8.9
4689;12.23;12.23
1404;11.83;11.83
1650;14.49;14.49
1075;8.68;7.4
3825;7.42;7.42
2497;21.22;13.01
2921;8.42;7.25
2742;4.66;4.99
4121;5.74;6.88
2146;5.16;4.89
2832;9.92;13.28
4579;7.15;12.94
1204;8.94;17.13
3616;18.17;6.45
3898;16.43;12.9
1231;4.79;12.2
3565;11.97;16.02
1586;6.68;9.4
340;13.94;8.72
2348;5.86;8.16
1428;14.82;8.26
4944;18.14;11.92
5186;11.46;7.39
2401;7.29;3.81
1620;10.5;13.17
4381;3.43;0.91
4167;7.3;5.9
2378;3.5;9.22
2604;5.15;7.18
4383;2.97;2.97
1802;9.48;6.81
4908;12.11;3.21
2623;12.82;8.51
3175;9.31;7.81
2379;13.84;7.11
544;8.6;9.22
917;9.56;7.73
1692;10.45;9.44
1058;4.67;6.18
855;12.31;8.06
3739;9.55;6.05
4905;11.17;2.45
1955;11.9;2.53
2500;4.95;6.23
166;7.53;6.65
4558;5.77;6.19
4407;3.24;4.11
3148;2.73;2.73
3903;2.77;4.96
359;3.29;3.29
2533;3.04;4.76
2054;1.56;5.51
4939;4.12;2.46
718;2.57;2.57
2931;5.2;6.67
3202;1.3;6.28
1735;1.66;11.14
5000;0.96;2.47
2490;0.66;2.35
5109;1.6;16.15
1259;0.65;8.24
1006;2.03;11.55
4703;0.97;10.15
1175;0.92;8.76
3604;0.73;6.24
3274;0.98;4.35
73;3.8;4.49
4330;9.19;12.42
2109;0.3;2.22
407;0.18;1.04
1557;1.03;6.09
4502;0.36;5.15
388;0.38;2.65
53;0.32;11.49
4248;0.9;10.93
1194;0.58;3.31
4360;0.39;1.35
315;3.21;3.92
274;0.52;4.56
4132;0.22;5.01
662;0.7;4.9
367;0.16;5.24
5198;0.29;2.98
2236;0.51;1.89
5117;1.07;1.19
1504;0.38;1.12
550;0.65;2.04
4632;1.1;5.97
3346;3.08;0.76
2393;0.91;7.76
5243;0.9;14.7
5172;0.54;8.2
2319;0.73;4.0
3019;1.13;4.27
619;1.1;3.31
2703;0.98;4.91
3869;1.93;1.73
1503;1.25;0.88
2554;1.48;5.61
1159;4.72;18.27
3506;1.67;4.68
3963;0.55;2.87
4675;1.09;4.45
5278;1.79;12.68
15;1.0;1.99
798;7.99;26.66
5126;0.99;5.12
3753;0.44;6.14
998;1.94;6.95
3142;1.46;7.03
1325;3.59;3.59
3082;0.62;6.75
19;0.66;0.94
4713;0.26;5.03
2376;1.5;2.75
3049;3.61;7.11
1634;2.77;4.22
5295;0.36;13.98
2365;0.48;3.69
2691;0.78;3.25
2644;0.99;16.13
67;2.31;2.31
1564;0.59;1.58
1380;0.56;1.43
504;1.01;13.45
5323;3.61;8.65
1814;1.59;7.09
2983;8.6;4.15
3938;3.24;3.24
1435;0.25;3.35
2776;1.97;1.97
3843;4.13;2.1
2404;0.21;2.19
2588;10.32;2.03
4452;0.83;0.83
5;0.38;0.94
1211;2.58;1.23
4;3.76;3.76
2633;4.02;3.12
5291;1.93;1.93
3422;2.68;3.01
4896;10.1;7.12
162;1.82;8.78
4429;1.31;8.87
3790;0.52;8.45
362;7.95;14.37
2557;3.71;3.71
4741;4.45;4.45
425;9.22;3.94
4848;5.88;19.52
4509;1.74;0.96
1734;2.02;2.02
755;5.03;2.02
5334;4.34;2.01
2405;6.83;3.55
2652;3.24;3.24
5233;3.05;6.45
2225;1.15;7.07
2279;0.81;10.45
384;4.08;10.08
1360;5.15;10.33
3932;3.55;2.72
1052;3.33;3.33
1418;3.26;2.53
585;8.27;10.0
3940;3.58;3.58
4614;4.97;9.69
2208;3.82;3.82
965;6.08;1.96
