id;x;y;z
1246;447736.84;4801289.26;90.7
26200;447731.48;4801291.47;90.8
65873;447742.53;4801291.46;91.01
76901;447736.94;4801287.92;90.41
51826;447736.8;4801289.2;115.83
40943;447730.84;4801294.41;90.54
84569;447733.67;4801282.2;91.01
54963;447730.79;4801294.86;90.62
42395;447732.2;4801290.57;90.8
23743;452681.22;4801164.35;199.76
79031;452679.97;4801163.66;202.81
85086;452682.56;4801161.01;199.09
6046;450697.67;4792710.68;302.61
42670;450720.6;4792713.19;299.92
12545;450707.8;4792711.7;301.02
66490;450695.8;4792704.01;302.11
94680;450690.37;4792709.73;304.86
79614;450695.4;4792717.3;302.61
31355;450692.38;4792708.94;305.09
53495;450695.89;4792707.5;303.66
2748;450718.72;4792710.12;298.56
13839;450720.6;4792713.19;289.92
37483;446497.04;4801483.39;55.0
79728;446499.98;4801487.01;55.0
29770;446494.9;4801475.37;55.0
97757;446503.87;4801481.75;55.0
89190;446495.41;4801479.34;55.0
56858;446494.53;4801489.52;55.0
1273;446492.61;4801470.78;55.0
103648;446487.92;4801476.2;55.0
93877;446490.4;4801481.78;55.0
34234;449726.94;4798885.26;168.34
5613;449720.15;4798887.38;170.66
89499;449728.43;4798885.02;168.0
69794;449734.07;4798891.39;171.22
43301;449724.45;4798882.97;168.58
42701;449712.69;4798878.24;175.32
63684;449714.3;4798888.14;171.12
65026;450618.48;4796888.7;275.66
75604;450609.7;4796886.43;280.83
50606;450600.98;4796863.37;275.52
90058;450626.98;4796918.18;276.73
99393;450610.3;4796886.78;243.84
97144;450615.43;4796882.49;276.65
72719;452451.96;4799988.08;166.27
58867;452449.39;4799986.76;166.49
48744;452451.63;4799990.06;167.02
86319;452454.44;4799990.22;165.78
43193;452440.25;4799986.6;168.52
77839;452448.1;4799984.81;165.87
33607;451807.75;4800289.29;155.6
65349;451811.71;4800288.41;155.17
3061;451809.8;4800292.17;154.41
89702;451803.44;4800290.89;155.36
7405;451809.4;4800289.32;155.05
12995;451809.16;4800288.52;155.49
99233;451815.42;4800288.84;154.63
15845;451805.2;4800280.35;155.85
36648;451811.93;4800289.04;155.06
5182;443701.7;4805625.06;41.87
28904;443708.37;4805624.87;42.43
78221;443701.17;4805629.51;42.87
