from_id;to_id
26628;88836
57350;86744
57350;78826
79879;27790
79879;52675
10249;66936
10249;59513
94219;2577
94219;38936
61452;86726
51217;9304
51217;96063
51217;1873
51217;94592
51217;33960
51217;4718
51217;48782
69651;28504
69651;19450
30740;9690
30740;17949
30740;22459
24598;12328
24598;64887
38936;49418
94235;29679
49186;97027
49186;54818
77861;64358
77861;42616
12328;84649
100396;95708
100396;29654
14382;12253
14382;50463
14382;73393
14382;102800
84016;15813
98355;8894
98355;35325
6198;52675
6198;43644
14412;85248
14412;39551
14412;101331
14412;55993
14412;62255
90208;50866
90208;101919
39011;17949
39011;68647
41060;75351
41060;1296
41060;61337
84087;11743
84087;82951
84087;31528
84087;91871
84087;93650
84087;77754
59513;69844
59513;39304
12430;79229
12430;71352
59544;3381
59544;98192
73890;105552
80043;57714
80043;75008
80043;51125
49332;98947
49332;82678
49332;81433
71865;87324
71865;99204
67784;69099
67784;38757
57545;1908
57545;100155
102602;52026
69844;31020
4308;7349
41177;31642
41177;33446
39129;6041
39129;9128
51417;57714
94438;9128
94438;101192
94443;62334
94443;69033
238;52675
45299;72337
45299;30184
45299;31556
45299;53225
45299;4395
45299;352
71924;69105
71924;101760
24822;94535
24822;74937
8444;30265
8444;57715
41213;13589
41213;82376
41213;31642
41213;59668
10494;52675
10494;97720
37122;5967
47367;9489
47367;74791
78088;31880
86281;50404
49418;65036
59668;21750
4395;105700
31020;13849
31020;15604
41261;98947
41261;94512
94512;59362
100660;56358
20790;15686
20790;97220
35131;37551
35131;101025
94535;24231
51536;103597
51536;26080
14673;64887
72019;74791
92511;55686
92511;43373
352;46005
94561;98260
94561;73611
43373;29679
57714;46005
57714;68795
57715;6041
26997;72155
26997;6725
96642;32345
96642;72155
96642;9885
4486;37582
4486;91517
4486;55280
55686;29214
55686;94727
55686;99239
55686;19738
39304;38673
4498;77277
4498;105050
53651;88839
53651;60388
53651;86726
31124;92967
31124;13483
31124;55840
31124;17628
49559;13108
49559;94162
82341;5726
82341;99001
12719;17923
12719;101357
84402;80631
84402;102989
92608;36653
92608;34429
82376;93748
88526;88836
35282;31880
35282;85619
35282;46530
104917;97355
104917;15686
82394;22459
82394;48730
72155;29242
70106;85799
70106;103597
4578;26011
4578;1771
74216;69033
74216;54758
45548;40218
6636;47817
6636;103373
88571;97665
88571;25523
43522;44848
43522;85079
49668;42275
49668;54576
92676;85853
92676;7966
92676;88836
59912;72329
41483;9304
41483;46073
94734;19020
94734;11485
2577;9489
2577;3628
31249;60388
31249;50404
47646;61337
47646;42447
29214;4718
64059;105914
6725;19020
6731;37582
6731;85393
92748;13477
92748;7647
19020;39854
102989;44816
82513;5967
82513;98260
82515;81069
82515;105770
84564;85079
84564;63146
84564;30540
88667;2735
88667;36652
6747;31880
98909;97720
41567;51125
41567;51934
51822;49002
51822;56358
25212;56358
31361;31547
51842;105770
51842;71294
98947;48765
98947;66556
23174;92967
23174;85749
72329;21449
80525;85273
17038;34026
72337;30678
76446;97991
76446;4789
101025;25487
101025;52219
33443;4789
33443;72511
84649;43987
37551;5726
2735;39949
70333;15382
8894;33993
8894;93731
86726;7349
47817;74937
37582;7618
49872;29654
49872;93642
49872;88839
86744;88836
51934;11743
64227;95015
64227;60674
64227;9377
64227;3381
78563;104410
88805;34429
88805;69105
82678;36146
80631;7647
97016;74687
97016;106119
97027;94162
35601;101357
35601;85799
72467;12178
72467;13794
15134;64813
15134;3564
15134;72920
90912;44131
90912;89559
95015;97355
33576;15604
33576;89603
92967;83801
92967;44979
92967;12253
62255;95682
13108;38673
52026;76987
31547;99974
31554;104410
31554;53044
31554;1535
31554;12115
39750;94162
39750;3535
101192;40538
31581;48730
2913;9885
2913;38209
2913;48765
64358;1296
60269;101919
60269;59327
72559;9304
68469;11908
25467;44235
64380;69364
64380;66936
62334;46584
99204;13689
62341;77815
48004;56358
68505;99807
68505;88991
60318;97355
60318;48293
88991;78954
37799;54576
37799;79459
39854;32438
25523;24231
74687;16076
97220;95708
21449;103687
41933;11600
41933;75701
43987;79067
54235;97720
44009;13589
44009;7266
78826;9304
95209;9304
29679;95374
44024;38673
44024;57044
46073;49002
19450;23761
52219;70760
66556;103687
25611;9304
39949;93642
35859;85853
35859;30265
15382;33993
29718;83545
105506;19738
56358;15670
56358;34417
56358;92021
56358;22257
56358;27790
68647;40218
97355;34615
97355;75351
93261;34429
93261;53036
93261;22453
105552;7349
105552;63193
105552;11512
68689;73500
40017;3564
40017;7618
29784;36652
9304;42683
9304;68956
9304;79020
9304;17584
9304;44566
9304;15637
80992;57044
80992;3628
44131;34615
70760;106119
78954;11600
31880;12115
31880;44975
5266;15637
9377;94019
38049;63146
38049;50866
48293;64813
13477;77815
81069;89559
40111;79229
40111;76987
7349;83172
7349;54477
33993;36691
68810;11485
68810;28504
44235;93731
11474;26080
72920;77490
79067;54576
50404;69099
105700;15813
15592;15637
34026;1771
11512;1858
11512;89566
60666;40631
60666;85248
60674;34615
23824;97991
9489;73172
13589;75701
13589;14225
15637;104410
85273;32438
87324;1470
42275;13849
36146;97665
3381;5726
42347;93642
42347;103957
60786;54758
60786;11908
64887;100265
13689;36691
91517;36653
79229;22453
101760;44848
23947;95682
23947;85853
19853;105914
85393;99974
26011;42616
97720;105914
97720;83801
105914;5741
1470;89603
46530;30678
52675;1479
52675;50703
3535;16076
42447;9690
77277;103957
99807;81433
13794;73500
46584;30540
17923;59362
65036;97991
54818;83545
3628;22385
32345;63146
97888;53036
97888;22464
104073;9885
63146;77815
40631;44816
71352;1908
57044;69364
5967;22464
48978;55280
22385;12178
73611;83902
44979;69628
104410;36831
