id;x;y;z
8193;452079.75;4794818.8;379.71
86017;452095.16;4794757.63;356.54
71689;452079.31;4794815.11;356.51
75786;452092.16;4794760.18;357.29
81929;452054.09;4794806.7;329.0
36877;452099.48;4794747.88;355.51
61457;452090.81;4794758.87;357.34
43038;452093.47;4794761.64;357.41
2085;452083.72;4794819.96;413.04
26663;452058.45;4794806.16;330.31
16436;452101.3;4794821.65;367.59
98356;452080.71;4794826.2;288.56
43060;452088.09;4794771.72;358.9
2104;452106.76;4794816.35;361.18
51259;452078.5;4794805.25;355.41
59453;452089.79;4794816.21;288.86
63;452099.78;4794843.12;427.08
104514;452084.94;4794768.84;359.2
86087;452072.26;4794807.33;353.16
100430;452095.12;4794833.72;423.26
100434;452081.86;4794829.45;333.64
63579;452098.34;4794774.62;357.78
67676;452080.63;4794833.15;418.44
75869;452080.62;4794815.48;376.63
2147;452080.06;4794803.69;356.42
34921;452076.51;4794811.3;353.01
16489;452076.44;4794810.74;352.81
92284;452088.4;4794816.38;374.04
75905;452085.73;4794830.54;333.89
100486;452080.71;4794829.25;409.54
10374;452057.44;4794808.36;330.29
141;452083.53;4794821.04;399.94
51349;452081.45;4794807.74;352.92
65691;452112.41;4794807.12;359.7
92317;452062.28;4794803.28;337.91
4259;452077.65;4794832.1;327.28
28836;452055.88;4794806.86;326.82
30886;452085.49;4794763.62;357.95
90279;452081.36;4794830.13;336.64
32935;452089.96;4794764.31;357.66
102570;452091.4;4794767.88;358.16
14515;452080.63;4794820.08;333.06
94403;452085.91;4794817.35;370.21
14533;452074.2;4794832.61;291.2
37068;452082.82;4794818.7;388.8
53459;452076.71;4794815.15;365.45
88284;452083.91;4794820.45;391.37
28892;452097.01;4794753.29;356.02
223;452080.3;4794820.06;333.46
86244;452085.79;4794830.34;334.2
63720;452081.23;4794830.72;333.6
94454;452106.97;4794813.47;359.9
4353;452081.99;4794832.15;333.53
2306;452082.51;4794824.91;286.63
6404;452107.25;4794814.68;360.82
53509;452079.82;4794824.46;332.28
88327;452095.02;4794757.62;356.57
102673;452090.11;4794767.15;358.03
49430;452079.07;4794832.59;320.44
78106;452090.67;4794762.43;357.52
10531;452086.23;4794825.13;411.92
102697;452079.86;4794820.58;334.13
41257;452074.15;4794830.74;325.68
67885;452110.24;4794822.72;363.27
63790;452083.41;4794823.01;337.74
65842;452081.23;4794817.7;412.4
