id;cswidth;csheight
1276;4.0;4.0
736;5.0;6.0
1219;4.5;10.5
307;4.0;5.5
39;1.0;2.0
1496;1.0;3.0
1184;0.6000000000000001;5.0
1581;1.0;6.0
1548;2.0;6.0
264;2.0;6.0
1716;2.0;6.0
1053;2.0;6.0
750;2.0;6.0
1664;2.0;6.0
1029;1.5;6.0
1568;1.5;7.0
963;4.0;8.0
1570;3.0;2.0
1356;2.0;2.5
1527;1.5;2.0
779;4.0;5.0
917;3.5;3.5
895;2.5;3.8
1634;2.0;5.0
1482;2.0;4.0
475;0.4;0.5
598;0.4;0.5
1390;0.4;0.8
738;0.5;0.6
509;12.0;5.5
294;16.0;8.5
1741;26.0;8.5
1737;28.0;8.5
461;32.0;8.5
542;30.0;8.5
1710;24.0;8.5
1745;22.0;8.5
56;22.0;8.5
226;19.0;5.5
1468;8.5;5.2
1062;8.0;4.5
466;8.0;2.6
330;10.0;1.5
343;6.0;1.5
1545;8.0;1.2
24;8.0;1.2
1210;9.0;0.7
503;6.0;0.5
175;6.0;0.7
1083;5.5;0.3
417;4.0;0.5
562;4.5;2.0
1633;2.0;0.5
1502;1.5;5.5
497;1.5;6.2
1417;3.0;6.5
684;0.5;3.0
1553;0.6000000000000001;2.0
1299;0.4;2.0
1626;3.0;5.0
262;3.0;4.5
1492;5.0;4.0
730;5.0;5.0
940;1.0;0.2
643;6.0;3.0
634;3.0;4.0
545;4.0;2.0
1767;1.0;3.0
1304;1.1;1.2
1609;1.5;2.8
732;0.8;0.30000000000000004
46;0.7;0.5
698;0.5;1.2
1073;2.0;3.0
138;2.0;3.0
814;3.0;1.2
1814;3.0;1.2
98;4.0;1.5
585;2.0;3.0
1631;1.5;3.8
1595;1.0;0.5
1561;2.8;3.8
407;1.0;4.8
1786;3.0;11.0
801;2.0;5.0
1236;3.0;5.0
729;1.5;0.8
1754;1.0;3.0
737;1.0;3.0
876;2.0;5.0
460;2.0;3.0
557;2.0;6.0
1618;2.0;10.0
1359;2.0;9.0
1682;2.0;6.0
1573;2.0;4.0
1367;1.0;3.5
1111;1.5;3.0
281;0.5;4.0
1337;1.0;5.2
1055;1.0;5.0
1251;1.0;4.5
1557;1.0;0.5
1656;2.0;3.0
215;1.0;3.0
682;2.0;3.0
1034;4.0;3.6
1005;4.0;4.6
458;1.5;1.5
546;0.8;1.5
101;0.8;1.5
600;2.0;1.5
320;3.0;6.0
748;3.0;3.0
1022;0.3;1.0
515;2.0;6.0
1460;1.5;2.5
2;1.5;2.2
353;1.0;2.5
451;1.5;2.0
1046;3.0;2.0
674;1.0;1.5
1001;1.2;1.5
589;0.4;2.0
489;3.0;3.0
452;2.4;2.0
1227;0.8;0.9
832;5.0;1.5
306;3.0;1.0
292;3.0;4.0
1142;2.0;3.5
911;1.0;2.5
1130;1.5;1.0
432;0.7;0.0
1203;4.0;1.2
224;0.5;0.9
1655;0.6;2.8
1129;0.6;3.0
1674;0.4;0.8999999999999999
1081;0.4;0.8
108;1.5;1.5
75;1.5;1.0
347;1.0;0.5
1624;1.0;0.5
1511;0.5;0.4
1264;0.4;0.30000000000000004
1116;1.0;5.0
499;0.4;1.2
1612;1.0;1.3
1598;0.7;1.0
1653;1.0;1.0
1175;2.0;1.0
312;1.0;1.0
659;1.0;2.0
745;1.0;2.5
1512;2.0;2.0
90;1.0;2.0
210;1.0;2.0
258;1.0;3.0
289;1.0;1.2
371;2.5;5.0
116;2.0;4.0
173;2.0;6.0
291;1.0;2.0
1503;1.0;3.0
1156;1.0;1.5
1454;1.5;2.0
948;1.0;1.0
319;0.4;1.0
94;0.4;1.0
794;0.5;1.0
937;1.0;1.5
1768;1.5;2.0
958;1.0;3.0
541;1.0;2.0
607;0.2;2.0
780;0.30000000000000004;2.0
697;0.4;2.0
637;1.5;3.0
1341;1.5;1.5
115;1.5;1.5
1801;2.0;2.9
1225;1.0;2.0
212;1.0;2.0
691;1.0;2.0
1526;1.5;2.0
816;1.0;2.0
1178;1.0;1.5
105;1.0;1.5
1384;1.0;1.0
702;1.0;1.0
920;0.5;1.0
1089;1.0;1.0
1661;1.0;1.5
400;1.0;2.5
27;1.5;4.0
1657;2.0;6.5
526;2.0;3.9
419;1.5;1.5
1154;0.6;1.0
1477;0.5;1.5
1306;0.4;0.2
721;2.0;1.0
1517;1.0;0.5
1702;2.0;4.0
1497;1.0;1.0
1549;0.5;1.5
1491;1.0;1.5
1535;2.0;4.0
1455;1.0;2.0
932;2.0;3.0
1324;1.0;6.0
182;0.5;1.2
1412;0.5;1.0
840;1.0;2.2
987;0.4;1.5
146;0.5;1.5
1017;0.4;0.5
1446;31.0;30.5
354;31.0;30.5
543;12.0;17.0
325;5.0;4.0
398;5.5;6.0
528;2.0;6.0
636;4.5;5.3
759;3.0;5.5
784;0.4;3.0
132;1.3;3.5
1186;1.5;2.8
207;1.5;3.5
1472;1.0;2.0
1413;2.0;3.0
276;2.0;3.0
1284;3.0;3.0
841;2.0;5.0
580;2.0;1.5
174;1.0;3.5
1321;3.0;2.5
151;2.0;4.0
383;3.0;3.0
1650;3.0;6.0
680;5.0;5.0
1220;2.0;4.0
1377;2.0;4.0
410;3.0;6.0
1606;2.0;7.0
530;3.0;7.0
1695;2.0;4.0
967;2.0;3.0
1815;4.0;2.0
583;4.0;2.5
170;2.0;1.5
1783;2.0;3.5
843;0.4;4.0
1769;0.3;0.2
874;1.0;1.0
1004;2.0;5.0
1574;1.0;5.0
687;2.0;4.0
444;2.0;3.0
202;1.0;5.0
1580;5.0;16.0
5;6.0;16.0
23;2.0;5.0
1713;6.0;20.0
1168;7.0;13.0
1140;2.0;4.0
117;6.0;30.0
859;3.0;24.0
1199;2.0;8.0
660;4.0;10.0
1451;4.0;13.0
1772;3.0;5.0
1642;3.0;6.0
599;5.0;5.0
1691;5.0;5.0
1646;1.0;3.0
715;1.0;3.0
1340;2.0;2.0
1279;1.5;1.0
1663;0.7;0.4
1592;0.5;1.2
1789;0.7;4.5
1177;1.0;5.2
141;1.0;4.0
1136;2.0;1.0
1137;0.7;1.0
1434;2.0;1.6
480;2.0;1.0
1670;3.0;5.0
783;0.6;1.0
357;0.5;0.5
397;1.0;3.0
1331;1.0;1.5
1030;1.0;2.8
214;1.0;1.0
564;1.0;2.0
206;1.0;1.0
1320;0.5;0.5
752;1.0;1.0
1283;0.5;0.5
1639;0.5;2.5
429;1.0;2.0
984;0.5;2.5
61;0.5;0.7
858;0.6;0.6
418;0.4;0.4
1623;0.6;0.5
652;0.5;0.5
1591;0.6;1.0
316;0.6;0.8
1516;0.5;0.5
694;0.8;0.7
1453;0.6;0.8999999999999999
25;2.0;3.0
159;1.5;2.5
387;1.5;0.5
1091;0.30000000000000004;0.2
1312;2.0;2.0
1494;2.0;2.0
579;2.0;2.0
533;1.0;5.0
1391;0.9;1.0
1614;1.0;1.5
673;0.5;1.2
1709;2.0;8.0
1735;2.0;3.0
623;1.0;2.3
647;1.0;3.2
531;3.0;2.0
1248;3.0;1.5
300;1.0;0.5
