id;fulladdress
369;Sakany.1.0
369;Sakany.12.0
369;Sakany.650.5
1273;Sakany.1.6
1273;Sakany.2.0
1273;Sakany.400.4
1187;Sakany.1.20
1187;Sakany.350.0
1276;Sakany.2.1
736;Sakany.2.2
147;Sakany.2.3
147;Sakany.420.0
1219;Sakany.2.4
307;Sakany.2.5
755;Sakany.2.6
755;Sakany.246.0
1132;Sakany.2.7
1132;Sakany.3.0
39;Sakany.2.8
1496;Sakany.2.9
1184;Sakany.2.10
1581;Sakany.2.11
1548;Sakany.2.12
264;Sakany.2.13
1716;Sakany.2.14
1053;Sakany.2.15
750;Sakany.2.16
1664;Sakany.2.17
1029;Sakany.2.18
1568;Sakany.2.19
963;Sakany.2.20
1668;Sakany.2.21
1668;Sakany.4.0
1668;Sakany.4.20
1668;Sakany.8.0
1393;Sakany.3.1
1393;Sakany.407.4
1393;Sakany.409.0
1570;Sakany.3.2
1356;Sakany.3.3
1527;Sakany.3.4
804;Sakany.3.5
804;Sakany.409.6
779;Sakany.3.6
477;Sakany.3.7
477;Sakany.703.26
917;Sakany.3.8
895;Sakany.3.9
1634;Sakany.3.10
1482;Sakany.3.11
688;Sakany.3.12
889;Sakany.3.13
475;Sakany.3.14
598;Sakany.3.15
1390;Sakany.3.16
738;Sakany.3.17
1751;Sakany.3.18
1751;Sakany.435.5
1751;Sakany.444.0
704;Sakany.4.1
705;Sakany.4.2
436;Sakany.4.3
1090;Sakany.4.4
1090;Sakany.9.6
529;Sakany.4.5
1475;Sakany.4.6
134;Sakany.4.7
134;Sakany.5.0
134;Sakany.6.0
670;Sakany.4.8
1464;Sakany.4.9
1253;Sakany.4.10
198;Sakany.4.11
32;Sakany.4.12
1072;Sakany.4.13
1229;Sakany.4.14
143;Sakany.4.15
143;Sakany.307.52
1662;Sakany.4.16
22;Sakany.4.17
265;Sakany.4.18
265;Sakany.5.11
265;Sakany.11.4
569;Sakany.4.19
509;Sakany.5.1
294;Sakany.5.2
1741;Sakany.5.3
1737;Sakany.5.4
461;Sakany.5.5
542;Sakany.5.6
1710;Sakany.5.7
1745;Sakany.5.8
56;Sakany.5.9
226;Sakany.5.10
1468;Sakany.6.1
1062;Sakany.6.2
785;Sakany.6.3
785;Sakany.12.53
785;Sakany.23.12
466;Sakany.6.4
330;Sakany.6.5
343;Sakany.6.6
1545;Sakany.6.7
24;Sakany.6.8
1210;Sakany.6.9
503;Sakany.6.10
1777;Sakany.6.11
1777;Sakany.7.0
175;Sakany.6.12
1083;Sakany.6.13
417;Sakany.6.14
562;Sakany.7.1
722;Sakany.7.2
722;Sakany.109.0
1633;Sakany.7.3
525;Sakany.8.1
525;Sakany.9.0
525;Sakany.11.0
1502;Sakany.8.2
497;Sakany.8.3
1417;Sakany.8.4
1742;Sakany.8.5
1742;Sakany.444.8
684;Sakany.8.6
1553;Sakany.8.7
1299;Sakany.8.8
1626;Sakany.9.1
1344;Sakany.9.2
1344;Sakany.10.0
262;Sakany.9.3
1492;Sakany.9.4
730;Sakany.9.5
940;Sakany.10.1
643;Sakany.11.1
634;Sakany.11.2
545;Sakany.11.3
827;Sakany.12.1
827;Sakany.300.0
827;Sakany.303.0
248;Sakany.12.2
248;Sakany.305.0
1767;Sakany.12.3
792;Sakany.12.4
792;Sakany.306.0
792;Sakany.307.0
1145;Sakany.12.5
1145;Sakany.309.0
1810;Sakany.12.6
1810;Sakany.20.0
1304;Sakany.12.7
0;Sakany.12.8
0;Sakany.310.3
1609;Sakany.12.9
364;Sakany.12.10
364;Sakany.311.0
364;Sakany.312.5
1816;Sakany.12.11
1816;Sakany.313.0
732;Sakany.12.12
46;Sakany.12.13
698;Sakany.12.14
1540;Sakany.12.15
1540;Sakany.318.3
1590;Sakany.12.16
1590;Sakany.316.0
1073;Sakany.12.17
138;Sakany.12.18
814;Sakany.12.19
1814;Sakany.12.20
98;Sakany.12.21
585;Sakany.12.22
1693;Sakany.12.23
1693;Sakany.19.0
1631;Sakany.12.24
1595;Sakany.12.25
1561;Sakany.12.26
407;Sakany.12.27
1786;Sakany.12.28
801;Sakany.12.29
77;Sakany.12.30
77;Sakany.17.0
1236;Sakany.12.31
1165;Sakany.12.32
1165;Sakany.15.0
1165;Sakany.16.7
729;Sakany.12.33
121;Sakany.12.34
121;Sakany.27.11
1754;Sakany.12.35
737;Sakany.12.36
969;Sakany.12.37
969;Sakany.23.0
876;Sakany.12.38
460;Sakany.12.39
776;Sakany.12.40
776;Sakany.14.0
557;Sakany.12.41
1618;Sakany.12.42
1359;Sakany.12.43
1682;Sakany.12.44
450;Sakany.12.45
450;Sakany.13.0
1573;Sakany.12.46
1367;Sakany.12.47
1111;Sakany.12.48
281;Sakany.12.49
1337;Sakany.12.50
1055;Sakany.12.51
1251;Sakany.12.52
1557;Sakany.13.1
916;Sakany.13.2
916;Sakany.321.20
1656;Sakany.13.3
215;Sakany.13.4
682;Sakany.13.5
1034;Sakany.13.6
1005;Sakany.13.7
458;Sakany.14.1
546;Sakany.14.2
101;Sakany.14.3
600;Sakany.14.4
320;Sakany.14.5
748;Sakany.14.6
1022;Sakany.14.7
473;Sakany.15.1
473;Sakany.16.0
473;Sakany.27.0
515;Sakany.15.2
1460;Sakany.15.3
2;Sakany.15.4
933;Sakany.15.5
933;Sakany.30.0
353;Sakany.15.6
451;Sakany.15.7
681;Sakany.15.8
681;Sakany.29.0
1046;Sakany.15.9
674;Sakany.15.10
857;Sakany.15.11
857;Sakany.31.0
1001;Sakany.15.12
589;Sakany.15.13
489;Sakany.15.14
452;Sakany.15.15
1227;Sakany.15.16
832;Sakany.15.17
306;Sakany.15.18
292;Sakany.16.1
1765;Sakany.16.2
1765;Sakany.21.5
1765;Sakany.22.0
1142;Sakany.16.3
911;Sakany.16.4
1130;Sakany.16.5
432;Sakany.16.6
1203;Sakany.17.1
145;Sakany.17.2
145;Sakany.18.0
145;Sakany.26.7
224;Sakany.17.3
1655;Sakany.17.4
1328;Sakany.17.5
1328;Sakany.25.8
1129;Sakany.18.1
1674;Sakany.18.2
1081;Sakany.18.3
108;Sakany.19.1
75;Sakany.19.2
347;Sakany.19.3
1624;Sakany.19.4
1511;Sakany.19.5
1264;Sakany.19.6
225;Sakany.20.1
225;Sakany.310.0
1116;Sakany.20.2
913;Sakany.21.0
499;Sakany.21.1
1612;Sakany.21.2
1598;Sakany.21.3
1653;Sakany.21.4
1175;Sakany.22.1
312;Sakany.22.2
659;Sakany.22.3
745;Sakany.23.1
1512;Sakany.23.2
90;Sakany.23.3
210;Sakany.23.4
258;Sakany.23.5
289;Sakany.23.6
1198;Sakany.23.7
1198;Sakany.24.0
371;Sakany.23.8
116;Sakany.23.9
173;Sakany.23.10
1698;Sakany.23.11
291;Sakany.24.1
1503;Sakany.24.2
1156;Sakany.24.3
1454;Sakany.24.4
948;Sakany.24.5
663;Sakany.25.0
319;Sakany.25.1
94;Sakany.25.2
794;Sakany.25.3
937;Sakany.25.4
1768;Sakany.25.5
958;Sakany.25.6
541;Sakany.25.7
48;Sakany.26.0
607;Sakany.26.1
780;Sakany.26.2
697;Sakany.26.3
637;Sakany.26.4
1341;Sakany.26.5
115;Sakany.26.6
1801;Sakany.27.1
1225;Sakany.27.2
898;Sakany.27.3
898;Sakany.28.0
212;Sakany.27.4
691;Sakany.27.5
1526;Sakany.27.6
816;Sakany.27.7
1178;Sakany.27.8
105;Sakany.27.9
1384;Sakany.27.10
702;Sakany.28.1
920;Sakany.29.1
1089;Sakany.29.2
1661;Sakany.29.3
400;Sakany.29.4
27;Sakany.29.5
1657;Sakany.29.6
526;Sakany.29.7
419;Sakany.30.1
1154;Sakany.30.2
1477;Sakany.30.3
1306;Sakany.30.4
721;Sakany.31.1
1517;Sakany.31.2
1191;Sakany.89.0
1191;Sakany.90.6
1191;Sakany.105.5
1121;Sakany.89.1
1121;Sakany.90.0
1702;Sakany.89.2
1497;Sakany.89.3
1549;Sakany.90.1
1491;Sakany.90.2
1535;Sakany.90.3
1455;Sakany.90.4
932;Sakany.90.5
112;Sakany.91.0
112;Sakany.105.2
1324;Sakany.91.1
182;Sakany.91.2
124;Sakany.91.3
124;Sakany.92.0
1412;Sakany.91.4
840;Sakany.91.5
987;Sakany.92.1
146;Sakany.92.2
1017;Sakany.92.3
1530;Sakany.101.0
1530;Sakany.120.0
1530;Sakany.450.0
1446;Sakany.101.1
354;Sakany.101.2
543;Sakany.101.3
325;Sakany.101.4
398;Sakany.101.5
283;Sakany.101.6
283;Sakany.110.0
528;Sakany.101.7
1486;Sakany.101.8
1486;Sakany.102.0
454;Sakany.101.9
454;Sakany.112.2
805;Sakany.101.10
805;Sakany.103.5
805;Sakany.105.0
1513;Sakany.101.11
1513;Sakany.110.15
636;Sakany.101.12
759;Sakany.101.13
784;Sakany.101.14
132;Sakany.101.15
1186;Sakany.101.16
207;Sakany.101.17
1472;Sakany.101.18
1413;Sakany.101.19
276;Sakany.101.20
1284;Sakany.101.21
841;Sakany.101.22
580;Sakany.101.23
174;Sakany.101.24
1321;Sakany.101.25
151;Sakany.101.26
383;Sakany.101.27
1650;Sakany.101.28
680;Sakany.101.29
1220;Sakany.101.30
1364;Sakany.101.31
1364;Sakany.432.18
1377;Sakany.101.32
410;Sakany.101.33
1606;Sakany.101.34
530;Sakany.101.35
1695;Sakany.101.36
967;Sakany.101.37
1815;Sakany.101.38
