id;x;y;z
513;-122.92;0.91;-1.46
1074;-122.07;-2.49;-1.28
1440;-121.88;3.34;-1.1
1375;-123.96;-1.53;-1.82
1056;-123.26;2.27;0.96
1798;-120.92;-7.51;4.44
1631;5.62;45.86;2.43
648;5.66;45.84;2.49
154;25.26;123.14;21.56
128;25.25;123.08;21.55
382;0.0;0.0;0.0
340;-4.26;-0.13;-1.01
1049;-17.82;27.77;32.96
1126;4.2;43.09;-2.93
641;4.24;43.06;-12.56
1190;1.06;43.53;-11.33
400;8.33;43.78;-13.67
476;-3.55;47.55;-7.38
84;-5.14;52.29;-5.95
1710;-8.98;60.8;-9.03
1201;-7.58;45.4;-3.15
1007;-6.36;59.63;-9.4
45;-12.24;65.93;-8.77
683;-5.03;58.92;-12.12
606;-5.74;59.83;-12.11
738;-6.11;58.67;-15.2
1495;-4.08;57.1;-16.65
1374;-5.28;55.97;-19.85
515;-2.55;62.18;-30.02
1174;-2.4;62.19;-33.97
342;-1.17;62.2;-33.96
1658;3.11;59.04;-40.5
1193;0.94;57.14;-43.77
682;2.28;56.69;-43.75
1220;2.38;56.68;-48.91
98;2.08;54.41;-49.73
747;0.18;51.12;-49.78
1406;6.56;49.09;-48.77
422;-0.19;64.43;-50.31
1080;-8.77;68.68;-7.97
1787;-11.84;65.47;-8.75
1338;-14.13;65.87;-8.92
631;-8.79;72.91;-8.71
239;-15.41;75.99;-9.97
124;-19.56;70.11;-10.19
1800;-27.52;76.79;-9.52
347;-19.56;71.52;-10.2
755;-26.61;82.12;-6.22
706;-31.68;89.56;-5.67
1165;-26.64;82.19;-1.51
1762;-35.26;87.89;-3.82
1142;-36.78;89.65;-3.76
1249;-36.82;89.68;-1.23
958;-35.66;88.26;-1.18
1713;-35.71;88.28;0.96
1623;-35.05;92.54;0.22
469;-34.08;94.26;0.27
951;-34.08;94.27;-1.2
58;-33.02;96.16;-1.11
14;-32.64;98.57;1.83
1013;-34.89;102.31;2.62
545;-32.51;98.55;1.63
1274;-5.31;47.66;-50.12
66;-7.85;46.74;-50.16
893;-17.2;55.47;-50.53
464;-20.99;40.41;-50.58
931;-19.17;63.44;-50.82
431;-24.49;32.51;-49.37
745;-32.95;24.18;-48.76
824;-22.51;17.35;-50.24
1109;-28.21;27.11;-48.78
1408;-43.74;33.9;-48.23
1694;-13.5;23.32;-50.04
1559;-11.34;29.04;-46.49
82;-8.13;32.92;-44.62
929;-5.17;29.71;-44.88
1593;-0.11;33.43;-49.06
91;3.29;34.13;-48.85
1278;7.68;29.52;-49.21
1052;15.1;34.82;-46.1
1615;7.62;28.52;-49.14
42;17.54;42.04;-43.49
1744;13.91;52.92;-48.96
1591;9.7;50.34;-48.95
1485;12.02;59.37;-48.91
1519;-24.0;29.69;-48.8
718;-19.79;32.27;-48.82
1218;-15.57;34.85;-48.84
81;-11.36;37.43;-48.86
563;-7.15;40.01;-48.87
1086;-2.94;42.59;-48.89
1743;1.27;45.17;-48.91
556;5.48;47.76;-48.93
711;-50.62;40.27;-48.13
113;-53.6;48.02;-48.47
906;-54.83;57.38;-48.51
214;-52.53;48.61;-48.51
100;-58.71;46.34;-48.44
1540;-68.21;67.65;-48.62
453;-74.02;60.16;-48.65
1643;-76.36;56.38;-47.88
348;-76.39;56.31;-47.89
1416;-83.9;47.31;-48.56
1483;-92.47;38.66;-48.41
840;-99.23;34.53;-48.3
613;-104.57;25.96;-47.95
1423;-103.16;37.81;-48.31
883;-104.56;21.36;-47.95
136;-110.27;7.16;-47.95
1715;-106.22;43.3;-49.0
1348;-107.62;51.17;-49.0
828;-109.63;42.28;-49.01
1471;-9.06;90.77;-48.59
71;-10.97;94.85;-48.59
428;-5.18;90.6;-48.6
568;-9.43;90.7;-47.55
391;-12.42;94.84;-48.2
1556;-13.26;97.16;-47.77
1729;-3.24;75.74;-50.08
922;-5.12;65.39;-50.15
1329;7.32;66.8;-50.06
9;-4.67;83.4;-48.73
324;-9.57;71.32;-51.07
211;-16.96;78.43;-50.3
1711;-6.41;78.12;-50.94
743;-20.03;76.61;-51.86
600;5.5;61.82;-49.1
1608;-7.15;-0.97;-2.66
1046;-4.31;-0.05;-1.04
1055;-3.89;-2.21;-2.78
207;-8.16;-5.65;-1.71
1797;-7.03;0.43;-5.81
882;-10.31;-8.5;-2.67
332;-13.98;-11.26;-1.79
69;-10.59;-8.09;-2.76
696;-12.12;-9.33;-4.06
1706;-15.93;-14.47;-1.49
1509;-12.15;-13.86;-1.11
838;-18.17;-11.08;-0.73
103;-17.5;-17.48;-1.53
345;-19.13;-8.79;-0.76
445;-21.94;-6.51;-1.11
1182;-20.61;-11.42;-1.11
844;-25.56;-8.11;-1.72
1178;-26.22;-10.87;-1.73
159;-24.92;-4.49;-0.73
375;-23.81;-7.49;-2.61
853;-29.46;-10.3;-2.2
1601;-26.29;-12.68;0.08
436;-31.62;-12.74;-2.08
1058;-32.91;-14.57;-1.59
1014;-35.37;-12.0;-1.46
370;-38.18;-15.32;-2.13
407;-37.27;-11.16;-1.5
481;-39.91;-13.89;-2.13
52;-38.66;-15.83;-2.12
1033;-41.9;-11.84;-1.34
764;-43.56;-10.47;-2.14
238;-46.78;-7.55;-2.29
1095;-50.45;-7.47;-2.48
930;-54.4;-3.54;-3.48
243;-56.69;1.42;-3.47
549;-53.73;6.64;-1.64
153;-57.29;8.19;-2.27
784;-55.46;8.71;-2.59
1020;-58.4;12.99;-4.2
693;-58.52;14.14;-3.75
523;-64.16;17.71;-14.57
1769;-66.42;24.0;-17.03
1137;-68.15;28.53;-21.98
1354;-58.64;25.5;-21.96
1261;-76.76;27.3;-21.98
1578;-56.12;22.74;-22.14
409;-56.01;24.64;-23.55
111;-54.54;18.84;-21.21
599;-58.16;24.07;-22.48
1044;-54.49;28.16;-23.77
566;-51.42;28.18;-22.68
486;-55.91;28.8;-24.48
37;-50.05;30.45;-22.67
1025;-48.45;33.62;-24.78
1123;-49.87;40.23;-25.66
1676;-50.21;33.99;-25.1
1511;-47.36;43.55;-24.78
442;-46.81;44.29;-24.59
240;-46.73;44.32;-24.65
1521;-45.27;45.38;-24.33
903;-45.63;42.77;-24.64
93;-45.58;42.95;-32.29
137;-45.62;48.24;-35.24
1316;-45.38;50.62;-35.23
642;-45.38;50.65;-39.31
934;-43.77;53.29;-35.81
1533;-48.41;50.24;-39.52
1134;-49.43;51.04;-40.78
152;-51.97;49.33;-44.49
1616;-52.66;48.5;-44.46
820;-52.64;48.53;-48.53
1107;-42.57;55.54;-35.84
1059;-41.13;53.94;-36.29
1425;-41.57;57.05;-36.34
1765;-40.57;50.78;-40.12
10;-38.91;57.0;-43.12
86;-36.46;54.64;-45.42
1299;-36.46;54.64;-47.02
1809;-42.25;42.26;-21.29
1451;-41.13;39.19;-18.34
1661;-39.89;39.52;-16.81
173;-35.85;38.82;-13.94
632;-32.52;37.61;-7.79
654;-31.72;33.15;-5.68
487;-48.74;15.5;-19.54
702;-56.32;17.09;-20.31
373;-52.4;22.62;-14.56
1444;-48.7;15.57;-14.79
1317;-46.65;13.14;-9.7
917;-47.06;10.83;-8.45
1236;-49.48;10.83;-7.05
1629;-46.4;8.95;-7.92
1796;-49.05;8.38;-2.39
969;-48.65;7.69;-2.1
822;-47.76;4.97;2.0
331;-49.82;9.78;-1.89
1624;-47.76;4.47;2.0
96;-43.91;2.92;5.01
1619;-43.02;4.82;4.64
1048;-46.51;-1.49;8.09
635;-43.32;6.51;7.1
1327;-44.03;7.74;8.21
1001;-42.37;8.04;9.62
1390;-40.29;7.52;11.84
317;-38.54;7.34;13.94
1737;-38.19;7.3;15.91
938;-57.53;17.75;-20.58
565;-60.35;19.37;-21.28
757;-56.05;17.88;-20.37
40;-59.5;17.58;-18.6
1034;-59.22;22.12;-21.15
1347;-59.1;22.42;-22.27
1040;-78.95;30.53;-22.12
799;-83.6;28.35;-21.85
1233;-81.32;33.91;-20.62
171;-78.29;31.66;-19.87
520;-83.63;28.34;-23.85
233;-84.09;28.12;-23.85
756;-85.31;31.88;-22.09
1306;-81.33;36.09;-22.03
1170;-82.36;38.93;-23.99
293;-59.22;10.49;-2.27
1281;-60.51;9.61;-2.63
597;-61.84;11.44;-2.75
1114;-61.57;13.01;-2.75
521;-62.84;14.52;-3.09
318;-16.41;-20.3;-3.36
1101;-18.87;-14.74;-1.34
889;-53.35;10.59;-18.67
242;-53.42;10.76;-18.74
1364;-54.64;14.12;-20.04
50;-54.84;15.28;-18.36
1767;-61.62;17.39;-16.48
1648;-62.06;14.86;-13.41
160;-54.21;34.48;-33.24
825;-53.82;36.8;-35.44
336;-53.34;40.94;-39.79
145;-52.57;42.71;-40.53
508;-51.92;45.64;-41.54
1687;-53.46;46.12;-39.98
396;-53.94;46.13;-40.74
56;-51.93;43.46;-36.9
1669;-56.56;46.26;-45.11
432;-58.61;46.37;-48.54
570;-50.77;41.97;-35.58
1811;-50.77;39.72;-34.28
1346;-49.37;39.07;-32.44
842;-48.33;37.82;-30.82
603;-75.5;26.05;-18.75
699;-75.92;26.13;-18.5
255;-79.76;26.81;-16.25
1159;-80.45;28.69;-16.25
689;-82.69;29.99;-17.75
522;-83.38;31.17;-18.04
267;-83.38;31.17;-20.04
1148;-77.38;25.64;-18.41
1655;-77.43;25.72;-18.24
1538;-77.98;26.68;-16.33
1671;-77.64;30.53;-17.37
72;-77.65;30.53;-19.87
1106;-78.14;31.4;-19.87
1774;-52.28;24.73;-13.57
580;-51.5;25.24;-13.76
335;-52.81;26.63;-15.39
662;-47.19;24.28;-12.15
1331;-52.5;27.89;-16.79
909;-55.04;27.13;-20.32
1579;-54.89;25.8;-21.87
1738;-55.66;25.34;-22.04
859;-56.01;26.94;-23.76
1747;-49.34;12.36;-2.9
1138;-50.3;14.07;-3.81
716;-51.53;17.78;-6.76
179;-52.98;19.9;-9.33
732;-52.99;19.9;-9.5
862;-58.25;18.55;-21.15
735;-47.31;8.4;-7.49
244;-46.59;7.78;-7.49
1705;-48.03;6.97;-4.63
1285;-47.26;-3.47;10.21
1761;-138.13;-17.32;-8.94
15;-142.38;-19.77;-5.5
1372;-137.93;-15.02;-10.07
1602;-138.12;-17.18;-8.85
1010;-152.86;-15.81;-2.82
1084;-152.92;-15.77;-2.89
659;-155.81;-14.09;-6.61
1213;-156.12;-12.91;-11.15
354;-154.84;-14.45;-11.08
47;-156.1;-12.88;-11.15
555;-156.09;-12.95;-11.15
537;-154.33;-13.06;-11.08
1379;-154.32;-13.04;-11.08
1752;-153.58;-8.98;-16.98
80;-153.58;-8.95;-17.02
551;-153.57;-8.96;-17.01
1594;-153.57;-8.88;-17.09
1443;-151.13;-12.9;-13.39
1681;-151.16;-12.93;-13.46
1072;-152.68;-14.73;-17.53
31;-152.69;-14.73;-17.54
268;-152.69;-14.73;-17.55
1621;-152.7;-14.75;-17.54
205;-152.69;-14.74;-29.25
1068;-153.92;-15.44;-27.84
298;-150.07;-14.62;-25.66
729;-129.85;-3.0;-16.45
541;-129.87;-4.91;-17.03
605;-128.85;-3.2;-16.12
1458;-130.91;-2.8;-15.55
1070;-132.49;-5.34;-21.28
1091;-155.31;-11.52;-11.43
709;-158.54;-8.78;-16.49
1784;-158.55;-8.76;-16.49
1027;-158.4;-8.61;-16.28
133;-156.39;-6.62;-13.45
1692;-155.88;-6.12;-12.74
941;-121.33;-31.41;-4.34
1486;-120.23;-35.52;-3.2
1266;-121.41;-28.67;-4.96
773;-121.46;-31.39;-2.56
156;-154.95;-14.59;-11.11
1009;-154.38;-15.42;-11.1
710;-155.79;-17.41;-13.54
1187;-154.07;-22.22;-6.25
203;-153.96;-22.55;-2.27
289;-152.92;-4.43;-22.46
104;-152.73;-3.16;-23.99
1291;-152.73;-3.16;-32.79
552;-151.63;-2.97;-33.91
150;-150.79;1.65;-36.84
23;-152.03;4.35;-39.52
1297;-152.96;5.03;-41.51
1748;-155.51;-18.44;-15.66
259;-158.31;-22.12;-13.79
421;-158.88;-22.86;-13.41
845;-126.98;-8.03;-40.92
868;-128.32;0.08;-39.17
1210;-125.06;-8.92;-43.04
1459;-126.98;-12.28;-48.28
1097;-123.89;-1.41;-30.39
470;-126.37;-2.53;-29.12
411;-127.64;-0.68;-27.77
1185;-123.07;1.89;-24.37
998;-122.64;4.22;-23.95
1503;-124.42;3.99;-21.96
779;-123.31;6.42;-19.73
490;-123.56;2.59;-21.49
1365;-123.58;2.54;-18.47
323;-124.68;0.26;-18.16
343;-127.53;0.95;-17.53
942;-124.65;0.31;-14.7
1651;-128.82;-3.13;-16.14
1696;-132.11;-6.01;-13.49
448;-170.58;-49.5;21.5
1073;-170.53;-49.46;21.43
1667;-167.88;-47.33;18.03
172;-167.87;-47.36;18.03
724;-167.87;-47.38;18.03
1140;-167.57;-49.16;18.03
1794;-168.18;-52.54;15.8
988;-191.71;-60.98;16.89
1734;-191.72;-60.97;16.88
512;-192.94;-59.5;15.03
286;-193.98;-58.89;15.03
1113;-122.11;1.73;-14.69
459;-123.31;6.43;-19.71
807;-123.89;1.49;-14.7
1764;-119.73;0.33;-10.29
1389;-123.31;6.43;-19.72
876;-121.28;-28.72;-5.13
85;-126.07;-29.81;-1.03
1668;-119.3;-27.57;-2.98
1151;-121.15;-28.74;-5.32
1246;-122.22;-33.36;-2.12
579;-124.65;-31.82;-0.98
1388;-91.82;-24.81;11.55
1654;-91.81;-24.66;11.53
1770;-91.54;-21.66;11.09
1501;-92.46;-20.99;10.14
587;-93.48;-22.41;8.03
1222;-93.84;-22.92;7.26
188;-93.84;-22.91;4.28
1537;-93.84;-22.89;4.28
708;-93.13;-21.01;4.59
1258;-92.64;-19.38;0.62
355;-90.51;-17.5;-2.74
1453;-93.71;-15.99;-5.32
714;-92.39;-20.75;-4.1
106;-96.01;-14.11;-8.63
1532;-96.86;-10.99;-8.93
397;-98.38;-11.93;-11.88
462;-98.22;-9.12;-10.49
226;-96.9;-10.89;-8.9
74;-98.34;-12.79;-11.79
1785;-99.64;-12.45;-14.04
1366;-102.76;-10.22;-17.65
148;-106.04;-9.37;-23.57
350;-106.51;-5.81;-25.26
586;-108.56;-4.62;-26.68
1513;-112.29;-6.6;-31.36
790;-104.96;-5.31;-21.23
1421;-120.67;-7.33;-39.77
46;-99.37;22.8;22.61
509;-98.04;20.09;24.21
916;-99.13;25.66;22.03
1793;-95.88;24.77;21.24
658;-98.91;25.9;22.65
1617;-95.27;18.63;25.88
1237;-100.96;20.35;26.63
246;-101.62;14.17;26.7
1359;-103.2;21.77;26.47
18;-103.7;23.54;26.54
1695;-103.72;25.34;25.93
583;-93.39;28.03;22.64
204;-94.01;31.52;22.01
213;-90.2;28.3;24.44
346;-93.42;25.94;22.16
1358;-95.62;33.8;21.21
1200;-97.28;30.23;21.91
1516;-99.0;29.77;22.56
504;-95.73;30.65;21.91
1268;-100.34;28.16;23.23
311;-96.03;26.24;23.51
923;-97.63;27.16;21.67
961;-82.95;-22.63;-14.29
656;-84.63;-26.24;-16.15
1685;-84.65;-26.24;-9.45
534;-85.89;-26.13;-9.45
458;-88.54;-23.47;-7.7
920;-92.33;-23.8;-6.47
1292;-92.39;-23.81;-2.87
1560;-104.88;-5.33;-18.86
1690;-98.67;-5.06;-8.48
1323;-99.64;-2.96;-8.45
218;-100.76;2.44;-7.38
1412;-102.74;0.69;-4.72
175;-100.76;2.44;-7.31
134;-103.31;-0.67;-7.02
1369;-100.12;-4.84;-0.59
748;-106.08;-5.34;-8.01
1335;-100.04;-4.92;-0.49
229;-100.92;-3.13;-1.1
526;-96.95;-7.24;1.91
633;-95.36;-10.63;3.81
697;-95.05;-16.74;6.9
1727;-96.65;-18.23;6.94
1604;-93.88;-19.62;4.84
789;-100.73;2.47;-5.01
1660;-96.95;6.66;-2.96
1127;-96.37;7.9;-1.5
812;-95.8;9.77;-0.45
809;-96.44;7.89;-1.43
584;-92.91;11.31;1.44
695;-94.79;13.19;3.29
511;-90.61;9.42;9.54
474;-98.46;7.53;0.62
484;-98.5;7.53;2.62
995;-102.86;0.25;1.15
1293;-109.65;-34.19;4.91
1553;-109.66;-34.1;4.92
802;-109.9;-32.77;4.93
1502;-106.78;-32.05;8.78
558;-106.63;-30.35;9.24
1659;-108.29;-29.22;9.25
1315;-110.48;-27.73;4.24
857;-113.24;-27.49;2.65
992;-116.3;-29.26;1.41
277;-113.33;-27.36;2.81
1066;-117.81;-30.1;-0.33
107;-117.93;-24.68;0.11
1691;-122.71;-27.71;-3.18
760;-122.21;-22.61;-3.18
767;-121.73;-19.45;-2.77
865;-119.62;-19.95;-1.27
1699;-119.53;-19.9;-1.37
38;-119.56;-20.1;-1.19
1563;-117.66;-18.7;-0.95
109;-115.33;-19.74;-0.23
1419;-115.31;-19.74;-0.19
737;-114.47;-23.1;1.12
1303;-113.36;-18.64;2.51
984;-113.33;-18.64;2.55
1539;-113.86;-15.0;1.77
1179;-112.22;-14.22;1.01
977;-108.65;-9.96;-1.95
199;-107.08;-7.05;-3.48
1567;-81.94;-15.68;23.8
611;-81.93;-15.46;23.85
87;-71.91;-9.83;25.97
1473;-81.8;-11.42;24.64
1795;-81.66;-6.89;25.53
353;-81.49;-1.87;26.52
1450;-80.66;3.07;25.51
740;-80.49;4.15;25.3
1172;-80.49;4.63;25.1
1171;-74.58;5.74;25.85
1002;-80.85;10.42;25.29
1404;-82.98;15.17;24.08
1482;-85.15;13.65;25.76
333;-84.85;21.63;24.3
1160;-80.33;16.72;29.57
254;-85.95;30.58;22.54
232;-89.86;21.18;25.65
860;-88.72;39.05;20.94
1474;-80.51;30.72;22.6
1461;-91.95;48.44;19.16
1773;-92.1;48.99;19.05
1238;-92.15;49.02;16.04
1038;-95.65;52.56;15.07
488;-92.62;57.48;16.1
208;-93.36;59.72;18.07
195;-92.61;62.13;15.9
1209;-91.81;64.71;20.74
101;-89.0;70.84;23.23
1508;-87.63;74.93;21.62
1775;-84.56;77.66;27.14
1118;-82.78;79.76;27.14
602;-80.23;82.48;25.26
1753;-74.7;83.91;24.93
793;-72.19;86.59;27.1
1041;-75.65;90.32;27.98
734;-72.63;89.69;31.78
1657;-73.45;98.21;25.67
1646;-70.55;99.93;25.66
387;-70.55;100.0;21.96
505;-70.46;102.87;26.73
830;-72.02;100.85;21.96
221;-73.93;101.94;21.96
1568;-73.99;101.94;18.66
1115;-76.99;101.94;13.46
1392;-74.7;106.26;9.64
1275;-74.69;106.26;9.64
1183;-66.13;111.22;-2.16
1477;-63.96;119.36;-9.23
3;-63.86;119.73;-9.55
90;-85.85;18.59;26.02
1382;-94.64;11.94;29.33
543;-94.62;11.98;29.32
1441;-93.28;14.3;28.34
416;-94.36;17.78;27.7
89;-92.25;20.76;25.99
1469;-88.98;30.93;24.44
947;-101.34;26.98;19.62
1759;-101.54;27.11;13.69
593;-101.93;32.79;11.79
873;-108.39;32.63;5.53
117;-110.43;32.06;1.88
1446;-110.5;32.1;-5.54
1385;-107.54;39.48;-8.39
810;-112.39;27.75;-4.59
1144;-108.32;44.56;-13.97
595;-108.5;45.44;-28.3
224;-110.32;46.68;-28.24
655;-110.5;46.82;-34.27
723;-113.62;48.04;-36.87
1196;-113.73;48.09;-40.81
777;-114.03;51.46;-41.22
839;-115.45;46.28;-40.53
766;-111.85;56.36;-44.32
1356;-107.21;61.02;-45.84
1573;-114.61;57.95;-47.51
140;-108.99;63.56;-46.97
1075;-109.51;67.25;-49.3
553;-109.75;68.93;-50.36
341;-91.06;32.13;17.86
634;-118.81;23.47;-6.15
249;-118.78;23.49;-6.29
1314;-111.2;41.97;-44.52
418;-112.58;40.56;-44.25
263;-117.92;34.71;-43.16
502;-117.91;34.69;-43.17
178;-117.9;34.66;-43.19
163;-117.42;40.34;-37.58
1463;-122.04;33.36;-36.89
905;-118.19;40.76;-36.69
