id;idsql
66;1
3;3
74;31
17;57
11;76
6;113
7;135
57;155
57;930
73;172
73;931
48;181
68;196
1;209
22;229
0;244
43;259
29;276
32;292
54;307
47;328
56;347
8;381
34;394
42;411
13;428
28;443
33;458
21;483
10;498
41;515
4;537
70;556
5;571
67;591
58;622
50;637
26;648
9;658
69;683
23;694
25;716
38;725
71;734
53;749
62;761
39;779
46;786
65;795
20;808
59;821
44;856
49;864
60;878
72;892
16;907
2;918
37;932
31;941
52;951
27;970
77;986
30;999
63;1022
36;1049
12;1070
35;1086
75;1093
61;1112
45;1136
76;1142
15;1160
18;1177
14;1189
19;1195
40;1200
51;1210
64;1227
55;1238
24;1248
