id;x;y;z
66;488605.88;4454049.43;143.38
3;488607.98;4454047.13;143.21
3;488607.2;4454046.77;143.43
3;488606.5;4454046.99;143.79
3;488608.0;4454047.09;142.45
3;488607.24;4454046.78;142.68
3;488606.41;4454047.09;143.0
3;488604.94;4454048.8;143.61
3;488605.05;4454048.62;143.49
3;488605.15;4454048.43;144.01
3;488605.38;4454048.07;143.28
3;488605.51;4454047.9;142.72
3;488605.2;4454048.33;142.54
3;488605.15;4454048.84;142.72
3;488607.86;4454048.5;142.74
3;488608.59;4454046.9;140.64
3;488608.7;4454045.52;140.76
3;488607.64;4454044.89;140.68
3;488606.73;4454046.04;141.17
3;488606.14;4454046.52;141.03
3;488605.56;4454048.0;142.64
3;488605.41;4454047.54;140.72
3;488605.26;4454048.57;140.27
3;488606.03;4454048.56;139.43
3;488607.02;4454046.75;135.65
3;488606.75;4454047.01;139.24
3;488608.39;4454046.92;138.69
3;488608.88;4454047.82;137.95
74;488606.19;4454050.05;140.29
74;488605.37;4454049.18;141.95
74;488606.54;4454049.24;142.02
74;488607.2;4454048.72;141.92
74;488607.85;4454048.02;142.09
74;488607.29;4454046.66;143.11
74;488605.92;4454046.68;142.01
74;488606.5;4454046.43;140.42
74;488608.16;4454046.81;139.98
74;488608.42;4454046.95;140.96
74;488607.46;4454046.08;142.03
74;488606.3;4454047.33;138.89
74;488605.73;4454047.86;139.63
74;488605.06;4454050.07;139.79
74;488606.32;4454050.55;139.55
74;488608.62;4454051.04;139.46
74;488609.15;4454049.85;138.76
74;488608.91;4454048.3;138.82
74;488608.76;4454047.75;140.33
74;488608.22;4454047.11;140.22
74;488609.87;4454049.4;137.32
74;488609.55;4454050.93;136.54
74;488608.94;4454048.53;137.27
74;488608.53;4454047.35;137.3
74;488607.03;4454046.4;137.65
17;488608.48;4454050.33;137.32
17;488608.26;4454050.57;139.54
17;488609.64;4454049.82;137.71
17;488606.52;4454048.84;137.37
17;488606.82;4454046.66;137.84
17;488607.58;4454045.77;137.19
17;488607.7;4454049.09;136.06
17;488606.51;4454047.8;136.11
17;488607.09;4454044.61;135.48
17;488607.21;4454047.19;135.62
17;488607.43;4454047.15;135.16
17;488609.08;4454044.28;133.1
17;488610.09;4454044.69;132.73
17;488608.06;4454045.97;131.69
17;488608.42;4454047.27;131.14
