id;idsql
949;2
949;29
104;3
387;4
387;5
1421;6
1460;7
735;8
7;9
906;10
1366;11
134;12
1434;13
505;14
523;15
1159;16
1302;17
579;18
1069;19
1069;20
181;21
220;22
220;23
733;24
1046;25
1109;26
722;27
454;28
653;1
1439;30
292;31
1148;32
1326;33
388;34
388;38
602;35
1270;36
250;37
798;39
798;46
1102;40
1060;41
1303;42
984;43
1179;44
410;45
410;48
410;50
1166;47
4;49
642;51
667;52
971;53
183;54
1351;55
276;56
828;57
627;58
93;59
781;60
1298;61
1448;62
174;63
1323;64
830;65
1007;66
826;67
113;68
348;69
228;70
281;71
128;72
848;73
1309;74
30;75
1264;76
225;77
908;78
507;79
784;80
247;81
1008;82
698;83
1080;84
758;85
1098;86
1254;88
1091;89
39;90
923;91
1394;92
578;93
1400;94
367;87
1123;95
964;96
1449;97
669;98
112;99
806;100
766;101
384;102
920;103
1163;104
361;105
525;106
801;107
868;108
1461;109
1173;110
1017;111
1151;112
77;113
656;114
304;115
1295;116
1025;117
355;118
205;119
810;120
1160;121
301;122
479;123
1076;124
580;125
398;126
692;127
138;128
1225;129
821;130
555;131
846;132
648;133
1411;134
526;135
973;136
294;137
202;138
1174;139
1117;140
702;141
1045;142
1288;143
37;144
834;145
572;146
541;147
909;148
1042;149
691;150
299;151
320;152
1199;153
1454;154
270;155
118;156
272;157
1211;158
365;159
345;160
422;161
1108;162
70;163
1362;164
1361;165
116;166
655;167
869;168
413;169
1215;170
444;171
1258;172
1037;173
632;174
718;175
746;176
581;177
952;178
650;179
960;180
136;181
595;182
22;183
354;184
771;185
470;186
32;187
208;188
337;189
1282;190
1219;191
932;192
264;193
995;194
767;195
1342;196
1201;197
1201;198
853;199
278;200
1106;201
1063;202
513;203
379;204
676;205
1154;206
404;207
1433;208
164;209
42;210
1396;211
610;212
817;213
736;214
1086;215
268;216
59;217
723;218
1223;219
1188;220
203;221
305;222
750;223
1369;224
531;225
377;226
823;227
33;228
85;229
1234;230
3;231
558;232
675;233
1084;234
774;235
712;236
596;237
1430;238
229;239
1450;240
638;241
197;242
497;243
87;244
872;245
1067;246
34;247
710;248
1375;249
1310;250
590;251
747;252
788;253
529;254
222;255
1061;256
1249;257
99;258
1406;259
239;260
1044;261
455;262
805;263
1138;264
951;265
789;266
383;267
139;268
1019;269
1441;270
633;271
1118;272
687;273
397;274
679;275
1090;276
1418;277
1255;278
549;279
1292;280
252;281
626;282
860;283
825;284
910;285
919;286
1217;287
536;288
1358;289
1150;290
1010;291
838;292
1027;293
1107;294
631;295
193;296
360;297
64;298
890;299
731;300
1363;301
1363;321
1301;302
100;303
818;304
584;305
532;306
254;307
492;308
492;312
958;309
160;310
1176;311
1176;325
946;313
290;314
290;318
970;315
495;316
310;317
1024;319
1155;320
1426;322
961;323
162;324
1124;326
101;327
979;328
939;329
1352;330
1440;331
52;332
464;333
678;334
769;335
28;336
1081;337
190;338
212;339
167;340
813;341
114;342
1376;343
1133;344
520;345
152;346
438;347
15;348
1033;349
335;350
509;351
671;352
671;365
603;353
210;354
577;355
726;356
658;357
658;367
344;358
287;359
1446;360
742;361
742;370
790;362
196;363
778;364
1374;366
1315;368
199;369
598;371
137;372
380;374
521;375
1131;376
313;377
765;378
246;379
643;380
97;381
1135;382
1167;383
80;384
347;385
1233;386
342;387
280;388
315;389
31;390
1359;391
686;392
620;393
770;394
327;395
709;396
457;397
560;398
617;399
803;400
744;401
1261;402
889;403
1228;404
1129;405
1052;406
704;407
251;408
1242;409
855;410
839;411
930;412
588;413
534;414
286;415
451;416
991;417
783;418
130;419
867;420
1243;421
1153;422
57;423
1331;424
1089;425
673;426
5;427
870;428
1335;373
487;429
999;430
756;431
837;432
1312;433
55;434
236;435
569;436
63;437
307;438
1165;439
724;440
537;441
378;442
437;443
786;444
195;445
639;446
237;447
1200;448
261;449
968;450
258;451
866;452
234;453
696;454
1245;455
48;456
634;457
1240;458
1164;459
514;460
243;461
561;462
1318;463
641;464
358;465
175;466
1161;467
1114;468
1235;469
399;470
35;471
1324;472
127;473
499;474
1168;475
993;476
448;477
891;478
1034;479
326;480
1419;481
1126;482
660;483
1382;484
14;485
20;486
1050;487
1423;488
997;489
1230;490
219;491
1149;492
935;493
1429;494
1196;495
1357;496
402;497
1347;498
211;499
485;500
568;501
708;502
994;503
592;504
511;505
874;506
787;507
978;508
123;509
877;510
963;511
1266;512
496;513
926;514
38;515
1184;516
289;517
645;518
232;519
508;520
1018;521
629;522
147;523
489;524
934;525
1112;526
9;527
1379;528
1412;529
319;530
896;531
182;532
1392;533
405;534
426;535
17;536
1049;537
1156;538
1424;539
171;540
543;541
148;542
941;543
562;544
799;545
84;546
318;547
414;548
459;549
694;550
179;551
1256;552
1068;553
900;554
1384;555
339;556
911;557
500;558
331;559
259;560
96;561
458;562
332;563
1134;564
1175;565
415;566
1012;567
260;568
729;569
122;570
131;571
1380;572
477;573
74;574
74;575
430;576
306;577
1119;578
463;579
1340;580
599;581
1209;582
102;583
1287;584
695;585
1293;586
1267;587
317;588
649;589
699;590
436;591
1103;592
522;593
854;594
519;595
996;596
151;597
151;599
484;598
408;600
681;601
982;602
998;603
840;604
133;605
990;606
630;607
78;608
462;609
425;610
433;611
905;612
214;613
942;614
1345;615
879;616
363;617
985;618
551;619
677;620
956;621
170;622
835;623
557;624
1383;625
140;626
885;627
244;628
346;629
1284;630
597;631
1015;632
898;633
717;634
486;635
875;636
465;637
24;638
1171;639
1194;640
1191;641
172;642
349;643
1346;644
640;645
1279;646
1085;647
915;648
604;649
340;650
135;651
893;652
1096;653
768;654
1028;655
1299;656
453;657
1100;658
1271;659
156;660
916;661
1056;662
1325;663
933;664
12;665
1388;666
624;667
1205;668
540;669
1398;670
217;671
480;672
665;673
1000;674
749;675
142;676
739;677
881;678
155;679
132;680
1158;681
1094;682
600;683
524;684
284;685
1389;686
1311;687
827;688
395;689
707;690
1276;691
1250;692
776;693
776;701
1030;694
1030;695
849;696
690;697
8;698
959;699
262;700
847;702
772;703
1353;704
943;705
185;706
504;707
159;708
149;709
948;710
948;711
948;714
948;730
685;712
1038;713
987;715
589;716
1304;717
1;718
815;719
815;720
815;744
819;721
374;722
530;723
1348;724
233;725
265;726
1141;727
381;728
26;729
1023;731
445;732
230;733
391;734
730;735
476;736
1343;737
1339;738
608;739
1026;740
625;741
491;742
1373;743
207;745
1350;746
1377;747
1443;748
1344;749
1231;750
293;751
548;752
1390;753
1183;754
1002;755
330;756
129;757
1062;758
878;759
257;760
863;761
351;762
796;763
1095;764
390;765
105;766
279;767
797;768
983;769
291;770
1416;771
955;772
1204;773
1204;778
921;774
921;776
1057;775
791;777
1291;779
223;780
1349;781
1152;782
616;783
1333;784
356;785
546;786
297;787
421;788
903;789
550;790
1451;791
1059;792
1099;793
106;794
488;795
338;796
449;797
1053;798
897;799
897;802
209;800
1232;801
745;803
764;804
446;805
446;806
668;807
328;808
201;809
517;810
375;811
375;812
375;814
364;813
269;815
1229;816
1336;817
1336;818
564;819
1218;820
227;821
1197;822
58;823
748;824
1408;825
1408;826
1341;827
382;828
392;829
545;830
1360;831
176;832
887;833
1425;834
682;835
1381;836
65;837
1313;838
1032;839
864;840
1403;841
974;842
989;843
533;844
1332;845
1147;846
697;847
980;848
1206;849
538;850
323;851
1397;852
904;853
369;854
1385;855
593;856
86;857
651;858
651;867
1399;859
1262;860
573;861
41;862
249;863
473;864
1395;865
1435;866
394;868
325;869
493;870
1190;871
303;872
62;873
1307;874
442;875
606;876
832;877
124;878
1407;879
157;880
1356;881
836;882
757;883
547;884
582;885
376;886
556;887
719;888
221;889
1275;890
688;891
372;892
1213;893
574;894
851;895
1077;896
503;897
861;898
1413;899
263;900
844;901
189;902
189;908
1445;903
298;904
1265;905
1321;906
1251;907
498;909
1420;910
1420;914
929;911
366;912
809;913
754;915
661;916
45;917
502;919
1145;920
700;921
516;922
69;923
177;924
108;925
1442;926
734;927
56;928
957;929
165;930
186;931
357;932
27;933
71;934
417;935
807;936
618;937
856;938
1367;939
1221;940
1130;941
1444;942
1016;943
333;944
76;918
1283;945
899;946
188;947
1093;948
1170;949
324;950
94;951
1087;952
213;953
10;954
944;955
180;956
81;957
115;958
409;959
98;960
66;961
423;962
471;963
1236;964
107;965
1181;966
73;967
1296;968
501;969
738;970
256;971
204;972
1208;973
637;974
145;975
1286;976
1387;977
752;978
752;985
752;992
587;979
1244;980
894;981
811;982
811;990
859;983
751;984
1043;986
285;987
0;988
802;989
539;991
231;993
1457;994
843;995
1162;996
575;997
95;998
780;999
255;1000
1368;1001
715;1002
1259;1003
884;1004
689;1005
490;1006
902;1007
902;1008
954;1009
60;1010
1105;1011
321;1012
1079;1013
119;1014
644;1015
218;1016
1137;1017
266;1018
1428;1019
481;1020
662;1021
628;1022
1193;1023
1051;1024
389;1025
808;1026
808;1060
583;1027
144;1028
1169;1029
341;1030
794;1031
359;1032
654;1033
1224;1034
570;1035
1314;1036
711;1037
842;1038
46;1039
901;1040
111;1041
54;1042
917;1043
109;1044
245;1045
1438;1046
1021;1047
741;1048
914;1049
822;1050
824;1051
1014;1052
362;1053
187;1054
1157;1055
248;1056
1247;1057
1120;1058
441;1059
441;1066
168;1061
622;1062
424;1063
1447;1064
1189;1065
1172;1067
1172;1069
586;1068
666;1070
936;1071
972;1072
1386;1073
1386;1076
1110;1074
1083;1075
456;1077
373;1078
277;1079
585;1080
1456;1081
657;1082
1257;1083
601;1084
1198;1085
1354;1086
986;1087
226;1088
1202;1089
506;1090
886;1091
1111;1092
1013;1093
1035;1094
544;1095
938;1096
792;1097
253;1098
16;1099
542;1100
1212;1101
11;1102
659;1103
571;1104
1082;1105
594;1106
1186;1107
725;1108
1074;1109
1185;1110
1364;1111
295;1112
336;1113
452;1114
1237;1115
401;1116
1092;1117
763;1118
535;1119
1300;1120
1436;1121
833;1122
833;1131
440;1123
440;1126
1073;1124
605;1125
192;1127
1437;1128
1075;1129
1241;1130
1078;1132
2;1133
1203;1134
403;1135
103;1136
913;1137
1327;1138
153;1139
1414;1140
576;1141
576;1142
981;1143
432;1144
1064;1145
1064;1146
296;1147
1459;1148
716;1149
1263;1150
975;1151
158;1152
992;1153
552;1154
552;1162
737;1155
386;1156
386;1157
1004;1158
672;1159
146;1160
427;1161
647;1163
1371;1164
871;1165
814;1166
1180;1167
126;1168
121;1169
1222;1170
282;1171
940;1172
275;1173
1405;1174
760;1175
1001;1176
804;1177
927;1178
314;1179
515;1180
353;1181
1268;1182
1187;1183
829;1184
241;1185
636;1186
370;1187
370;1193
370;1263
370;1265
1058;1188
947;1189
619;1190
882;1191
419;1192
865;1194
865;1201
271;1195
1020;1196
1020;1205
1020;1207
334;1197
334;1217
1142;1198
150;1199
1422;1200
976;1202
1410;1203
161;1204
1192;1206
559;1208
701;1209
29;1210
1031;1211
49;1212
1253;1213
816;1214
1452;1215
635;1216
612;1218
1453;1219
1048;1220
1322;1221
461;1222
607;1223
173;1224
1260;1225
416;1226
53;1227
92;1228
393;1229
343;1230
288;1231
740;1232
143;1233
777;1234
50;1235
322;1236
235;1237
1210;1238
621;1239
238;1240
468;1241
466;1242
40;1243
1319;1244
460;1245
613;1246
1214;1247
1214;1248
755;1249
1140;1250
800;1251
472;1252
1143;1253
720;1254
945;1255
1104;1256
1320;1257
518;1258
1146;1259
1334;1260
1022;1261
1136;1262
1036;1264
309;1266
1308;1267
494;1268
812;1269
812;1277
567;1270
1040;1271
1393;1272
273;1273
273;1275
1071;1274
184;1276
302;1278
977;1279
1005;1280
67;1281
1306;1282
918;1283
795;1284
110;1285
110;1300
206;1286
782;1287
782;1307
680;1288
75;1289
75;1313
1227;1290
779;1291
670;1292
1144;1293
683;1294
1066;1295
1248;1296
125;1297
922;1298
61;1299
1417;1301
431;1302
439;1303
6;1304
274;1305
1127;1306
1281;1308
51;1309
1088;1310
1003;1311
1055;1312
79;1314
83;1315
862;1316
1269;1317
68;1318
1280;1319
907;1320
1305;1321
663;1322
1290;1323
311;1324
178;1325
1317;1326
1329;1327
240;1328
1065;1329
1370;1330
308;1331
242;1332
1289;1333
609;1334
407;1335
1113;1336
1409;1337
892;1338
880;1339
1378;1340
623;1341
36;1342
1252;1343
512;1344
969;1345
166;1346
166;1347
483;1348
1274;1349
925;1350
965;1351
43;1352
91;1353
44;1354
1139;1355
924;1356
312;1357
88;1358
434;1359
475;1360
1404;1361
352;1362
215;1363
191;1364
191;1428
1316;1365
1458;1366
937;1367
937;1375
1115;1368
47;1369
350;1370
714;1371
728;1372
1431;1373
1432;1374
1226;1376
82;1377
21;1378
1039;1379
1047;1380
429;1381
90;1382
1072;1383
1355;1384
1041;1385
966;1386
120;1387
773;1388
732;1389
1177;1390
1238;1391
163;1392
163;1417
1011;1393
154;1394
329;1395
450;1396
565;1397
1195;1398
713;1399
652;1400
652;1407
1391;1401
1239;1402
1132;1403
563;1404
1338;1405
831;1406
1101;1408
727;1409
762;1410
554;1411
1122;1412
435;1413
615;1414
591;1415
785;1416
13;1418
474;1419
411;1420
216;1421
1207;1422
316;1423
194;1424
1297;1425
684;1426
224;1427
1178;1429
469;1430
19;1431
89;1432
1427;1433
400;1434
1070;1435
467;1436
852;1437
962;1438
1006;1439
883;1440
1285;1441
72;1442
988;1443
418;1444
1216;1445
1116;1446
931;1447
406;1448
1401;1449
420;1450
967;1451
566;1452
1273;1453
412;1454
169;1455
693;1456
527;1457
721;1458
841;1459
928;1460
876;1461
1372;1462
753;1463
753;1485
1128;1464
368;1465
706;1466
1009;1467
478;1468
1337;1469
1220;1470
443;1471
371;1472
23;1473
873;1474
759;1475
1415;1476
950;1477
267;1478
25;1479
703;1480
858;1481
664;1482
857;1483
1029;1484
553;1486
775;1487
283;1488
528;1489
141;1490
1330;1491
1455;1492
1455;1505
1277;1493
396;1494
1272;1495
705;1496
482;1497
895;1498
888;1499
761;1500
1125;1501
117;1502
1054;1503
1365;1504
953;1506
793;1507
18;1508
1402;1509
1278;1510
428;1511
646;1512
845;1513
743;1514
820;1515
850;1516
614;1517
1182;1518
447;1519
447;1532
510;1520
912;1521
1294;1522
674;1523
385;1524
1328;1525
1097;1526
1246;1527
200;1528
198;1529
300;1530
1121;1531
611;1533
