from_id;to_id;flag
1958;4432;dpl
814;2921;dpl
417;2019;dpl
2019;709;dpl
709;3894;dpl
3894;2797;dpl
2797;2388;dpl
2388;37;dpl
37;2227;dpl
2227;1684;dpl
1684;4656;dpl
4656;909;dpl
909;3597;dpl
3597;3960;dpl
3960;4752;dpl
4752;3016;dpl
3016;4615;dpl
4615;103;dpl
103;3685;dpl
3685;3869;dpl
3869;797;dpl
797;2137;dpl
804;5435;dpl
1527;3355;dpl
3355;1837;dpl
1837;4787;dpl
1797;2829;dpl
2829;3378;dpl
2829;4780;dpl
3378;992;dpl
992;829;dpl
829;2921;dpl
4780;660;dpl
660;2589;dpl
2589;4624;dpl
4624;4432;dpl
2855;4885;dpl
4885;355;dpl
355;1404;dpl
1404;4346;dpl
4346;391;dpl
391;787;dpl
787;1181;dpl
1181;4773;dpl
4773;3821;dpl
3821;1396;dpl
1396;5086;dpl
5086;1089;dpl
2870;3521;dpl
406;729;dpl
729;545;dpl
545;3521;dpl
4273;4042;dpl
4273;1020;dpl
4023;3398;srf
3948;2217;dpl
3948;2665;dpl
3948;1145;dpl
3948;4293;dpl
3948;2295;dpl
3948;3986;dpl
1205;2675;dpl
1205;4300;dpl
1205;2439;dpl
1205;3444;dpl
1205;1096;dpl
2460;3712;dpl
2460;1484;dpl
2460;2739;dpl
2460;3553;dpl
436;3210;dpl
436;1503;dpl
436;1503;dpl
436;36;dpl
4929;424;dpl
4929;1979;dpl
4929;1841;dpl
1046;3633;dpl
