from_id;to_id
5237;1958
5237;1605
1958;3791
1958;409
1605;727
727;2904
2904;712
712;5416
5416;814
814;5282
814;1319
5282;1481
1481;3327
3327;4002
4002;3142
4002;2204
3142;690
690;956
690;661
956;400
956;3907
956;1821
400;1220
400;2509
1220;5132
1220;395
1220;755
1220;4383
661;4831
4831;5229
5229;1039
5229;106
1039;1711
1711;417
1711;4869
417;2288
2137;3913
2137;5142
3791;1736
1736;3605
3605;3517
3517;376
3517;4375
376;2189
2189;4040
2189;711
4040;3592
3592;5340
5340;1184
1184;1659
1659;2270
2270;2645
2645;3249
3249;578
578;1609
1609;4855
4855;1240
4855;4327
4855;580
1240;2273
2273;5412
5412;2841
2841;783
783;786
786;5341
5341;804
804;3275
804;4607
3275;1887
1887;4192
4192;4592
4592;3803
3803;1803
1803;4341
4341;2512
2512;81
81;5359
5359;5083
5083;844
844;1885
844;2363
1885;2579
2579;4119
4119;2869
395;2472
2472;4154
4869;1104
1104;1863
1863;1172
1172;326
326;4674
755;4282
4282;185
185;328
328;2089
328;3199
3199;3601
3199;3493
3601;4208
4208;229
229;1423
3493;2939
3493;4383
3493;3478
2939;4043
4043;1225
1225;99
99;4658
4658;5397
4658;4238
5397;3527
3527;5178
2509;3505
4375;3727
3727;1130
1130;4645
4645;4857
4857;3193
3193;1200
1200;3670
711;4587
4587;3774
3774;1855
1855;1535
1535;4321
1535;4215
4321;2346
2346;28
2346;629
2346;4477
2346;4961
106;4922
4922;2299
2299;1820
2299;2679
1820;3778
3778;878
2679;87
87;5366
87;4086
87;5163
5366;3031
3031;1941
1941;1527
1527;1363
1527;723
1363;4046
723;28
4327;1961
1961;4395
4395;3183
3183;3026
3026;1349
1349;5033
5033;5145
5145;1764
1764;3426
3426;2519
2519;932
2494;3110
3110;2707
3110;4114
2707;5362
4114;1585
1585;2871
1585;5223
5223;450
450;2546
2546;5396
5396;4264
4264;4234
4234;3730
3730;172
172;4644
172;4350
4644;553
4644;4599
4644;4446
4350;541
541;2011
3913;1513
1513;388
388;4664
4664;4155
4155;2618
2618;4309
4309;1793
1793;4446
4446;195
4749;553
4749;4959
4599;4351
4351;198
198;1543
198;1842
1543;1092
1842;4887
4887;1112
4887;3662
1112;4589
4589;3780
3780;2288
4959;4047
4047;5179
5179;5142
3662;4729
4729;4796
4796;1563
1563;4178
4178;195
4787;1752
4787;1999
1752;2490
2490;810
2490;5350
810;1215
1215;563
563;4215
563;4235
4235;2376
2376;4964
4964;2106
2106;930
930;63
63;731
731;1380
731;2647
1380;2215
2215;5433
