id;flag
5132;con
2137;ent
5179;ent
716;ent
716;con
13;fix
5453;ent
4220;ent
2855;ent
1421;ent
3799;ent
3175;ent
1438;con
3621;ent
2119;ent
3961;ent
2787;ent
521;ent
2453;ent
993;ent
569;ent
1524;ent
2051;ent
2;fix
3;fix
4018;ent
4058;ent
280;ent
1378;ent
2150;ent
654;ent
10;fix
16;fix
1228;ent
225;ent
4;fix
3872;ent
4829;ent
794;ent
9;fix
3678;ent
1171;ent
3325;ent
1050;ent
479;ent
11;fix
15;fix
8;fix
1;fix
2222;ent
100;ent
1298;ent
3489;ent
2676;ent
2306;ent
3167;ent
4428;ent
2848;ent
393;ent
513;ent
3266;ent
872;ent
2199;ent
182;ent
4545;ent
2371;ent
5166;ent
2442;ent
5;fix
4081;ent
59;ent
4766;ent
4362;ent
3827;ent
17;ent
2277;ent
315;ent
2604;ent
4655;ent
2702;ent
2903;ent
3932;ent
2881;ent
1972;ent
4611;ent
4898;ent
14;fix
4723;ent
3802;ent
333;ent
441;ent
12;fix
2053;ent
4713;ent
4180;ent
4274;ent
505;ent
1516;ent
5098;ent
7;fix
4056;ent
132;ent
1025;ent
2046;ent
4236;ent
5159;ent
834;ent
5141;ent
3091;ent
4066;ent
1206;ent
322;ent
1664;ent
265;ent
1300;ent
76;ent
1532;ent
2256;ent
6;fix
3353;ent
4085;ent
3219;ent
1009;ent
1683;ent
1683;ent
4023;ent
