id;x;y;z
5237;490100.99;4452097.39;84.15
1958;490106.83;4452091.09;84.47
1605;490102.56;4452108.44;75.75
727;490105.69;4452109.65;72.99
2904;490112.86;4452113.19;76.01
712;490120.24;4452122.88;77.24
5416;490121.67;4452133.41;75.73
814;490125.18;4452139.94;77.55
5282;490125.16;4452145.35;81.19
1481;490124.15;4452153.44;78.44
3327;490124.25;4452159.95;77.47
4002;490129.56;4452166.19;74.26
3142;490132.86;4452172.33;71.4
690;490124.5;4452188.61;61.47
956;490134.44;4452193.14;58.54
400;490138.61;4452195.31;59.63
1220;490141.87;4452199.71;57.3
5132;490136.07;4452213.72;64.06
661;490119.85;4452198.8;55.78
4831;490117.6;4452210.45;52.27
5229;490105.98;4452228.67;41.93
1039;490099.69;4452242.47;37.0
1711;490103.0;4452246.94;37.1
417;490102.85;4452246.54;43.22
2137;490150.0;4452330.0;10.0
3791;490097.43;4452089.01;79.7
1736;490085.33;4452090.83;73.82
3605;490078.59;4452095.83;70.03
3517;490080.17;4452092.8;71.14
376;490077.18;4452103.59;65.31
2189;490071.05;4452102.01;64.29
4040;490072.24;4452089.99;71.69
3592;490075.78;4452087.01;72.69
5340;490073.91;4452081.39;75.12
1184;490069.06;4452076.63;76.57
1659;490067.47;4452073.96;78.86
2270;490061.12;4452071.98;80.15
2645;490056.68;4452074.46;78.63
3249;490054.77;4452072.0;78.24
578;490052.07;4452066.8;78.86
1609;490044.35;4452063.32;79.3
4855;490043.59;4452064.41;78.54
1240;490039.07;4452067.04;79.08
2273;490030.71;4452072.12;78.23
5412;490022.96;4452078.88;74.96
2841;490017.49;4452076.62;76.22
783;490008.71;4452080.27;75.89
786;490004.64;4452081.01;75.17
5341;490002.15;4452082.07;74.94
804;489994.44;4452082.32;70.7
3275;489987.55;4452082.35;66.04
1887;489981.34;4452077.18;62.86
4192;489978.15;4452070.14;64.28
4592;489973.41;4452059.07;66.77
3803;489967.24;4452048.0;64.02
1803;489961.11;4452037.34;58.47
4341;489959.45;4452032.9;58.42
2512;489959.31;4452028.19;58.61
81;489954.12;4452018.89;55.09
5359;489952.81;4452012.5;54.35
5083;489946.85;4452012.35;52.2
844;489939.66;4452012.9;48.69
1885;489934.9;4452014.88;50.77
2579;489927.34;4452008.88;51.28
4119;489918.63;4452001.7;60.42
2869;489918.63;4452001.7;85.42
395;490136.07;4452213.74;64.38
2472;490131.17;4452225.58;77.2
4154;490128.51;4452228.01;80.68
4869;490099.82;4452246.41;36.17
1104;490101.87;4452248.98;35.94
1863;490102.25;4452251.52;34.21
1172;490100.57;4452261.56;27.85
326;490100.82;4452270.9;23.69
4674;490100.38;4452274.26;22.32
755;490144.93;4452197.16;58.92
4282;490148.05;4452194.27;58.61
185;490150.2;4452194.02;60.58
328;490153.1;4452192.08;62.94
2089;490154.38;4452190.63;61.69
3199;490157.95;4452189.74;66.44
3601;490163.21;4452181.49;66.96
4208;490167.12;4452173.96;61.66
229;490168.02;4452172.07;61.8
1423;490170.62;4452167.99;55.82
3493;490157.46;4452190.65;67.61
2939;490163.51;4452196.0;69.03
4043;490165.87;4452204.48;68.72
1225;490166.34;4452205.99;71.48
99;490169.43;4452211.66;70.69
4658;490176.34;4452213.71;71.83
5397;490178.29;4452220.74;71.83
4238;490178.92;4452208.75;76.52
3527;490176.43;4452220.04;70.49
5178;490171.45;4452226.53;63.12
4383;490148.85;4452196.98;62.73
3907;490139.71;4452187.58;63.15
1821;490134.61;4452186.31;73.88
2509;490139.5;4452194.23;59.09
3505;490139.68;4452187.43;63.68
4375;490079.52;4452089.31;71.76
3727;490083.14;4452075.28;75.65
1130;490080.55;4452065.96;79.17
4645;490076.81;4452056.92;84.37
4857;490072.64;4452051.69;88.55
3193;490068.07;4452041.2;92.94
1200;490075.36;4452035.61;97.22
711;490074.96;4452119.58;56.13
4587;490078.41;4452128.82;53.75
3774;490074.79;4452138.03;51.17
1855;490084.66;4452146.46;50.7
1535;490084.23;4452147.9;51.98
4321;490084.44;4452153.32;50.62
2346;490077.79;4452167.63;44.52
106;490102.8;4452219.86;43.56
4922;490100.42;4452212.06;44.68
2299;490092.49;4452213.82;38.36
1820;490092.17;4452226.41;35.68
3778;490090.41;4452233.22;33.26
878;490088.34;4452239.08;30.49
2679;490086.81;4452213.29;34.57
87;490070.49;4452210.39;29.46
5366;490070.42;4452188.57;36.53
3031;490070.79;4452188.62;36.44
1941;490075.48;4452185.12;39.13
1527;490087.53;4452180.46;45.08
1363;490095.76;4452177.05;49.23
4046;490106.68;4452167.71;57.2
723;490079.99;4452172.34;43.98
28;490078.3;4452168.16;45.72
4327;490054.01;4452069.38;78.54
1961;490052.7;4452071.89;77.67
4395;490050.38;4452074.33;77.73
3183;490048.51;4452083.55;74.49
3026;490052.84;4452087.66;71.45
1349;490050.15;4452098.88;67.93
5033;490047.76;4452104.96;66.3
5145;490053.41;4452111.13;61.47
1764;490060.24;4452122.26;55.38
3426;490064.29;4452118.68;58.63
2519;490069.14;4452104.16;64.2
932;490070.09;4452104.37;63.82
2494;490178.88;4452298.22;51.65
3110;490174.21;4452289.25;60.14
2707;490175.93;4452284.37;61.24
5362;490176.29;4452282.42;67.32
4114;490171.64;4452282.41;61.29
1585;490168.5;4452280.85;62.3
2871;490169.61;4452276.54;66.03
5223;490167.71;4452283.23;61.63
450;490169.64;4452285.65;57.2
2546;490165.28;4452288.32;54.25
5396;490160.71;4452292.98;45.27
4264;490160.21;4452294.47;39.79
4234;490155.83;4452299.99;32.99
3730;490148.34;4452300.45;27.73
172;490147.05;4452299.1;25.93
4644;490148.38;4452298.62;23.98
4350;490141.87;4452297.66;25.46
541;490134.71;4452288.68;27.07
2011;490126.15;4452286.31;29.45
3913;490161.34;4452321.3;22.66
1513;490167.81;4452318.11;22.61
388;490171.41;4452313.81;25.27
