from_id;to_id;flag
5313;591;dpl
591;3353;dpl
3353;2495;dpl
2495;2456;dpl
2456;647;dpl
647;10722;dpl
8430;4197;dpl
4197;7878;dpl
7878;3744;dpl
3744;7957;dpl
7957;12970;dpl
12970;2850;dpl
2850;7464;dpl
7464;13675;dpl
9477;3924;dpl
4230;10976;dpl
4230;8558;dpl
8264;661;dpl
3339;5635;srf
5635;8203;srf
2097;10343;dpl
10343;9935;dpl
10343;4480;dpl
4480;5342;dpl
5342;8973;dpl
8973;138;dpl
138;8767;dpl
3916;6398;srf
13023;6713;srf
10234;5316;dpl
5316;4776;dpl
4776;3240;dpl
3240;6981;dpl
6981;3383;dpl
3383;8381;dpl
8381;3842;dpl
3842;11313;dpl
11313;12967;dpl
12967;8885;dpl
8885;7528;dpl
14136;848;dpl
848;13951;dpl
4752;12555;srf
1110;10305;dpl
10305;6892;dpl
6892;7468;dpl
1677;8497;dpl
1677;3497;dpl
3506;3328;dpl
3506;661;dpl
5604;3924;dpl
5604;9514;dpl
9514;3328;dpl
1799;474;dpl
474;12561;dpl
13917;6819;dpl
623;3308;dpl
236;13089;dpl
7455;8689;dpl
11311;4943;dpl
4943;1219;dpl
6178;11659;dpl
9022;5369;dpl
10245;6080;dpl
8705;6541;dpl
3104;7850;dpl
6080;3475;dpl
3475;4046;dpl
4046;7850;dpl
74;12532;dpl
12532;1174;dpl
12532;13251;dpl
1174;10759;dpl
10759;5514;dpl
8490;5046;dpl
8490;9505;dpl
5046;4375;dpl
4375;9080;dpl
9080;3930;dpl
3930;4630;dpl
4630;13660;dpl
13660;6268;dpl
6268;12059;dpl
9505;4948;dpl
4948;8000;dpl
8000;10851;dpl
10851;319;dpl
319;9251;dpl
9251;13169;dpl
13169;8790;dpl
8790;13251;dpl
4907;2859;dpl
2859;12373;dpl
12373;2246;dpl
2246;11211;dpl
11211;1697;dpl
1697;11276;dpl
11276;12357;dpl
12357;10805;dpl
10805;8920;dpl
8920;871;dpl
871;3713;dpl
3713;578;dpl
578;11305;dpl
578;1412;dpl
11305;8048;dpl
1233;1723;dpl
1723;6889;dpl
6889;795;dpl
795;10574;dpl
10574;7443;dpl
7443;13090;dpl
13090;9384;dpl
9384;726;dpl
726;1716;dpl
1716;10863;dpl
10863;13738;dpl
13738;8237;dpl
498;6052;srf
6052;8052;srf
6052;3096;srf
8052;7485;srf
10977;2296;srf
10977;14123;srf
3792;9761;srf
14123;9761;srf
4225;13960;dpl
13960;10152;dpl
10152;12302;dpl
12302;11923;dpl
11923;8278;dpl
8278;10142;dpl
10142;321;dpl
9548;10969;dpl
10969;7217;dpl
7217;3414;dpl
3414;11059;dpl
11059;393;dpl
393;11884;dpl
11884;10962;dpl
10962;6059;dpl
6059;5892;dpl
5892;7872;dpl
7872;802;dpl
802;2142;dpl
2142;3125;dpl
3125;11325;dpl
11325;187;dpl
187;3187;dpl
187;2761;dpl
3187;2216;dpl
2761;1357;dpl
4973;7103;dpl
3522;10446;dpl
10677;7606;dpl
10677;14281;dpl
10677;6991;dpl
10677;5383;dpl
10677;8081;dpl
10677;6668;dpl
6711;1143;dpl
6711;7036;dpl
2009;3128;dpl
6469;6971;dpl
4966;3449;dpl
3449;1474;dpl
9267;3128;dpl
12358;3618;dpl
92;12051;dpl
767;11319;dpl
14145;13401;dpl
8474;12195;dpl
7036;9142;dpl
9142;2581;dpl
2581;4634;dpl
4634;14188;dpl
14188;466;dpl
466;3631;dpl
3631;10923;dpl
10923;6675;dpl
6675;1733;dpl
1733;11466;dpl
11466;13885;dpl
13885;8554;dpl
8554;117;dpl
117;4054;dpl
4054;5980;dpl
5980;5633;dpl
5633;3364;dpl
3364;11535;dpl
11535;12620;dpl
12620;8296;dpl
8296;7617;dpl
7617;10454;dpl
10454;4163;dpl
4163;7327;dpl
7327;8287;dpl
8287;1283;dpl
1283;10094;dpl
10094;1826;dpl
1826;5281;dpl
5281;9005;dpl
9005;10675;dpl
10675;5481;dpl
5481;9684;dpl
9684;4709;dpl
4709;10018;dpl
10018;1389;dpl
1389;486;dpl
486;5746;dpl
5746;12255;dpl
12255;8945;dpl
8945;7430;dpl
7430;260;dpl
260;1300;dpl
1300;1923;dpl
1300;10452;dpl
1923;11039;dpl
11039;12313;dpl
12313;3776;dpl
3776;5499;dpl
5499;13109;dpl
10452;1664;dpl
1664;4278;dpl
804;3865;dpl
3865;2793;dpl
2793;10134;dpl
10134;3905;dpl
3905;4507;dpl
4507;12876;dpl
12876;7189;dpl
7189;546;dpl
546;12293;dpl
12293;11746;dpl
11746;12349;dpl
12349;6165;dpl
6165;9894;dpl
9894;175;dpl
175;2345;dpl
2345;8601;dpl
8601;10419;dpl
10419;10201;dpl
10201;13437;dpl
11913;6158;dpl
1561;11867;dpl
11867;10124;dpl
10124;14036;dpl
14036;3777;dpl
3777;6261;dpl
6504;5938;dpl
5938;2454;dpl
2454;8853;dpl
8853;9363;dpl
9363;13803;dpl
13803;12315;dpl
12315;1251;dpl
1251;4577;dpl
4577;14172;dpl
14172;699;dpl
699;5298;dpl
5298;1961;dpl
1961;13781;dpl
13781;7099;dpl
7099;12287;dpl
12287;14058;dpl
14058;1009;dpl
1009;1210;dpl
1210;9702;dpl
9702;2064;dpl
2064;3693;dpl
3693;10385;dpl
10385;9568;dpl
9568;1259;dpl
1259;12462;dpl
12462;4782;dpl
4782;11669;dpl
11669;7994;dpl
7994;4667;dpl
4667;8055;dpl
8055;6941;dpl
6941;1991;dpl
1991;5772;dpl
5772;8261;dpl
8261;4390;dpl
4390;13576;dpl
13576;1735;dpl
1735;10599;dpl
10599;5705;dpl
5705;10712;dpl
10712;2892;dpl
2892;2764;dpl
2764;11017;dpl
11017;9484;dpl
9484;4552;dpl
4552;11567;dpl
11567;12245;dpl
12245;12552;dpl
12552;11073;dpl
11073;3954;dpl
3954;8479;dpl
8479;2340;dpl
2340;7829;dpl
2340;11794;dpl
7829;306;dpl
306;5418;dpl
11794;4875;dpl
4875;13947;dpl
13947;8323;dpl
8323;10598;dpl
10598;9108;dpl
9108;10894;dpl
10894;10456;dpl
10456;1118;dpl
1118;197;dpl
197;790;dpl
790;5229;dpl
5229;2422;dpl
2422;7065;dpl
7065;8391;dpl
8391;10600;dpl
10600;8971;dpl
8971;3590;dpl
3590;986;dpl
986;5584;dpl
5584;6702;dpl
6702;8674;dpl
8674;1470;dpl
1470;7917;dpl
1470;3082;dpl
3082;12472;dpl
12472;5985;dpl
5985;11320;dpl
11320;4260;dpl
4260;13470;dpl
13470;8959;dpl
8959;2741;dpl
2741;2540;dpl
2540;13949;dpl
13949;898;dpl
13949;737;dpl
898;6089;dpl
6089;11175;dpl
11175;505;dpl
505;3114;dpl
3114;12260;dpl
12260;4558;dpl
4558;10535;dpl
10535;7739;dpl
7739;5445;dpl
5445;2038;dpl
2038;5509;dpl
5509;10859;dpl
10859;2207;dpl
2207;12295;dpl
12295;5451;dpl
5451;8544;dpl
8544;13553;dpl
13553;313;dpl
313;2947;dpl
2947;9554;dpl
9554;10237;dpl
10237;3478;dpl
3478;4802;dpl
4802;11824;dpl
11824;9349;dpl
9349;4441;dpl
4441;13549;dpl
13549;9901;dpl
9901;11854;dpl
11854;11085;dpl
11085;11579;dpl
737;9471;dpl
9471;7393;dpl
7393;6944;dpl
6944;8602;dpl
8602;6803;dpl
6803;165;dpl
165;2198;dpl
2198;621;dpl
621;11899;dpl
11899;13693;dpl
13693;2673;dpl
2673;10203;dpl
10203;1450;dpl
1450;7091;dpl
7091;75;dpl
75;3755;dpl
