id;cswidth;csheight
9500;6.016;2.629
779;3.215;6.266
4961;0.449;0.587
6762;0.928;1.698
8345;0.581;2.081
9074;2.18;2.673
2103;3.29;3.701
11441;9.188;9.188
6456;5.293;5.293
13940;18.299;19.874
9611;11.796;11.796
4169;7.539;7.539
13125;8.934;36.543
4752;2.968;1.961
12346;1.873;5.348
8121;2.044;7.518
8811;2.262;2.26
4613;2.035;2.035
10591;1.709;1.709
1821;0.921;0.921
7866;2.657;2.657
5394;2.006;2.006
2701;1.98;1.98
1924;2.214;2.467
13351;1.187;1.187
1110;1.661;1.661
3065;3.94;8.755
627;0.077;3.114
2202;1.888;1.888
4763;13.908;5.126
12857;1.883;1.883
10075;1.855;3.869
1671;1.842;1.842
6213;1.941;1.941
1835;1.708;1.708
3469;3.068;3.834
5636;0.818;1.344
1677;4.244;4.244
9292;2.224;2.224
10361;1.909;4.837
9802;2.571;2.571
3506;5.426;5.426
1872;5.026;1.368
13859;1.725;4.951
2905;4.208;2.167
2660;8.236;6.949
13917;1.968;1.968
1954;21.032;7.173
28;12.419;4.639
3291;5.984;2.657
836;4.983;4.026
10318;3.785;3.785
14174;5.846;13.677
236;2.262;2.262
12882;4.173;4.173
3;5.926;5.926
3770;9.792;2.698
13058;5.72;5.72
12649;17.142;10.12
12521;11.712;8.233
8932;5.354;5.354
3462;2.295;12.113
13574;3.179;2.917
4636;8.512;10.373
14182;4.16;4.16
10707;1.938;1.938
3078;4.191;2.828
707;6.577;5.855
1282;4.576;1.526
9347;6.482;0.992
12602;6.099;6.099
8400;6.548;6.548
90;4.939;4.939
4762;6.352;7.663
582;3.391;7.413
2647;5.854;8.592
594;4.015;4.015
237;4.784;4.784
7177;10.534;2.498
6549;15.571;7.674
8350;5.548;10.09
9783;3.589;3.589
4113;3.56;3.56
12387;7.079;7.972
9479;3.391;5.734
3580;9.611;8.751
13760;9.93;12.086
2088;4.519;4.519
13260;20.778;6.622
6698;15.866;10.47
9461;5.483;5.483
2675;16.104;4.97
7455;6.389;6.389
11626;3.231;5.581
12164;4.227;4.227
10773;7.498;3.268
2534;5.422;5.422
4881;8.762;8.762
13820;6.186;6.186
10342;5.309;5.309
11836;1.899;0.251
10300;3.112;3.112
5919;12.709;12.83
7006;3.714;3.714
12343;1.363;0.687
788;3.984;3.704
11705;5.442;11.246
10162;2.946;2.946
11634;7.135;5.771
9799;3.076;3.076
4842;5.349;19.795
4329;5.364;5.364
6759;7.764;18.498
13168;4.709;3.594
13392;6.899;9.769
5541;5.559;6.793
10501;8.449;18.469
4909;6.697;18.983
11311;4.089;4.089
6178;6.458;6.458
6407;4.315;4.724
2666;3.926;4.9
6712;4.146;2.815
12705;3.906;13.292
12427;3.557;13.038
3433;3.534;5.896
1940;6.891;19.444
183;10.207;14.709
9492;9.135;8.208
11654;3.425;14.971
8275;3.779;3.779
14085;3.596;3.596
11224;0.613;6.426
5037;2.293;2.293
2816;0.509;2.912
4476;0.1;1.143
395;0.174;0.933
9506;2.388;2.388
13258;1.841;1.841
12829;0.519;1.073
4430;1.363;1.363
7138;0.397;0.579
1507;0.336;2.593
6932;1.958;4.08
1804;0.908;2.163
8158;0.252;1.409
6572;0.563;2.854
59;2.781;3.544
8294;2.034;5.535
683;0.641;3.732
9022;6.4;6.4
5994;2.393;21.391
1331;1.83;0.525
4553;3.643;1.101
9325;3.731;8.154
8705;13.836;13.836
6573;9.466;2.678
2677;16.122;12.304
6246;11.185;8.174
4874;5.386;5.386
5765;3.141;1.618
13465;3.659;3.659
12122;5.082;11.536
13938;12.3;15.744
948;11.649;17.23
3104;4.455;4.455
6609;2.744;2.744
3345;3.559;3.964
12104;2.411;2.411
498;2.406;2.545
7485;2.087;2.685
3096;0.981;0.981
1351;2.688;2.688
9747;2.547;2.547
9786;1.791;5.719
6302;1.199;1.072
14328;1.906;3.457
362;3.238;3.83
4180;0.144;0.091
10038;0.519;2.037
3885;1.414;1.414
698;1.787;1.787
2296;1.308;0.829
12391;1.016;2.912
8216;0.838;1.823
3792;1.334;1.208
1899;1.493;2.086
13043;3.156;4.375
9121;1.096;1.096
3666;0.383;0.356
12302;5.832;5.832
4973;4.804;4.804
5136;5.15;5.15
3522;3.993;3.993
3330;2.491;16.225
7836;1.57;6.947
11558;4.402;5.888
12437;5.191;17.05
8572;2.289;2.289
6143;1.822;3.305
1601;1.517;1.517
4995;2.73;2.73
1744;3.573;3.573
8298;1.115;10.539
13699;1.402;1.402
4833;4.584;1.261
13771;2.445;6.729
5976;3.808;3.808
11581;3.652;3.652
13440;3.873;3.873
4747;6.274;10.843
4229;4.861;4.861
2093;8.12;12.953
404;2.987;7.654
6064;5.216;7.936
5529;9.783;5.805
11373;7.466;2.123
2144;3.704;20.297
13345;3.741;5.145
1650;3.497;7.727
2414;2.936;2.936
3126;5.226;8.929
2365;1.092;1.092
9118;1.623;1.623
13320;6.033;11.374
3397;4.523;4.523
1123;9.2;1.866
4398;3.299;8.021
6550;2.992;2.992
7286;0.758;2.381
12420;1.549;1.549
137;0.137;0.913
10292;3.582;3.105
4420;1.088;6.819
1837;1.75;6.631
11230;3.506;3.506
5079;1.455;2.685
3811;1.879;4.17
12015;2.295;14.292
11790;3.525;3.525
2627;5.051;6.924
296;1.716;1.716
3649;3.045;3.733
8660;2.881;2.881
