id;x;y;z
13999;328663.82;5108084.48;1864.0
2781;328663.59;5108082.0;1863.1
5784;328664.35;5108080.01;1863.19
6589;328666.35;5108074.87;1861.49
12119;328668.28;5108071.45;1860.81
4423;328669.36;5108068.92;1860.24
5806;328670.31;5108068.24;1859.25
3404;328671.53;5108068.17;1860.08
14234;328671.57;5108066.51;1858.92
12194;328672.54;5108064.64;1858.27
7172;328670.78;5108063.44;1858.17
13004;328668.96;5108063.27;1858.46
10160;328667.17;5108064.25;1857.86
1731;328665.53;5108065.3;1857.26
2193;328664.06;5108065.55;1857.4
12096;328663.15;5108064.75;1857.4
3299;328661.44;5108065.5;1855.48
2443;328660.49;5108064.5;1855.7
5417;328659.11;5108064.59;1855.41
2819;328658.09;5108066.67;1854.53
5423;328655.88;5108064.59;1853.44
6114;328655.18;5108065.58;1853.73
11811;328653.82;5108064.11;1854.35
10852;328653.55;5108061.81;1855.19
9772;328655.64;5108060.47;1852.29
7600;328654.97;5108058.95;1852.66
3730;328655.97;5108059.34;1853.08
5166;328656.28;5108057.64;1853.27
704;328658.77;5108055.64;1851.64
10570;328660.65;5108051.85;1848.87
12954;328661.69;5108048.69;1850.3
3199;328661.13;5108047.42;1849.73
9731;328663.77;5108044.21;1847.61
1122;328664.21;5108043.66;1847.61
1999;328663.46;5108041.95;1846.01
9637;328665.23;5108041.84;1847.02
11144;328668.07;5108039.21;1843.39
3869;328668.59;5108038.33;1843.18
4505;328669.77;5108036.84;1843.67
7326;328668.69;5108035.27;1841.64
4965;328667.82;5108035.02;1841.23
9755;328668.15;5108033.39;1839.02
12171;328667.06;5108032.16;1839.02
4624;328667.06;5108032.16;1835.63
5750;328664.83;5108031.38;1839.87
4928;328663.3;5108031.99;1838.47
6123;328663.07;5108090.97;1866.54
10353;328663.82;5108083.13;1863.03
8246;328663.71;5108081.94;1862.95
11937;328664.63;5108078.39;1862.99
12680;328664.65;5108078.29;1829.0
10246;328662.34;5108080.36;1828.09
6916;328660.42;5108080.86;1827.47
7459;328658.96;5108080.12;1827.27
13161;328656.73;5108080.87;1827.47
7481;328657.45;5108079.33;1827.83
5945;328658.21;5108077.6;1826.86
11401;328658.74;5108076.64;1825.8
14008;328658.26;5108076.17;1825.26
12097;328657.23;5108075.84;1824.97
14361;328656.63;5108076.18;1824.74
8283;328655.78;5108075.82;1824.65
13173;328654.1;5108075.48;1823.91
383;328652.67;5108075.02;1823.3
9549;328651.79;5108074.25;1822.3
9470;328650.01;5108073.72;1822.2
7944;328648.87;5108073.69;1821.94
12379;328647.62;5108074.07;1821.87
13228;328642.19;5108027.28;1829.8
11387;328639.39;5108025.79;1830.07
325;328638.66;5108024.97;1828.17
5063;328636.96;5108024.42;1825.63
12066;328632.26;5108021.91;1825.16
