id;x;y;z
9500;328529.92;5108037.18;1814.62
9500;328530.26;5108037.52;1815.08
9500;328530.52;5108037.65;1814.65
9500;328530.32;5108036.84;1814.37
9500;328530.51;5108036.57;1814.57
9500;328530.88;5108035.42;1814.06
9500;328530.62;5108036.78;1814.26
9500;328530.74;5108035.96;1813.32
9500;328530.52;5108036.67;1813.6
9500;328530.21;5108037.49;1813.96
9500;328529.29;5108037.97;1814.5
9500;328528.7;5108038.75;1814.69
9500;328529.11;5108037.51;1814.96
9500;328527.59;5108038.26;1815.29
9500;328526.85;5108039.11;1815.5
9500;328527.87;5108039.78;1815.47
9500;328528.41;5108040.56;1815.72
9500;328530.02;5108038.03;1814.79
9500;328528.79;5108038.71;1814.66
9500;328527.73;5108037.95;1815.89
9500;328531.16;5108034.86;1813.26
678;328527.81;5108037.96;1814.63
678;328529.46;5108039.11;1815.84
678;328526.67;5108039.89;1816.06
678;328528.7;5108039.48;1814.86
678;328528.58;5108039.19;1817.01
678;328528.19;5108038.53;1819.19
678;328528.61;5108037.97;1814.74
678;328529.64;5108037.51;1813.98
678;328528.69;5108037.56;1815.39
678;328529.86;5108038.18;1815.11
678;328529.58;5108038.63;1815.39
678;328528.9;5108038.4;1817.37
678;328528.71;5108037.85;1818.96
678;328528.01;5108037.64;1819.36
678;328527.81;5108037.23;1818.41
678;328527.88;5108039.09;1819.06
678;328528.7;5108036.39;1820.12
779;328529.52;5108036.69;1822.1
779;328528.47;5108036.82;1821.9
779;328527.18;5108036.33;1821.86
779;328527.45;5108035.39;1821.71
779;328528.9;5108035.41;1821.67
779;328527.34;5108036.86;1820.96
779;328527.16;5108037.23;1820.41
779;328527.09;5108037.57;1818.82
779;328527.7;5108036.94;1821.36
779;328527.87;5108036.95;1821.94
779;328526.67;5108037.47;1822.76
779;328525.9;5108038.92;1824.0
779;328526.94;5108040.14;1824.54
779;328528.01;5108038.99;1823.57
779;328528.54;5108038.03;1823.0
779;328527.66;5108037.67;1822.5
779;328527.08;5108038.57;1823.24
779;328527.63;5108037.5;1822.89
4961;328525.78;5108039.66;1824.46
4961;328526.37;5108040.21;1824.27
4961;328526.46;5108040.16;1824.86
6762;328544.58;5108075.79;1829.8
6762;328545.0;5108075.13;1829.69
6762;328545.18;5108074.53;1829.58
6762;328545.05;5108075.2;1829.08
6762;328545.23;5108076.26;1828.94
6762;328545.21;5108075.46;1828.16
6762;328545.17;5108074.58;1827.42
6762;328545.41;5108075.28;1828.94
8345;328545.28;5108074.98;1828.69
8345;328545.58;5108074.84;1828.58
8345;328545.41;5108075.45;1828.46
8345;328545.45;5108075.28;1828.21
8345;328545.55;5108074.46;1827.63
8345;328545.55;5108074.88;1827.34
8345;328545.33;5108074.91;1827.67
8345;328545.88;5108075.08;1827.54
8345;328545.93;5108075.89;1826.44
8345;328545.91;5108075.88;1826.46
5016;328685.6;5108145.7;1873.7
5016;328686.16;5108145.01;1873.31
5016;328686.95;5108144.18;1873.33
5016;328685.72;5108143.57;1873.68
5016;328684.41;5108143.8;1873.59
5016;328680.9;5108144.54;1872.75
5016;328683.82;5108144.63;1872.38
5016;328685.2;5108144.82;1872.82
5016;328685.86;5108144.55;1872.79
5016;328687.04;5108145.26;1871.57
5016;328685.75;5108145.31;1872.63
5016;328687.03;5108145.75;1871.15
