id;x;y;z
172;329082.77;5108039.12;2048.0
148;329084.34;5108036.67;2046.11
251;329089.34;5108034.17;2042.26
4811;329094.23;5108032.14;2039.83
12628;329100.4;5108030.75;2037.02
7494;329106.38;5108026.61;2032.5
3177;329113.19;5108016.49;2021.07
5188;329115.05;5108004.15;2009.52
10261;329120.88;5107998.38;2003.39
1226;329122.53;5107998.42;2002.37
14259;329125.7;5107993.78;1997.46
13160;329122.53;5107998.42;1981.65
10606;329129.58;5107992.31;1996.61
3615;329135.95;5107982.79;1990.4
10963;329140.25;5107976.46;1985.5
9286;329147.67;5107965.68;1975.09
2527;329158.59;5107949.36;1961.84
14221;329157.91;5107946.79;1959.71
3669;329163.18;5107943.37;1956.27
1536;329165.81;5107937.0;1951.38
10250;329169.46;5107931.65;1948.28
7392;329173.45;5107925.99;1944.03
3620;329182.41;5107911.77;1935.25
8966;329186.43;5107912.51;1935.13
2362;329193.09;5107903.59;1928.61
4846;329188.75;5107898.8;1925.19
1137;329198.87;5107902.46;1930.29
12689;329184.06;5107895.01;1923.01
8807;329172.22;5107893.82;1922.03
1694;329159.52;5107892.99;1922.09
11436;329151.42;5107891.73;1921.11
1458;329145.19;5107887.4;1918.37
7917;329140.54;5107886.5;1916.85
11223;329132.47;5107889.92;1919.05
7005;329127.34;5107886.49;1917.31
7887;329118.99;5107885.04;1916.44
11529;329111.75;5107878.58;1911.55
3837;329101.89;5107877.58;1910.55
11580;329096.34;5107876.0;1910.26
12679;329086.39;5107875.85;1909.78
7061;329082.79;5107873.05;1907.16
5627;329084.5;5107864.99;1901.59
7309;329082.17;5107850.76;1894.58
3222;329069.07;5107859.85;1900.7
5946;329087.57;5107826.76;1883.66
7499;329061.77;5107874.03;1909.54
12723;329054.39;5107889.02;1919.98
10477;329044.19;5107904.58;1931.61
13144;329039.21;5107907.91;1933.79
7912;329035.76;5107915.57;1939.04
4833;329033.02;5107920.1;1942.74
5017;329031.37;5107918.84;1943.3
5123;329029.59;5107919.05;1943.85
1656;329027.49;5107917.08;1942.38
10325;329021.78;5107915.84;1942.68
10063;329020.05;5107918.3;1944.79
4501;329019.02;5107921.43;1947.36
7361;329017.64;5107918.04;1945.67
14364;329010.67;5107917.89;1947.93
7049;329008.84;5107918.06;1948.39
8975;329005.64;5107921.78;1951.34
6134;329004.26;5107925.41;1954.06
11982;329000.53;5107926.49;1955.1
5212;329001.42;5107924.73;1952.57
4841;329001.09;5107928.56;1956.14
10524;329001.28;5107918.23;1947.12
915;329004.05;5107913.4;1943.77
4411;328995.02;5107916.58;1947.23
