from_id;to_id
6144;11412
6144;3563
14353;10827
14353;125
12308;9623
12308;7156
12308;5207
12308;8413
4117;7138
4117;5253
24;11476
24;2597
14368;10307
14368;14132
4131;7270
4131;1845
10280;11912
10280;13969
41;11427
41;4203
4139;7328
4139;12808
4148;10208
4148;3417
53;8302
53;9706
8248;8796
8248;5947
8249;7662
8249;10327
6201;6132
6201;7486
57;6748
57;11975
10303;3685
10303;10883
10307;13497
12355;9192
12355;3762
8265;14247
8265;10387
4179;14306
4179;5996
4181;10410
4181;9460
10327;988
8283;544
8283;13912
2140;11962
2140;603
99;8511
99;10208
12394;14301
12394;11887
4203;1611
12397;2195
12397;2298
12398;6281
12398;11575
8302;8868
8302;4608
8304;13912
8304;12972
2158;2005
2158;219
115;13028
115;12466
2166;7046
2166;10081
2166;8345
12406;3762
12406;8318
125;4269
8318;9135
6274;2552
6274;9444
6281;5165
2194;2009
2194;289
2195;13245
10387;6730
8345;13086
8359;11835
8359;3184
10410;11430
4269;11601
12466;6687
181;11521
181;7684
2236;9830
2236;7937
6344;2661
6344;2637
12491;1152
12491;13524
10444;982
10444;12675
12495;3223
12495;3766
219;2552
8413;9790
12511;13381
12511;10181
226;2716
226;9012
12522;5079
12522;1709
8429;1593
8429;3685
4335;5587
4335;12625
8431;11601
8431;7328
12531;3781
12531;10651
2298;8155
4346;3857
4346;4470
12540;9084
12540;5590
8460;13809
8460;1897
10510;7937
10510;11613
8467;8827
8467;14018
10519;11213
10519;7531
289;4610
6452;5130
6452;9579
8511;11093
12625;10974
338;9776
12634;2637
12634;1604
4445;7193
4445;13241
12656;12662
12656;11093
4468;9306
4468;5587
4470;6790
12662;3766
10615;7668
10615;9423
6522;1073
6522;7218
6522;378
378;5079
10618;2047
10618;11693
12675;3030
8589;5888
8589;13657
2446;747
2446;11843
10651;9712
6564;7106
6564;8941
6568;4613
6568;12091
8625;9887
8625;1593
12726;3417
12726;12058
8635;1961
8635;14245
444;5806
444;8118
450;12901
450;5214
6612;12189
6612;3034
6620;603
6620;4580
6623;11613
6623;5755
4580;2831
4585;7520
4585;5063
495;4013
495;5960
6649;901
6649;7707
4608;734
4610;9717
4613;10181
12808;5475
4618;4985
4618;1490
6687;9755
544;1048
2597;10172
10790;13588
10790;7696
8744;9135
8744;11521
2605;13663
2605;7589
10803;9579
10803;2716
10825;9706
586;13636
586;1026
10827;9890
6730;2011
6730;7520
2635;5347
2635;11412
4681;3561
4681;3891
8786;11010
8786;5264
6748;13450
8796;3906
6752;9081
6752;10881
2661;11815
4709;3563
4709;5888
12901;3642
10860;5318
10860;5734
10861;11335
10861;9731
8827;8118
8832;7707
10881;7958
10883;7678
6790;9084
4743;5207
2696;9185
2696;1760
2711;1846
2711;10012
4766;3333
4766;12091
4770;14245
4770;7415
8868;9160
12972;5806
720;5755
720;2851
13010;11843
13010;13115
724;11177
724;11476
4826;1604
8925;3267
8925;11875
10974;1396
734;10155
13028;14237
10980;9460
10980;7294
8934;2885
8934;9988
13034;10012
13034;13588
747;7958
8941;3561
4859;3722
4859;13809
769;9717
769;3261
11010;5996
2831;3698
13086;13245
2851;4067
13097;7581
13097;6132
6956;13876
6956;7532
6957;1874
6957;2009
9012;7662
13115;2885
859;7684
859;1758
4966;10054
4966;5485
13177;3143
13177;9437
2937;14237
2937;1604
4985;3159
9081;7498
901;10079
7046;1396
2953;5253
2953;9887
11175;14247
11175;1644
11177;8071
13241;5168
9146;5214
9146;7492
7106;7321
964;11575
964;982
5063;5130
9160;5168
7113;9271
7113;1509
9164;9316
9164;11835
973;14018
973;1844
11213;5947
3030;12140
3034;1333
988;3642
9185;13846
7138;11595
5094;1831
5094;3159
9190;9830
9190;11840
9192;11887
7156;1831
1026;5383
9231;7919
9231;14306
1048;1897
7193;3307
9252;9790
9252;10182
5165;1509
1073;1333
9271;6093
13381;7696
3143;1214
11335;3261
9306;7726
13412;3698
13412;12189
9316;5307
7270;5224
5224;3184
11384;3257
11384;14247
3192;11495
3192;11427
7294;13857
1152;9437
13450;7486
1164;13602
1164;7581
5264;11430
3223;14288
7321;7360
9395;9669
9395;11675
13497;1760
3257;9988
5307;7415
1214;8155
7360;11745
3267;9444
5318;3527
9423;1874
13524;10238
5347;11840
11495;7678
3307;10182
3333;14274
3333;9830
5383;11988
5405;12140
5405;3535
7456;7589
7456;11962
13602;1592
13636;5960
7498;12058
11595;1644
13657;3722
13663;4024
5475;13846
7532;8071
5485;6093
7531;7919
9623;8034
3490;7974
3490;3527
11693;13876
9669;11975
3535;8138
13776;9731
13776;3958
1490;1846
5590;7726
11745;9925
9712;9890
9712;8034
7668;11875
9755;14229
13857;14288
11815;12226
9776;14270
1592;11988
7754;8138
7754;3857
1611;12025
5734;1961
11912;10172
13969;7974
1699;12025
1699;2047
1709;10079
3781;3998
9925;3958
1758;2005
1844;3998
14132;4024
1845;14301
10054;10155
14229;4013
14270;4067
12226;10238
14274;2011
