from_id;to_id
3620;1905
1905;2977
1905;4055
2977;3611
3611;2321
4055;1172
4055;4682
1172;1114
1114;583
583;5157
4682;3772
3772;1824
1824;4009
4009;3501
4009;4380
4009;1397
4009;2641
2321;2591
2591;3149
3149;1643
1643;2246
2246;4346
4346;5045
5045;682
682;2075
2075;3303
3303;4246
4246;2225
2225;2563
2563;1346
1346;527
527;5361
5361;2270
2270;2108
2108;3027
3027;2797
2797;3461
3461;3451
3451;3561
3561;2531
2531;2192
2192;5416
5416;3948
3948;1270
1270;31
31;4448
4448;133
133;762
762;3630
3630;1717
1717;502
502;2132
2132;1367
2132;3756
1367;2205
2205;1400
1400;2324
2324;2645
2324;2990
2645;4587
2990;3778
3778;3825
3825;2626
2626;948
948;217
948;4511
217;1527
1527;4725
4511;468
3756;4066
4066;2717
2717;4992
4992;2312
2312;4824
2312;3437
4824;2389
2389;97
97;2696
2696;5352
5352;528
528;1848
1848;3267
3267;3864
3864;5030
5030;3780
5030;5009
5030;5395
3780;1130
1130;1906
1906;1916
1916;726
726;4313
726;1138
4313;1744
1744;1639
1639;4286
4286;4816
4286;2267
4286;4445
4816;1876
4816;1543
1876;1363
1363;5044
5044;496
1543;3263
3263;5371
5371;4338
4338;364
364;3394
364;911
911;3774
5009;1843
5009;2827
1843;4217
4217;192
192;1268
1268;637
637;3861
3861;2266
2266;403
5395;2089
2089;1715
1715;4250
4250;674
674;4298
3437;5190
5190;372
372;5082
5082;1851
1851;3749
1851;819
3749;243
243;3629
3629;819
819;2487
2487;617
2487;4807
2487;1979
2487;40
617;4768
4768;3453
4768;448
3453;1655
1655;1105
1105;4807
448;1448
1448;4757
1448;1872
1872;5068
1872;3551
1872;2847
5068;3579
3551;3247
3551;2543
2543;941
2543;812
941;2847
812;2116
2116;4184
4184;1358
1358;3169
3169;1731
3169;426
426;189
426;680
426;1387
189;4253
4253;4219
1387;1365
1365;2241
2241;5164
5164;2301
2301;220
2301;2542
220;1530
1530;2595
3774;3143
3143;1319
3143;2450
3143;5326
1319;295
5326;3185
3185;4691
4691;2726
2726;490
490;2267
4445;1598
1598;2697
2697;5144
5144;3770
3770;2903
1138;4573
4573;5080
5080;5046
5046;3481
3481;2077
2077;2532
2532;556
556;379
379;2545
2545;3659
3659;2056
1979;3224
3224;4717
4717;2637
2637;5285
5285;5411
5411;40
2542;541
541;1707
541;3802
1707;1401
2595;3181
3181;5222
5222;3586
3586;439
3586;1203
3586;263
439;3893
3893;1017
1017;1698
1203;34
34;1664
1664;2655
988;4599
988;1584
4599;2507
2507;39
39;4135
4135;14
14;352
352;1720
1720;4899
4899;4062
4062;1091
1091;685
685;4830
4830;4921
4921;3552
3552;1791
1791;5256
5256;5193
5193;3676
3676;2021
2021;4183
4183;2224
2224;2084
2084;5276
5276;751
751;2618
2618;2056
2827;4241
4241;4625
4625;4874
4874;2062
2062;1289
2062;3508
2062;555
1289;1618
1289;3301
1618;2525
2525;4002
4002;2972
4002;2835
2972;4895
4895;2997
2835;4061
4061;5340
496;1908
1908;26
26;4104
4104;2219
4104;3006
2219;4171
4171;2304
4171;2091
2304;251
3301;3528
3528;4828
4828;3974
3974;398
398;5013
5013;3204
3204;1205
1205;2719
2719;336
336;1330
1330;4248
4248;3297
3297;8
8;459
459;3265
3508;4827
4827;4112
4112;2328
2328;2095
2095;226
226;2015
2015;3252
2015;4105
3252;2867
2867;38
38;1873
4105;4943
4943;3949
3949;3443
3443;3346
3346;866
866;2921
2921;5350
2921;1603
2921;555
1603;1929
3265;322
322;4063
4063;3004
3004;4660
4660;4571
4571;3136
3136;5297
3136;2800
5297;5091
2800;2724
2724;4129
4129;3479
3479;278
278;709
709;1578
1578;330
330;2973
2973;1092
1092;5425
5425;2786
2786;2488
2488;1104
1104;5163
5163;672
672;2376
672;1250
2376;691
691;2765
5091;3206
3206;1787
1787;1304
1304;4966
4966;4289
4289;4218
4218;860
860;2881
2881;864
864;1429
1429;4857
1226;4372
1226;1142
1226;4165
4372;5242
5242;7
7;5294
5294;3932
3932;4607
4607;2775
1142;5183
5183;3904
3904;2176
2176;1211
4165;3961
4165;5051
3961;1094
3961;1986
5051;404
1094;582
582;5089
5089;283
1986;729
729;4765
729;2855
729;873
2855;4350
