id;cswidth;csheight
1905;5.94;5.94
3611;10.091;30.037
4055;4.219;4.219
5157;2.449;3.794
4682;1.918;6.503
4009;4.578;4.578
4380;5.219;6.172
2321;16.781;61.323
2246;20.878;24.064
4346;6.401;68.941
5045;8.202;46.071
682;9.497;18.168
4246;2.293;1.915
2225;8.983;26.66
527;5.349;28.611
5361;6.799;34.479
2270;5.349;33.848
3027;7.835;39.136
2797;7.679;11.643
3461;4.989;2.95
3451;3.584;2.779
2192;5.32;10.716
1270;7.927;9.868
4448;3.947;1.523
1717;5.37;7.781
2132;4.684;4.684
2324;2.462;2.462
2645;2.19;2.59
2990;1.376;1.91
3825;1.588;2.995
2626;2.548;3.548
948;2.309;2.309
1527;4.786;13.826
2717;3.993;20.533
2312;6.453;6.453
2389;5.722;12.774
97;5.341;6.499
2696;4.243;10.959
5352;7.328;9.453
1848;1.406;3.647
3267;5.218;3.388
3864;7.753;13.044
5030;7.673;7.673
1916;37.358;20.817
726;11.114;11.114
4286;8.885;8.885
4816;13.096;13.096
1876;37.722;12.832
1363;31.105;17.976
3263;19.469;4.262
5371;11.385;8.36
364;3.378;3.378
911;2.966;3.04
5009;6.13;6.13
4217;2.592;1.84
192;0.42;3.35
1268;4.062;5.113
637;1.048;3.193
3861;7.263;6.69
2266;2.79;1.829
403;3.499;4.312
5395;2.107;2.676
1715;4.436;5.534
1851;2.857;2.857
243;4.154;7.602
3629;7.066;5.203
819;2.422;2.422
2487;2.199;2.199
4768;2.259;2.259
1655;7.415;5.606
1448;4.0;4.0
1872;2.415;2.415
5068;7.871;3.941
3579;4.195;2.144
3551;2.456;2.456
2543;2.951;2.951
941;4.8;7.217
2847;6.589;3.226
812;9.229;2.529
3169;2.873;2.873
426;3.723;3.723
189;5.905;4.593
4253;3.824;3.98
1387;6.231;1.239
5164;8.202;4.596
2301;2.815;2.815
3143;5.882;5.882
3185;3.85;3.71
4691;2.285;1.642
490;4.495;6.595
2697;3.567;6.056
2903;4.481;7.75
5080;6.684;12.814
5046;5.128;8.252
3481;5.331;14.964
2077;8.119;10.503
2545;6.138;7.482
2637;3.225;4.79
5285;4.895;4.216
541;1.381;1.381
1707;2.099;2.638
5222;6.122;17.754
3586;4.335;4.335
439;0.816;0.602
3893;1.58;4.967
1017;1.639;3.66
2655;1.841;0.676
4599;5.409;22.44
39;4.175;6.798
4135;10.569;3.905
352;2.23;2.191
1720;1.762;1.573
1791;10.396;32.928
5256;11.788;10.931
3676;6.539;0.868
2021;2.131;1.285
4183;2.454;0.998
2224;0.562;2.287
2084;3.427;3.961
751;4.512;2.051
2618;3.743;2.685
2827;9.663;16.775
4874;30.616;25.964
2062;19.209;19.209
1289;14.928;14.928
4002;2.67;2.67
2972;2.375;2.049
2835;2.344;6.059
1908;3.383;6.92
4104;8.504;8.504
2219;28.691;24.963
4171;7.52;7.52
3301;14.426;28.601
3528;5.441;9.702
4828;5.057;5.349
3204;6.576;6.411
3297;4.6;4.665
3508;24.852;20.313
2328;2.574;2.019
226;6.392;3.543
2015;2.073;2.073
3252;2.588;3.566
2867;2.655;4.041
3346;17.561;7.42
2921;10.929;10.929
1929;2.255;11.744
555;41.868;23.13
3004;2.068;3.689
4571;2.106;2.276
3136;1.333;1.333
3479;14.696;11.892
330;4.341;8.694
5425;1.892;6.929
2786;1.089;4.251
1104;9.359;7.653
5163;9.759;3.391
672;3.102;3.102
2376;9.821;2.801
691;2.264;7.223
2765;2.071;3.337
5091;25.49;7.551
3206;12.183;12.015
1787;5.112;1.034
4966;1.055;0.498
4289;4.143;2.408
4218;10.459;5.004
864;8.859;15.502
1429;6.742;24.945
1226;5.874;5.874
7;6.911;9.304
5294;6.52;4.644
3932;16.623;9.574
4607;6.541;7.423
2775;7.639;5.56
1142;25.931;14.146
5183;11.632;6.242
4165;5.602;5.602
3961;3.565;3.565
404;1.537;3.317
582;1.86;4.927
5089;3.291;2.808
1986;13.752;8.228
729;4.322;4.322
2855;2.983;2.609
4350;2.42;1.133
5025;7.165;10.579
344;9.423;10.868
884;4.703;10.829
4697;7.393;14.584
5086;7.045;7.045
286;14.702;12.55
2233;4.465;9.762
3006;7.368;4.745
1585;11.855;11.855
3499;50.103;43.139
176;67.672;30.188
3489;50.52;35.976
1285;29.678;20.194
3389;31.83;18.719
3037;19.342;26.451
1078;2.375;3.314
2466;0.583;0.282
3424;0.771;2.242
4855;6.078;4.826
371;3.668;11.008
494;4.729;9.293
4766;3.099;9.554
1504;2.264;1.594
3991;3.284;5.276
2060;2.44;4.348
4187;8.71;8.439
4455;10.465;5.201
2638;9.312;1.949
3734;13.401;10.631
4883;5.394;5.394
2388;9.577;7.571
1896;3.693;3.693
4932;7.286;8.278
3036;1.316;0.551
2049;1.751;2.671
2667;3.397;1.167
3352;4.032;2.472
1681;5.183;9.809
2458;2.733;18.576
2462;3.546;3.546
