id;flag
3620;ent
3620;fix
1159;ent
1159;fix
1789;ent
1789;fix
5140;ent
5140;fix
3547;ent
3547;fix
2898;ent
2898;fix
2600;ent
2600;fix
3028;ent
3028;fix
1041;ent
1041;fix
2512;ent
2512;fix
2379;ent
2379;fix
3985;ent
3985;fix
677;ent
677;fix
4020;ent
4020;fix
4690;ent
4690;fix
1047;ent
1047;fix
3418;ent
3418;fix
3377;ent
3377;fix
3795;ent
3795;fix
4109;ent
4109;fix
452;ent
452;fix
1827;ent
1827;fix
3844;ent
3844;fix
1436;ent
1436;fix
4585;ent
4585;fix
4322;ent
4322;fix
475;ent
475;fix
3222;ent
3222;fix
635;ent
635;fix
4115;ent
4115;fix
734;ent
734;fix
5407;ent
5407;fix
354;ent
354;fix
1214;ent
1214;fix
1003;ent
1003;fix
52;ent
52;fix
855;ent
855;fix
687;ent
687;fix
2854;ent
2854;fix
4629;ent
4629;fix
4998;ent
4998;fix
358;ent
358;fix
1468;ent
1468;fix
1835;ent
1835;fix
28;ent
28;fix
1294;ent
1294;fix
3852;ent
3852;fix
241;ent
241;fix
5249;ent
5249;fix
4886;ent
4886;fix
2181;ent
2181;fix
1604;ent
1604;fix
5002;ent
5002;fix
3809;ent
3809;fix
1866;ent
1866;fix
1706;ent
1706;fix
3022;ent
3022;fix
4255;ent
4255;fix
861;ent
861;fix
1328;ent
1328;fix
1990;ent
1990;fix
4155;ent
4155;fix
5151;ent
5151;fix
5277;ent
5277;fix
114;ent
114;fix
5173;ent
5173;fix
1737;ent
1737;fix
633;ent
633;fix
893;ent
893;fix
4015;ent
4015;fix
3698;ent
3698;fix
1329;ent
1329;fix
4723;ent
4723;fix
5279;ent
5279;fix
5033;ent
5033;fix
1699;ent
1699;fix
942;ent
942;fix
2037;ent
2037;fix
1357;ent
1357;fix
3533;ent
3533;fix
1206;ent
1206;fix
3014;ent
3014;fix
86;ent
86;fix
3953;ent
3953;fix
1959;ent
1959;fix
1746;ent
1746;fix
3531;ent
3531;fix
486;ent
486;fix
3513;ent
3513;fix
3998;ent
3998;fix
2422;ent
2422;fix
5423;ent
5423;fix
2344;ent
2344;fix
4551;ent
4551;fix
3308;ent
3308;fix
232;ent
232;fix
4732;ent
4732;fix
4808;ent
4808;fix
641;ent
641;fix
5197;ent
5197;fix
1642;ent
1642;fix
