id;fulladdress
3620;poljana.grvn.2019.20190526_npp2.0
3620;poljana.grvn.2019.20190706grvn_vtretje..
1905;poljana.grvn.2019.20190526_npp2.1
1905;poljana.grvn.2019.20190628grvn.-
2977;poljana.grvn.2019.20190526_npp2.2
2977;poljana.grvn.2019.20190629grvn_team_sir.-
3611;poljana.grvn.2019.20190526_npp2.3
3611;poljana.grvn.2019.20190706grvn_vtretje..
4055;poljana.grvn.2019.20190526_npp2.4
1172;poljana.grvn.2019.20190526_npp2.5
1172;poljana.grvn.2019.20190625grvn.-
1114;poljana.grvn.2019.20190526_npp2.6
1114;poljana.grvn.2019.20190625grvn.-
583;poljana.grvn.2019.20190526_npp2.7
583;poljana.grvn.2019.20190624grvn..
5157;poljana.grvn.2019.20190526_npp2.8
5157;poljana.grvn.2019.20190816_s_borhol_lepsi_saht.-
4682;poljana.grvn.2019.20190526_npp2.9
4682;poljana.grvn.2019.20190714_grvn_setnja.-
3772;poljana.grvn.2019.20190526_npp2.10
3772;poljana.grvn.2019.20190706_grvn_luknja_v_siru..
1824;poljana.grvn.2019.20190526_npp2.11
1824;poljana.grvn.2019.20190628grvn.-
4009;poljana.grvn.2019.20190526_npp2.12
4009;poljana.grvn.2019.20190706_grvn_za_sirom..
4009;poljana.grvn.2019.20191020_grvn_zgoraj_drugi_put.z15.6
3501;poljana.grvn.2019.20190526_npp2.13
3501;poljana.grvn.2019.20190706grvn_vtretje..
4380;poljana.grvn.2019.20190526_npp2.14
4380;poljana.grvn.2019.20190714_grvn_meander.-
2321;poljana.grvn.2019.20190526_npp2.15
2321;poljana.grvn.2019.20190602grvn.2.0
2321;poljana.grvn.2019.20190629grvn_team_sir.-
2591;poljana.grvn.2019.20190602grvn.2.1
2591;poljana.grvn.2019.20190629grvn_team_sir.-
3149;poljana.grvn.2019.20190602grvn.2.2
3149;poljana.grvn.2019.20190629grvn_team_sir.-
1643;poljana.grvn.2019.20190602grvn.2.3
1643;poljana.grvn.2019.20190628grvn.-
2246;poljana.grvn.2019.20190602grvn.2.4
2246;poljana.grvn.2019.20190628grvn.-
4346;poljana.grvn.2019.20190602grvn.2.5
4346;poljana.grvn.2019.20190714_grvn_meander.-
5045;poljana.grvn.2019.20190602grvn.2.6
5045;poljana.grvn.2019.20190714_grvn_severno.-
682;poljana.grvn.2019.20190602grvn.2.7
682;poljana.grvn.2019.20190624grvn..
2075;poljana.grvn.2019.20190602grvn.2.8
2075;poljana.grvn.2019.20190624grvn.2.8
2075;poljana.grvn.2019.20190624grvn.z03.1
2075;poljana.grvn.2019.20190628grvn.-
3303;poljana.grvn.2019.20190624grvn.z03.2
3303;poljana.grvn.2019.20190706grvn_trdoglavski..
4246;poljana.grvn.2019.20190624grvn.z03.3
4246;poljana.grvn.2019.20190714_grvn_meander.-
2225;poljana.grvn.2019.20190624grvn.z03.4
2225;poljana.grvn.2019.20190628grvn.-
2563;poljana.grvn.2019.20190624grvn.z03.5
2563;poljana.grvn.2019.20190629grvn_team_sir.-
1346;poljana.grvn.2019.20190624grvn.z03.6
1346;poljana.grvn.2019.20190625grvn.-
527;poljana.grvn.2019.20190624grvn..
527;poljana.grvn.2019.20190624grvn.z03.7
5361;poljana.grvn.2019.20190624grvn.z03.8
5361;poljana.grvn.2019.20190816_s_borhol_lepsi_saht.-
2270;poljana.grvn.2019.20190624grvn.z03.9
2270;poljana.grvn.2019.20190628grvn.-
2108;poljana.grvn.2019.20190624grvn.z03.10
2108;poljana.grvn.2019.20190628grvn.-
3027;poljana.grvn.2019.20190624grvn.z03.11
3027;poljana.grvn.2019.20190629grvn_team_sir.-
2797;poljana.grvn.2019.20190624grvn.z03.12
2797;poljana.grvn.2019.20190629grvn_team_sir.-
3461;poljana.grvn.2019.20190624grvn.z03.13
3461;poljana.grvn.2019.20190706grvn_vtretje..
3451;poljana.grvn.2019.20190624grvn.z03.14
3451;poljana.grvn.2019.20190706grvn_vtretje..
3561;poljana.grvn.2019.20190624grvn.z03.15
3561;poljana.grvn.2019.20190706grvn_vtretje..
2531;poljana.grvn.2019.20190624grvn.z03.16
2531;poljana.grvn.2019.20190629grvn_team_sir.-
2192;poljana.grvn.2019.20190624grvn.z03.17
2192;poljana.grvn.2019.20190628grvn.-
5416;poljana.grvn.2019.20190624grvn.z03.18
5416;poljana.grvn.2019.20190816_s_borhol_prvi_out.-
3948;poljana.grvn.2019.20190624grvn.z03.19
3948;poljana.grvn.2019.20190706_grvn_za_sirom..
1270;poljana.grvn.2019.20190624grvn.z03.20
1270;poljana.grvn.2019.20190625grvn.-
31;poljana.grvn.2019.20190526_npp2..
31;poljana.grvn.2019.20190624grvn.z03.21
4448;poljana.grvn.2019.20190624grvn.z03.22
133;poljana.grvn.2019.20190526_npp2..
133;poljana.grvn.2019.20190624grvn.z03.23
762;poljana.grvn.2019.20190624grvn..
762;poljana.grvn.2019.20190624grvn.z03.24
762;poljana.grvn.2019.20190625grvn.z03.24
3630;poljana.grvn.2019.20190625grvn.z04.1
3630;poljana.grvn.2019.20190706grvn_vtretje..
1717;poljana.grvn.2019.20190625grvn.z04.2
1717;poljana.grvn.2019.20190628grvn.-
502;poljana.grvn.2019.20190625grvn.z04.3
2132;poljana.grvn.2019.20190625grvn.z04.4
2132;poljana.grvn.2019.20190628grvn.-
1367;poljana.grvn.2019.20190625grvn.z04.5
1367;poljana.grvn.2019.20190625grvn.-
2205;poljana.grvn.2019.20190625grvn.z04.6
2205;poljana.grvn.2019.20190628grvn.-
1400;poljana.grvn.2019.20190625grvn.z04.7
1400;poljana.grvn.2019.20190625grvn.-
2324;poljana.grvn.2019.20190625grvn.z04.8
2324;poljana.grvn.2019.20190629grvn_team_sir.-
2645;poljana.grvn.2019.20190625grvn.z04.9
2645;poljana.grvn.2019.20190629grvn_team_sir.-
4587;poljana.grvn.2019.20190625grvn.z04.10
4587;poljana.grvn.2019.20190714_grvn_setnja.-
2990;poljana.grvn.2019.20190625grvn.z04.11
2990;poljana.grvn.2019.20190629grvn_team_sir.-
3778;poljana.grvn.2019.20190625grvn.z04.12
3778;poljana.grvn.2019.20190706_grvn_luknja_v_siru..
3825;poljana.grvn.2019.20190625grvn.z04.13
3825;poljana.grvn.2019.20190706_grvn_luknja_v_siru..
2626;poljana.grvn.2019.20190625grvn.z04.14
2626;poljana.grvn.2019.20190629grvn_team_sir.-
948;poljana.grvn.2019.20190624grvn..
948;poljana.grvn.2019.20190625grvn.z04.15
217;poljana.grvn.2019.20190526_npp2..
217;poljana.grvn.2019.20190625grvn.z04.16
1527;poljana.grvn.2019.20190625grvn.z04.17
1527;poljana.grvn.2019.20190625grvn.-
4725;poljana.grvn.2019.20190625grvn.z04.18
4725;poljana.grvn.2019.20190714_grvn_setnja.-
4511;poljana.grvn.2019.20190625grvn.z04.19
4511;poljana.grvn.2019.20190714_grvn_setnja.-
468;poljana.grvn.2019.20190602grvn..
468;poljana.grvn.2019.20190625grvn.z04.20
3756;poljana.grvn.2019.20190625grvn.z04.21
3756;poljana.grvn.2019.20190706_grvn_luknja_v_siru..
4066;poljana.grvn.2019.20190625grvn.z04.22
4066;poljana.grvn.2019.20190706_grvn_za_sirom..
2717;poljana.grvn.2019.20190625grvn.z04.23
2717;poljana.grvn.2019.20190629grvn_team_sir.-
4992;poljana.grvn.2019.20190625grvn.z04.24
4992;poljana.grvn.2019.20190714_grvn_severno.-
2312;poljana.grvn.2019.20190625grvn.z04.25
2312;poljana.grvn.2019.20190628grvn.-
2312;poljana.grvn.2019.20190629grvn_team_sir.z04.25
4824;poljana.grvn.2019.20190625grvn.z04.26
4824;poljana.grvn.2019.20190714_grvn_setnja.-
2389;poljana.grvn.2019.20190625grvn.z04.27
2389;poljana.grvn.2019.20190629grvn_team_sir.-
97;poljana.grvn.2019.20190526_npp2..
97;poljana.grvn.2019.20190625grvn.z04.28
2696;poljana.grvn.2019.20190625grvn.z04.29
2696;poljana.grvn.2019.20190629grvn_team_sir.-
5352;poljana.grvn.2019.20190625grvn.z04.30
5352;poljana.grvn.2019.20190628grvn.z04.30
5352;poljana.grvn.2019.20190816_s_borhol_lepsi_saht.-
528;poljana.grvn.2019.20190624grvn..
528;poljana.grvn.2019.20190628grvn.z05.01
1848;poljana.grvn.2019.20190628grvn.z05.3
1848;poljana.grvn.2019.20190628grvn.-
3267;poljana.grvn.2019.20190628grvn.z05.4
3267;poljana.grvn.2019.20190706grvn_trdoglavski..
3864;poljana.grvn.2019.20190628grvn.z05.5
3864;poljana.grvn.2019.20190706_grvn_nad_sirom..
5030;poljana.grvn.2019.20190628grvn.z05.6
5030;poljana.grvn.2019.20190714_grvn_severno.-
3780;poljana.grvn.2019.20190628grvn.z05.7
3780;poljana.grvn.2019.20190706_grvn_luknja_v_siru..
1130;poljana.grvn.2019.20190625grvn.-
1130;poljana.grvn.2019.20190628grvn.z05.8
1906;poljana.grvn.2019.20190628grvn.z05.9
1906;poljana.grvn.2019.20190628grvn.-
1916;poljana.grvn.2019.20190628grvn.z05.10
1916;poljana.grvn.2019.20190628grvn.-
726;poljana.grvn.2019.20190624grvn..
726;poljana.grvn.2019.20190628grvn.z05.11
726;poljana.grvn.2019.20190706grvn_vtretje.z05.11
4313;poljana.grvn.2019.20190628grvn.z05.12
4313;poljana.grvn.2019.20190714_grvn_meander.-
1744;poljana.grvn.2019.20190628grvn.-
1744;poljana.grvn.2019.20190628grvn.z05.13
1639;poljana.grvn.2019.20190628grvn.-
1639;poljana.grvn.2019.20190628grvn.z05.14
4286;poljana.grvn.2019.20190628grvn.z05.15
4286;poljana.grvn.2019.20190706grvn_trdoglavski.z05.15
4286;poljana.grvn.2019.20190714_grvn_meander.-
4816;poljana.grvn.2019.20190628grvn.z05.16
4816;poljana.grvn.2019.20190714_grvn_setnja.-
1876;poljana.grvn.2019.20190628grvn.-
1876;poljana.grvn.2019.20190628grvn.z05.17
1363;poljana.grvn.2019.20190625grvn.-
1363;poljana.grvn.2019.20190628grvn.z05.18
5044;poljana.grvn.2019.20190628grvn.z05.19
5044;poljana.grvn.2019.20190714_grvn_severno.z05.19
5044;poljana.grvn.2019.20190714_grvn_severno.-
1543;poljana.grvn.2019.20190625grvn.-
1543;poljana.grvn.2019.20190628grvn.z05.20
3263;poljana.grvn.2019.20190628grvn.z05.21
3263;poljana.grvn.2019.20190706grvn_trdoglavski..
5371;poljana.grvn.2019.20190628grvn.z05.22
5371;poljana.grvn.2019.20190816_s_borhol_lepsi_saht.-
4338;poljana.grvn.2019.20190628grvn.z05.23
4338;poljana.grvn.2019.20190714_grvn_meander.-
364;poljana.grvn.2019.20190628grvn.z05.24
3394;poljana.grvn.2019.20190628grvn.z05.25
3394;poljana.grvn.2019.20190706grvn_trdoglavski..
911;poljana.grvn.2019.20190624grvn..
911;poljana.grvn.2019.20190628grvn.z05.26
911;poljana.grvn.2019.20190706grvn_trdoglavski.z05.26
5009;poljana.grvn.2019.20190628grvn.z05.27
5009;poljana.grvn.2019.20190714_grvn_setnja.z05.27
5009;poljana.grvn.2019.20190714_grvn_setnja.z10.9
5009;poljana.grvn.2019.20190714_grvn_severno.-
1843;poljana.grvn.2019.20190628grvn.-
1843;poljana.grvn.2019.20190628grvn.z05.28
4217;poljana.grvn.2019.20190628grvn.z05.29
4217;poljana.grvn.2019.20190714_grvn_meander.-
192;poljana.grvn.2019.20190526_npp2..
192;poljana.grvn.2019.20190628grvn.z05.30
1268;poljana.grvn.2019.20190625grvn.-
1268;poljana.grvn.2019.20190628grvn.z05.31
637;poljana.grvn.2019.20190624grvn..
637;poljana.grvn.2019.20190628grvn.z05.32
3861;poljana.grvn.2019.20190628grvn.z05.33
3861;poljana.grvn.2019.20190706_grvn_nad_sirom..
2266;poljana.grvn.2019.20190628grvn.z05.34
2266;poljana.grvn.2019.20190628grvn.-
403;poljana.grvn.2019.20190602grvn..
403;poljana.grvn.2019.20190628grvn.z05.35
5395;poljana.grvn.2019.20190628grvn.z05.36
5395;poljana.grvn.2019.20190816_s_borhol_prvi_out.-
2089;poljana.grvn.2019.20190628grvn.z05.37
1715;poljana.grvn.2019.20190628grvn.-
1715;poljana.grvn.2019.20190628grvn.z05.38
