id;x;y;z
1701;414790.38;122269.09;1243.85
776;414790.2;122268.12;1242.79
1659;414789.55;122275.0;1237.94
3641;414790.4;122269.11;1243.86
261;414793.31;122262.44;1249.65
1627;414795.11;122259.75;1261.35
1876;414796.66;122260.16;1262.34
1001;414795.83;122265.25;1265.19
3363;414797.3;122264.18;1275.83
4200;414792.99;122265.39;1264.79
3830;414800.49;122262.89;1278.4
3874;414801.1;122262.18;1278.32
4421;414801.09;122262.18;1278.3
5267;414803.32;122259.85;1277.6
4164;414804.92;122258.24;1277.44
3911;414809.69;122258.43;1277.22
3516;414811.53;122257.95;1281.53
3164;414812.67;122258.55;1281.22
2411;414815.12;122258.3;1296.27
2352;414815.61;122258.1;1296.19
5015;414815.55;122259.58;1296.95
2650;414816.08;122261.88;1297.51
846;414818.69;122265.15;1298.11
57;414821.37;122265.86;1301.32
3890;414822.49;122269.56;1301.33
4750;414824.54;122267.92;1317.26
5370;414824.72;122267.18;1318.91
702;414825.01;122266.07;1334.37
4194;414825.82;122264.72;1337.08
4952;414828.31;122260.63;1336.96
4282;414826.32;122267.4;1369.3
4232;414828.88;122267.07;1372.05
4378;414831.14;122264.9;1379.81
2415;414831.24;122265.46;1383.78
2092;414831.59;122264.03;1385.09
2502;414836.92;122258.51;1385.43
3928;414840.44;122252.62;1398.3
1518;414846.55;122244.57;1422.95
560;414848.19;122246.83;1443.68
4597;414850.61;122246.88;1459.44
4746;414851.06;122242.37;1463.49
828;414850.53;122241.15;1463.47
1571;414853.07;122239.16;1464.02
1579;414854.91;122231.51;1505.2
4011;414856.1;122230.82;1515.98
3042;414859.81;122235.79;1521.76
4742;414857.13;122238.66;1521.89
3645;414856.0;122238.0;1545.0
2192;414857.4;122242.43;1527.52
2437;414785.84;122272.81;1211.16
2787;414782.87;122275.24;1217.71
2490;414787.38;122269.27;1212.51
2069;414784.24;122281.2;1212.19
5140;414775.85;122279.94;1213.23
3087;414782.01;122273.72;1219.87
5193;414782.29;122274.13;1225.14
1481;414783.64;122275.62;1225.86
3200;414783.65;122275.63;1225.85
3018;414786.11;122273.75;1232.61
2447;414787.01;122272.11;1233.96
2876;414790.25;122276.76;1234.39
1802;414811.14;122236.41;1218.49
181;414799.18;122237.67;1212.41
671;414811.46;122231.2;1220.63
5091;414813.81;122233.93;1219.65
1526;414797.21;122248.45;1213.85
2072;414796.14;122255.14;1213.81
4132;414824.29;122200.1;1229.92
4530;414819.27;122209.86;1224.84
1120;414828.05;122199.6;1230.1
4340;414835.31;122190.62;1240.81
4927;414827.22;122194.51;1233.47
2459;414818.58;122217.79;1224.29
5103;414832.41;122197.31;1235.84
1063;414853.67;122176.04;1262.86
2847;414839.12;122197.54;1237.14
4381;414840.58;122194.97;1237.32
4187;414839.45;122194.5;1230.46
940;414837.52;122194.91;1231.1
903;414834.34;122192.3;1229.33
1687;414837.82;122198.08;1224.93
4708;414834.28;122192.28;1229.36
1502;414833.96;122191.84;1228.01
1389;414832.77;122193.78;1227.28
893;414833.01;122193.35;1217.55
3148;414831.67;122190.81;1228.81
527;414831.73;122195.44;1227.27
160;414830.19;122195.13;1224.96
4604;414828.96;122198.25;1222.86
5211;414829.12;122200.73;1225.71
4089;414785.2;122258.92;1243.71
4892;414785.13;122262.98;1243.54
3321;414784.61;122257.26;1244.56
2824;414781.63;122259.63;1245.3
4984;414787.27;122263.43;1245.14
2398;414788.76;122263.84;1245.24
2474;414782.75;122256.35;1248.0
2120;414787.17;122254.92;1244.44
4003;414782.09;122258.52;1247.21
2297;414788.33;122251.18;1246.05
2268;414787.2;122254.94;1244.43
410;414787.17;122254.92;1244.46
3332;414786.53;122255.81;1244.19
1309;414790.29;122248.34;1245.62
570;414791.04;122249.98;1249.21
3882;414791.79;122245.99;1246.98
4386;414788.31;122253.94;1245.77
2319;414789.66;122253.12;1247.67
131;414791.83;122239.66;1244.99
1898;414791.27;122245.18;1246.49
4096;414790.84;122235.6;1244.2
4023;414793.66;122235.65;1245.9
4612;414795.98;122237.25;1245.45
5294;414787.28;122242.5;1237.67
3887;414787.95;122234.83;1247.51
3997;414788.64;122236.88;1245.02
2444;414785.34;122236.6;1247.25
1997;414794.41;122236.64;1240.74
4388;414787.23;122254.61;1244.29
3991;414787.67;122254.75;1243.6
4373;414786.58;122254.98;1241.16
2523;414784.35;122253.58;1240.39
3895;414785.06;122255.35;1243.54
5286;414764.6;122311.29;1236.6
3606;414768.3;122303.14;1234.02
4270;414764.59;122311.29;1236.6
4074;414744.68;122313.6;1232.72
1514;414758.98;122342.99;1239.87
3466;414780.14;122292.97;1226.3
2195;414784.94;122289.05;1224.05
1051;414782.59;122282.94;1220.3
2114;414781.27;122285.92;1208.4
356;414757.51;122296.85;1234.11
246;414757.51;122295.2;1232.54
3368;414754.94;122293.93;1231.75
4551;414753.8;122295.41;1233.75
1787;414752.53;122296.11;1233.87
3719;414749.25;122296.46;1232.01
2735;414749.61;122298.37;1236.54
4731;414748.83;122296.51;1231.09
1993;414748.75;122299.92;1237.79
2238;414748.61;122300.58;1238.19
784;414745.7;122303.13;1237.34
84;414743.3;122305.19;1235.35
3975;414740.0;122310.15;1232.67
2078;414740.99;122313.5;1231.45
2204;414732.73;122317.27;1225.07
249;414735.03;122317.88;1230.11
2026;414839.94;122186.52;1145.01
2611;414838.7;122188.8;1145.01
889;414833.9;122186.51;1143.56
1710;414840.59;122185.7;1146.84
4839;414842.96;122195.33;1163.61
3031;414844.0;122197.03;1166.11
1239;414838.56;122203.13;1167.01
1092;414840.59;122201.31;1169.35
1775;414843.09;122203.08;1170.25
1131;414842.55;122204.65;1171.58
3756;414842.52;122204.58;1172.46
5347;414841.49;122206.12;1173.15
2943;414840.75;122208.08;1173.82
4243;414837.96;122210.28;1172.52
3511;414837.81;122212.43;1172.45
2380;414834.77;122214.32;1172.61
15;414834.56;122216.9;1172.42
2837;414833.42;122219.79;1171.82
2368;414834.52;122223.4;1174.2
4973;414831.39;122225.8;1188.03
4112;414831.16;122228.54;1186.96
5023;414826.74;122231.84;1186.5
5221;414824.07;122233.06;1186.69
3970;414820.71;122232.66;1186.37
2040;414819.45;122234.84;1186.85
3249;414819.9;122232.85;1189.27
2117;414817.06;122234.57;1189.62
4347;414815.71;122237.03;1188.4
3177;414813.73;122236.41;1190.24
5035;414812.94;122235.12;1191.63
5156;414810.87;122234.87;1191.92
2397;414812.73;122229.57;1188.47
658;414816.09;122228.9;1197.98
1378;414810.86;122226.15;1196.37
19;414814.91;122223.76;1197.19
5062;414816.82;122222.12;1199.04
4497;414819.55;122225.16;1206.43
873;414821.42;122227.65;1206.18
368;414822.35;122227.83;1216.23
1463;414822.73;122224.81;1220.87
1200;414838.86;122181.35;1165.62
488;414834.15;122181.59;1162.76
3296;414844.65;122178.47;1165.58
3468;414832.03;122185.67;1163.53
3429;414851.43;122177.83;1174.0
993;414829.7;122179.24;1158.49
5032;414816.67;122186.6;1153.49
842;414813.15;122186.92;1152.98
259;414811.31;122187.42;1152.42
2629;414811.09;122187.2;1153.14
163;414810.61;122189.27;1152.86
4557;414811.58;122191.76;1153.05
4175;414808.43;122197.97;1152.37
3020;414804.29;122200.49;1152.01
1789;414807.39;122197.47;1150.51
2309;414799.24;122201.49;1149.43
5248;414809.79;122196.39;1152.13
3361;414808.13;122194.4;1148.69
2186;414807.23;122196.17;1146.28
3416;414809.76;122191.05;1146.75
3583;414804.99;122195.88;1146.42
789;414809.04;122189.44;1145.93
3589;414810.51;122186.02;1146.29
1553;414813.39;122180.04;1143.36
1110;414813.29;122185.75;1146.47
5065;414809.54;122178.14;1140.48
3599;414809.51;122179.03;1139.97
3025;414812.74;122181.83;1139.53
1593;414813.24;122182.92;1140.58
1180;414813.27;122184.32;1140.06
3585;414817.37;122186.12;1141.25
1903;414822.21;122185.27;1142.91
868;414822.24;122183.93;1141.94
92;414826.62;122183.73;1143.84
4815;414824.42;122180.44;1142.61
4943;414825.48;122181.25;1141.23
196;414827.73;122179.17;1141.86
4577;414830.68;122181.6;1142.06
4322;414855.25;122173.57;1156.65
1359;414856.64;122172.7;1151.92
380;414852.71;122175.3;1153.4
4974;414857.39;122169.07;1153.05
1039;414848.54;122176.71;1151.67
3537;414846.83;122177.39;1150.95
206;414845.21;122178.86;1149.72
363;414844.25;122180.74;1150.46
4599;414843.79;122182.41;1149.98
288;414842.23;122184.53;1148.37
4711;414809.7;122212.25;1162.23
1129;414809.48;122209.84;1160.54
2831;414810.45;122211.88;1162.35
3677;414808.89;122214.9;1162.17
317;414809.69;122205.62;1160.66
3338;414812.05;122204.72;1160.62
1920;414816.72;122200.04;1162.33
1772;414819.81;122199.78;1160.89
815;414826.07;122196.95;1163.37
2271;414826.29;122193.91;1164.09
699;414829.04;122190.78;1164.25
351;414828.14;122187.5;1164.62
2341;414807.23;122217.91;1164.38
1423;414809.04;122216.53;1165.31
4138;414807.1;122218.63;1161.84
2106;414804.51;122219.01;1163.78
1656;414807.93;122219.22;1164.06
3795;414809.34;122213.8;1165.23
327;414810.4;122213.43;1164.38
3320;414807.91;122215.87;1162.37
345;414805.5;122221.13;1161.26
4795;414800.8;122222.14;1163.74
387;414800.91;122223.97;1163.46
227;414796.55;122223.82;1164.1
4628;414805.0;122219.06;1168.55
3656;414802.69;122221.2;1166.96
1050;414807.0;122218.07;1168.97
3337;414800.74;122223.9;1166.51
1535;414800.42;122227.03;1163.41
4517;414800.59;122226.19;1162.81
1244;414806.57;122218.94;1171.21
3067;414807.72;122218.73;1171.42
3232;414805.12;122219.78;1171.79
2616;414806.53;122219.79;1172.46
5335;414806.19;122220.68;1172.19
