from_id;to_id
5;216
216;281
281;161
161;244
244;240
240;62
62;198
198;154
154;135
135;156
156;176
176;12
12;163
163;257
257;280
280;149
149;307
149;58
307;290
58;167
290;241
167;229
229;220
220;213
213;201
201;26
26;90
90;263
263;350
350;47
47;182
182;221
221;9
9;144
144;342
342;207
207;346
346;317
317;28
28;308
308;230
230;110
110;217
217;336
217;131
336;114
131;326
326;36
36;168
168;43
43;219
219;139
139;320
320;39
39;118
118;108
108;270
270;204
204;84
84;274
274;197
197;150
150;10
10;277
277;304
277;224
304;282
282;49
49;271
224;297
224;68
297;254
254;296
296;31
31;157
157;343
343;148
148;311
311;260
260;247
247;354
354;21
21;113
113;121
121;345
345;258
258;287
258;351
351;293
293;99
68;265
265;299
299;88
88;294
294;74
74;70
70;115
115;200
200;152
152;83
83;57
57;119
119;302
302;193
193;34
34;266
266;301
301;3
3;38
38;104
104;85
85;86
86;178
178;172
172;72
72;175
175;16
16;283
283;117
117;81
81;347
347;357
357;196
357;24
24;8
8;300
300;339
339;315
315;184
184;134
134;15
15;360
360;128
128;237
237;322
322;218
218;231
231;4
4;164
164;341
341;18
18;73
73;63
63;209
209;222
209;199
222;211
211;358
358;325
325;138
325;180
180;309
309;179
179;249
199;291
291;151
249;66
66;91
91;329
329;340
340;223
223;44
44;324
324;349
349;78
78;328
328;51
51;337
337;272
337;285
272;79
79;187
187;316
316;319
319;76
76;234
234;82
82;40
40;158
158;160
160;46
46;331
46;67
331;107
107;13
13;123
123;269
269;338
338;136
136;23
23;112
23;60
285;239
239;289
67;159
159;181
181;14
14;122
14;146
146;278
278;71
71;56
56;185
185;250
250;171
261;276
261;189
189;92
92;27
92;95
27;245
245;267
245;353
95;59
59;130
130;30
30;335
335;103
103;35
35;6
6;264
264;251
251;105
105;142
142;165
165;352
352;255
255;120
120;42
42;60
353;186
186;330
330;169
169;210
210;262
262;0
0;145
145;50
50;126
126;253
253;298
298;295
295;77
77;52
52;155
155;286
286;54
54;321
321;313
313;174
174;143
143;80
143;116
80;65
116;292
292;273
99;233
233;192
192;312
312;332
332;7
7;93
93;327
327;310
310;191
191;29
29;100
100;1
1;48
273;125
125;96
96;212
212;61
61;205
205;64
64;214
214;242
242;147
147;203
203;323
323;129
129;69
69;314
314;133
133;355
355;202
202;111
111;41
41;303
303;132
132;20
20;19
19;359
359;275
275;235
235;284
284;215
215;33
33;106
106;305
305;183
183;170
170;188
188;194
194;89
89;32
32;55
55;208
208;109
109;37
37;2
2;206
206;195
195;162
162;97
97;177
177;140
140;232
232;268
268;248
248;243
243;102
102;288
288;45
45;53
53;124
124;356
356;141
141;25
25;22
22;252
252;225
225;137
137;259
259;238
259;306
238;98
98;333
333;334
334;11
11;153
153;17
306;75
75;348
348;87
87;228
228;236
236;190
190;173
173;227
227;344
344;318
344;127
318;279
127;226
226;256
226;94
256;101
94;166
166;246
