id;cswidth;csheight
5;1.26;1.57
216;6.32;19.68
281;7.23;19.28
161;9.89;14.79
244;5.06;1.84
240;11.98;14.36
62;9.17;36.87
198;13.56;26.54
135;12.13;9.87
156;1.11;0.67
176;1.08;2.84
12;0.79;8.7
163;9.59;14.8
280;10.59;16.97
149;9.36;9.36
307;6.71;4.78
290;24.18;11.44
167;6.27;10.94
229;0.32;3.75
220;6.08;6.01
213;4.13;2.21
201;14.28;5.21
26;0.43;0.16
90;0.87;5.66
263;0.52;1.9
350;4.79;3.33
47;2.2;3.49
182;0.49;1.18
221;4.07;6.73
144;0.31;2.75
342;1.52;2.7
207;3.86;7.26
346;5.27;6.69
317;9.05;7.64
28;4.44;2.94
308;1.97;5.73
230;3.69;1.35
110;3.68;6.81
217;3.47;3.47
336;6.05;7.23
131;3.82;4.42
326;6.88;5.77
36;2.91;8.13
43;0.46;2.58
219;2.11;5.59
139;2.76;4.53
320;4.72;6.12
39;3.53;6.51
118;6.46;10.17
108;10.04;7.65
270;5.29;9.98
204;7.45;4.42
84;6.67;4.38
274;0.1;2.71
197;10.75;37.71
150;5.87;25.57
10;13.41;12.7
277;2.58;2.58
304;5.33;10.01
224;3.72;3.72
282;22.24;12.14
49;27.47;8.76
297;5.67;16.53
68;0.35;0.68
254;5.22;10.05
296;11.17;12.38
31;8.19;21.65
157;5.59;3.49
343;0.69;2.26
148;2.32;2.04
311;3.52;4.25
260;1.17;1.03
247;4.3;3.17
354;4.99;1.92
21;3.97;2.98
113;6.86;5.56
121;7.05;11.57
345;4.11;25.01
258;5.03;5.03
351;11.89;34.14
265;8.63;2.61
299;6.33;4.75
88;6.42;5.83
294;4.58;6.42
74;6.7;6.69
70;6.95;5.14
115;3.44;8.77
200;3.02;11.29
152;9.38;7.78
83;3.3;7.77
57;8.0;5.65
119;4.57;12.62
302;2.93;5.21
193;8.49;6.79
34;7.54;8.91
266;5.32;7.04
301;5.0;5.01
3;5.58;10.68
38;6.82;6.1
104;12.15;3.87
85;2.72;7.23
86;0.99;5.0
178;1.87;1.39
172;5.68;7.74
72;3.69;9.52
175;2.16;0.45
16;1.18;3.68
283;4.32;17.66
117;4.89;23.99
81;9.67;47.65
347;14.58;23.13
357;4.76;4.76
8;6.86;16.01
300;7.83;13.32
315;4.84;14.65
184;4.55;18.42
134;5.36;9.24
15;2.42;12.98
360;6.01;3.86
128;3.8;2.71
237;4.33;2.29
322;3.74;4.92
231;12.55;20.14
4;10.0;15.04
164;9.3;12.0
341;0.99;0.47
18;16.57;13.17
73;9.02;62.74
209;5.35;5.35
222;12.69;13.89
211;9.25;15.59
358;7.7;20.17
325;5.39;5.39
180;3.13;2.9
309;6.63;2.88
179;3.79;7.26
249;1.76;0.75
291;2.39;1.03
66;0.89;0.75
91;2.62;3.78
329;4.82;2.9
340;0.45;3.92
223;2.87;10.15
44;4.53;1.59
324;7.71;3.96
349;1.13;4.92
78;0.74;9.77
328;3.47;13.9
51;14.6;6.86
337;2.92;2.92
272;6.19;3.09
285;17.91;5.84
79;7.3;6.14
187;5.55;7.52
316;3.38;9.27
319;4.75;5.53
76;7.62;3.03
234;13.48;3.42
82;13.59;3.0
40;10.29;5.1
158;3.61;7.8
160;3.46;10.16
46;3.25;3.25
331;3.76;6.45
67;7.2;4.01
107;4.29;11.78
13;18.54;16.85
123;8.7;21.28
269;8.05;45.43
338;0.8;2.86
136;7.71;14.1
23;8.15;8.15
112;8.53;24.84
60;1.12;1.2
239;10.4;7.2
289;2.14;5.29
159;6.24;7.38
