id;x;y;z
5;412775.0;134551.0;1988.0
216;412774.23;134548.82;1978.44
281;412774.58;134550.56;1968.14
161;412775.63;134557.23;1958.43
244;412775.17;134557.95;1944.27
240;412776.73;134558.93;1944.59
62;412776.45;134562.0;1926.22
198;412774.01;134561.62;1916.26
154;412773.36;134563.52;1864.19
135;412777.9;134557.71;1875.33
156;412777.94;134555.3;1874.45
176;412778.49;134554.9;1871.11
12;412782.43;134553.52;1867.4
163;412783.55;134554.65;1858.49
257;412785.73;134552.08;1857.4
280;412787.42;134550.51;1850.18
149;412785.74;134543.67;1828.21
307;412784.31;134556.1;1832.5
58;412782.75;134545.37;1829.25
290;412782.52;134559.49;1832.48
241;412780.43;134570.01;1829.8
167;412781.12;134544.73;1816.47
229;412782.41;134541.43;1815.9
220;412782.81;134537.1;1815.43
213;412784.78;134533.14;1814.94
201;412785.66;134532.75;1815.15
26;412789.76;134526.92;1815.26
90;412789.61;134527.1;1811.92
263;412793.77;134523.03;1810.65
350;412797.12;134517.49;1812.04
47;412799.93;134514.66;1811.82
182;412800.82;134511.18;1812.0
221;412805.55;134509.48;1805.66
9;412806.99;134508.04;1803.27
144;412806.71;134507.26;1802.92
342;412808.97;134499.98;1802.68
207;412808.79;134496.86;1798.7
346;412809.5;134493.16;1798.98
317;412807.54;134491.66;1800.99
28;412807.39;134490.58;1799.43
308;412807.47;134490.29;1798.9
230;412809.84;134484.76;1798.99
110;412812.26;134480.1;1798.96
217;412813.89;134478.63;1802.29
336;412818.6;134478.46;1807.48
114;412818.99;134475.67;1812.79
131;412812.65;134476.75;1796.77
326;412815.26;134474.54;1796.63
36;412815.68;134471.81;1796.82
168;412816.65;134469.45;1796.5
43;412816.9;134469.03;1798.73
219;412818.61;134466.75;1798.79
139;412818.44;134464.75;1798.75
320;412819.45;134462.49;1798.92
39;412820.42;134459.31;1796.95
118;412819.03;134457.92;1798.48
108;412819.13;134452.25;1796.42
270;412810.92;134453.2;1791.5
204;412808.13;134452.85;1789.21
84;412803.4;134454.29;1786.76
274;412802.27;134453.74;1785.76
197;412802.56;134453.0;1784.55
150;412806.12;134452.92;1762.73
10;412811.3;134454.42;1746.98
277;412812.1;134449.0;1750.93
304;412813.42;134444.86;1750.62
282;412811.65;134441.59;1749.25
49;412815.22;134432.64;1749.27
271;412817.89;134417.34;1751.62
224;412809.7;134449.25;1747.49
297;412810.81;134449.03;1740.8
254;412812.7;134448.92;1732.57
296;412815.75;134450.16;1721.91
31;412814.95;134451.84;1715.08
157;412810.54;134451.45;1714.06
343;412809.02;134450.85;1712.16
148;412807.71;134450.2;1711.23
311;412805.5;134450.77;1708.84
260;412806.76;134450.81;1707.05
247;412805.16;134452.14;1708.21
354;412805.75;134455.09;1709.01
21;412805.05;134456.75;1709.3
113;412803.68;134457.52;1707.92
121;412801.52;134459.38;1704.95
345;412797.02;134461.23;1698.35
258;412795.56;134460.79;1692.11
287;412792.71;134456.62;1681.93
351;412794.15;134462.6;1688.58
293;412790.12;134466.97;1684.12
68;412808.98;134448.23;1742.58
265;412807.67;134448.66;1743.37
299;412804.08;134446.44;1742.07
88;412801.94;134451.3;1741.33
294;412798.86;134451.33;1739.74
74;412797.37;134447.49;1738.37
70;412792.99;134449.29;1736.73
115;412790.49;134449.09;1736.18
200;412787.34;134449.41;1730.74
152;412785.81;134447.63;1730.52
83;412781.38;134446.28;1729.66
57;412781.35;134444.85;1729.19
119;412779.56;134442.86;1727.74
302;412777.66;134440.58;1725.52
193;412775.71;134438.36;1726.69
34;412774.91;134435.89;1723.79
266;412773.54;134434.67;1722.88
301;412773.54;134431.81;1722.71
3;412770.27;134429.78;1721.53
38;412767.91;134429.05;1719.41
104;412766.12;134425.86;1722.43
85;412762.69;134426.03;1719.14
86;412762.4;134426.13;1716.9
178;412762.06;134425.6;1712.8
172;412761.81;134422.53;1712.41
72;412757.79;134422.73;1714.13
175;412755.16;134421.88;1715.5
16;412753.6;134421.65;1714.79
283;412751.93;134422.32;1702.59
117;412750.82;134421.02;1700.54
81;412750.06;134420.78;1682.91
347;412747.59;134419.47;1655.61
357;412745.38;134422.09;1654.96
196;412745.16;134420.89;1647.14
24;412749.96;134425.09;1655.52
8;412747.65;134424.72;1655.13
300;412740.46;134431.45;1653.22
339;412739.8;134431.59;1652.3
315;412739.6;134432.42;1651.58
184;412739.72;134432.16;1637.13
134;412740.57;134429.95;1636.49
15;412741.57;134427.83;1634.82
360;412740.43;134430.92;1634.25
128;412736.46;134433.27;1632.86
237;412732.35;134436.03;1633.49
322;412730.03;134437.39;1632.83
218;412728.67;134437.76;1632.42
231;412727.33;134437.66;1631.83
4;412726.73;134439.62;1627.71
164;412724.31;134439.96;1619.69
341;412724.04;134441.94;1617.99
18;412722.64;134442.42;1618.2
73;412719.29;134448.53;1617.27
63;412719.37;134448.48;1615.7
209;412716.22;134454.27;1600.44
222;412708.62;134454.6;1599.32
211;412705.39;134454.46;1600.43
358;412699.47;134454.59;1592.28
325;412696.14;134457.72;1589.77
138;412686.7;134456.25;1590.6
180;412691.18;134460.73;1584.22
309;412685.43;134460.1;1583.14
179;412682.08;134460.68;1582.46
199;412715.99;134456.36;1594.32
291;412715.06;134458.06;1593.17
151;412715.12;134459.87;1587.86
249;412681.22;134462.45;1582.91
66;412680.61;134464.02;1582.95
91;412679.09;134465.39;1581.57
329;412677.49;134467.69;1580.11
340;412676.83;134469.75;1580.9
223;412675.69;134470.82;1580.3
44;412674.28;134470.72;1580.39
324;412673.78;134473.39;1580.22
349;412669.5;134480.41;1580.89
78;412666.11;134482.85;1580.43
328;412664.3;134484.7;1572.2
51;412657.44;134492.64;1578.56
337;412652.42;134503.43;1574.44
272;412649.82;134501.47;1573.84
79;412650.13;134497.25;1572.29
187;412648.48;134494.41;1570.9
316;412648.39;134491.35;1570.9
319;412648.45;134487.75;1573.08
76;412647.86;134484.89;1573.07
234;412649.25;134483.29;1572.46
82;412650.02;134479.83;1572.13
40;412650.51;134476.29;1571.56
158;412652.23;134473.31;1569.6
160;412654.54;134471.59;1565.6
46;412653.15;134476.31;1562.87
331;412653.21;134476.67;1559.52
107;412651.47;134476.56;1558.89
13;412647.75;134475.93;1554.98
123;412642.97;134470.31;1547.08
269;412642.25;134465.77;1534.42
338;412639.0;134461.78;1529.63
136;412637.46;134459.6;1528.25
23;412636.47;134459.18;1521.88
112;412636.06;134456.14;1514.95
285;412647.09;134511.6;1574.87
239;412641.24;134518.46;1574.96
289;412639.61;134519.14;1576.3
67;412648.31;134475.42;1566.56
159;412642.65;134471.65;1566.3
181;412641.05;134472.66;1568.85
14;412641.08;134474.07;1569.51
122;412633.78;134472.3;1558.75
146;412635.63;134471.31;1567.15
278;412634.47;134469.31;1566.77
71;412632.73;134470.44;1568.97
56;412632.17;134470.68;1570.44
185;412632.04;134471.41;1570.48
250;412630.45;134472.07;1572.46
171;412627.44;134471.62;1575.86
261;412649.39;134419.91;1496.42
276;412648.1;134422.01;1495.63
189;412652.32;134416.02;1496.64
92;412653.32;134413.85;1498.08
27;412652.91;134411.81;1496.88
245;412652.57;134408.33;1496.79
267;412651.77;134408.03;1476.77
95;412654.22;134413.36;1501.35
59;412651.56;134413.8;1505.16
130;412648.79;134418.53;1512.59
30;412645.72;134418.18;1513.0
335;412646.11;134420.11;1510.95
103;412645.93;134422.0;1513.71
35;412644.64;134426.32;1514.03
6;412644.96;134426.58;1515.72
264;412645.46;134430.55;1517.24
251;412643.55;134433.38;1519.48
105;412641.31;134436.35;1519.31
142;412639.52;134437.55;1519.78
165;412638.75;134438.1;1521.76
352;412638.11;134441.39;1523.53
255;412637.47;134443.29;1525.34
120;412636.48;134444.12;1525.14
42;412636.76;134445.9;1523.65
60;412636.04;134458.16;1521.17
353;412653.0;134405.48;1477.96
186;412654.65;134399.53;1476.7
330;412653.3;134397.06;1476.5
169;412652.33;134394.73;1476.76
210;412653.88;134393.69;1476.34
262;412655.53;134393.98;1476.75
0;412656.56;134392.48;1477.57
145;412656.39;134390.79;1478.35
50;412656.14;134390.03;1480.09
126;412656.0;134388.46;1480.17
253;412654.65;134386.26;1479.19
298;412657.08;134385.82;1477.59
295;412656.15;134385.39;1478.43
77;412657.15;134383.65;1479.44
52;412657.12;134380.75;1479.83
155;412657.65;134378.92;1479.5
286;412659.47;134377.2;1479.81
54;412660.48;134377.51;1478.95
321;412661.73;134374.72;1479.08
313;412663.08;134373.1;1479.9
174;412664.63;134373.3;1481.72
143;412666.26;134372.08;1476.48
80;412663.21;134375.0;1473.21
65;412665.04;134375.24;1472.64
116;412669.07;134369.0;1475.06
292;412672.87;134369.42;1475.33
99;412787.15;134468.61;1673.8
233;412782.62;134472.61;1669.59
192;412782.16;134467.9;1668.11
312;412782.85;134463.24;1667.14
332;412784.62;134460.06;1667.94
7;412786.1;134457.72;1668.45
93;412786.45;134456.68;1667.5
327;412787.95;134454.09;1667.14
310;412789.44;134449.7;1665.49
191;412790.57;134447.65;1664.59
29;412790.82;134448.15;1663.91
100;412788.21;134449.78;1649.86
1;412784.87;134449.62;1641.87
48;412782.16;134445.78;1624.89
273;412672.83;134368.16;1472.61
125;412673.5;134365.96;1471.7
96;412674.33;134363.16;1472.59
212;412672.19;134359.99;1462.69
61;412675.42;134356.85;1462.21
205;412675.92;134353.97;1462.96
64;412677.51;134349.46;1463.2
214;412680.24;134341.11;1461.54
242;412681.08;134338.33;1462.87
147;412681.34;134333.67;1462.75
203;412679.14;134333.0;1462.9
323;412676.36;134332.7;1462.4
129;412680.02;134327.82;1461.39
69;412680.95;134326.85;1458.41
314;412680.35;134324.94;1457.65
133;412682.15;134323.45;1459.21
355;412685.37;134322.89;1458.92
202;412686.45;134323.01;1458.74
111;412686.27;134322.62;1458.91
41;412689.6;134320.71;1458.49
303;412693.31;134319.4;1457.09
132;412698.05;134315.59;1454.17
20;412699.23;134314.29;1452.03
19;412700.54;134312.21;1454.12
359;412698.69;134308.36;1455.7
275;412703.11;134307.44;1454.7
235;412704.02;134301.39;1451.29
284;412703.43;134303.17;1448.8
215;412705.94;134301.06;1448.01
33;412706.64;134298.55;1447.05
106;412709.98;134295.54;1446.66
305;412711.8;134291.98;1446.62
183;412711.37;134288.94;1445.65
170;412709.73;134286.98;1445.51
188;412709.43;134285.03;1444.77
194;412706.42;134282.84;1444.21
89;412710.8;134281.35;1443.96
32;412712.23;134282.18;1444.02
55;412713.96;134280.69;1443.56
208;412714.92;134275.49;1442.99
109;412715.85;134273.47;1442.87
37;412716.55;134271.41;1443.54
2;412721.1;134268.71;1443.35
206;412722.32;134265.69;1442.27
195;412723.94;134265.07;1442.79
162;412725.16;134260.41;1442.11
97;412725.57;134258.92;1442.45
177;412729.32;134255.25;1442.53
140;412728.83;134252.1;1440.36
232;412726.71;134251.28;1439.65
268;412729.23;134248.13;1439.85
248;412729.45;134245.13;1439.24
243;412727.72;134240.24;1436.64
102;412729.54;134240.1;1437.12
288;412735.62;134235.99;1435.08
45;412735.1;134233.71;1435.91
53;412734.13;134232.45;1434.0
124;412733.43;134226.73;1432.33
356;412733.25;134221.8;1432.15
