from_id;to_id
3157;2604
3157;1581
3157;575
3157;350
2604;2289
1581;873
575;2266
350;2806
2289;1141
1141;776
776;2319
776;1832
2319;3425
1832;4018
3425;1665
1665;3128
1665;3911
3128;1942
3911;847
3911;181
1942;1604
1604;679
679;3973
3973;2815
2815;2860
2860;1436
1436;515
515;3889
3889;2758
2758;277
277;1705
1705;1100
1100;2220
2220;143
2220;1566
143;1616
143;1960
1566;3554
1960;458
458;1777
1777;1241
1241;2355
2355;318
318;685
685;3632
3632;1584
1584;2701
2701;886
886;1598
1598;92
92;1387
1387;2378
2378;2677
2677;438
438;3220
3220;553
553;3503
3503;2418
2418;2327
2327;4418
4418;354
4418;2557
4418;1233
354;3339
1233;1826
3339;2001
2001;2427
2427;3720
3720;339
339;218
218;697
697;2742
2742;2253
2253;2271
2271;72
72;3734
3734;101
101;790
790;1539
1539;1903
1903;3247
3247;1033
1033;1321
1321;2602
2602;1154
1154;3197
3197;1344
1344;4000
4000;51
51;3045
3045;2191
2191;1193
1193;3542
3542;2724
2724;3940
2724;1015
3940;4269
1015;287
4269;2746
2746;3317
3317;4146
4146;1058
1058;3489
3489;1006
1006;4055
4055;3752
3752;4112
3752;2926
4112;3634
2926;1140
3634;4241
4241;4087
4087;2225
2225;3181
3181;1794
1794;1275
1275;2828
2828;1388
1388;771
771;1096
771;2852
1096;3892
2852;1521
3892;4227
3892;4431
4227;274
4431;3099
274;360
274;1844
360;1440
1844;352
1440;3764
3764;437
3060;2221
3060;448
3060;2432
2221;1799
448;1776
448;2654
2432;2287
1799;4002
2654;3879
3879;202
202;1771
4002;2434
2287;1955
1955;250
250;1521
122;1711
122;1403
122;4341
1711;830
1403;3138
4341;2005
830;2035
2035;3145
3138;383
383;1258
1258;3950
3950;1563
3950;437
437;912
912;3428
2005;4397
4397;2816
2816;3847
3847;272
272;1963
1963;543
1963;2306
2306;4148
4148;524
524;2169
524;466
524;2239
2169;1457
466;2569
2239;2250
1457;4394
4394;473
473;1967
1967;3334
3334;463
463;2335
2335;1698
1698;884
884;152
152;550
550;1497
550;495
1497;1985
495;2991
1985;3580
3580;3990
3990;2414
2569;1840
2569;1365
2250;3942
2250;7
3942;4159
2991;1981
1981;1230
1230;2595
1230;3959
3959;851
2414;4100
2414;37
2414;1962
4100;1537
37;296
1962;1590
296;3609
296;3284
3284;2542
1590;2339
2339;934
2339;1166
934;3306
1166;1265
3306;2261
2261;4461
4461;3582
1265;4118
4118;4426
4426;3567
4426;1186
3567;282
1186;2360
