id;cswidth;csheight
3460;1.12;0.56
4025;3.45;4.32
149;2.06;2.06
3786;0.33;5.79
2362;3.34;13.33
3880;1.36;12.47
3229;4.84;9.8
3157;5.02;5.02
2604;13.94;20.2
2289;8.19;11.01
776;3.34;3.34
1665;5.18;5.18
2860;3.95;5.39
1436;7.42;2.69
515;0.85;11.5
3889;3.03;1.83
2758;4.22;6.26
2220;4.81;4.81
143;4.16;4.16
1960;2.98;5.4
458;0.91;2.47
1777;0.12;0.94
1241;0.86;4.74
2355;3.16;9.32
318;1.76;0.59
685;0.38;8.88
1584;4.17;10.31
2701;2.1;8.06
1598;8.74;6.98
1387;5.37;3.27
2677;4.08;4.39
3503;3.06;2.91
2418;0.12;0.19
2327;6.18;5.11
4418;6.59;6.59
3720;2.17;4.96
339;3.87;7.25
218;5.86;14.84
2253;2.58;2.87
72;2.31;1.85
1903;2.94;10.7
3247;5.05;24.16
1321;7.13;3.79
2602;1.19;2.63
1154;8.74;2.14
3197;1.72;0.35
4000;1.59;0.81
3045;0.7;2.47
1193;1.3;0.32
2724;0.38;0.38
3940;1.67;7.21
4269;0.04;0.13
1058;1.48;5.99
4055;3.14;4.87
3752;6.37;6.37
3634;1.72;4.35
4241;4.99;1.08
4087;4.23;12.77
2225;11.29;14.31
3181;15.39;34.55
1794;15.46;18.31
1275;8.19;62.3
1388;7.54;18.85
771;6.72;6.72
1096;11.42;21.26
3892;6.36;6.36
4227;8.89;17.84
274;5.67;5.67
1440;4.77;3.56
3060;3.77;3.77
2221;3.73;25.99
448;2.12;2.12
1776;1.17;2.04
3879;0.78;1.34
202;5.4;5.82
4002;2.05;4.61
2287;20.05;3.62
1955;6.96;7.76
122;5.07;5.07
1711;5.78;5.38
830;3.75;2.88
2035;1.98;2.84
1258;0.78;1.88
3950;1.93;1.93
437;1.27;1.27
912;5.53;1.64
3764;5.45;1.4
4341;9.47;4.29
2816;2.71;19.83
1963;9.29;9.29
543;10.31;5.29
2306;9.93;14.02
524;7.01;7.01
2169;4.84;14.4
1457;4.9;5.18
4394;1.03;4.95
473;4.35;3.81
550;2.31;2.31
466;3.46;3.34
2239;1.85;3.06
495;1.77;3.04
1230;1.85;1.85
3959;1.86;10.08
2414;4.35;4.35
296;4.33;4.33
2339;3.29;3.29
3306;4.2;3.2
2261;4.57;1.32
1166;5.27;5.76
1265;4.83;5.8
4426;10.57;10.57
1186;12.01;12.01
594;6.98;6.98
2582;9.47;9.47
4443;23.89;18.91
817;9.14;9.14
3319;7.29;7.29
1139;22.34;10.4
1477;1.83;3.58
2399;14.02;4.1
2710;12.25;2.9
3152;2.28;2.28
4181;2.71;2.71
3041;3.83;2.5
2398;26.45;16.54
3046;28.02;36.02
3924;12.08;19.92
4192;20.1;5.24
2178;9.47;8.29
766;6.7;18.12
2585;5.27;8.0
2291;12.69;6.31
84;13.85;4.83
3193;8.47;8.05
331;13.52;19.26
369;11.82;20.46
2462;9.78;5.43
1846;6.48;9.12
2148;4.15;1.13
3598;3.49;11.3
2156;2.41;5.88
1704;6.01;13.89
1119;4.89;4.89
3013;8.64;11.21
2776;2.87;2.87
3835;3.88;5.29
970;8.23;8.23
893;2.25;2.25
2658;28.46;23.92
723;9.98;9.98
1078;8.45;11.29
1221;7.92;13.2
1950;1.82;1.26
4163;4.99;3.8
1637;4.85;9.21
996;5.94;21.08
212;5.85;5.85
881;4.7;5.57
2932;4.56;1.73
1130;3.67;1.06
53;2.28;2.61
4427;2.35;5.37
3105;16.19;10.67
1043;10.17;7.7
2010;6.14;3.16
164;4.95;4.95
1088;9.38;7.01
1231;1.92;3.92
3050;10.36;8.03
1672;19.93;10.31
739;11.68;6.73
3874;13.77;11.83
890;8.87;8.87
326;27.59;51.64
1630;23.53;41.7
2825;36.83;61.72
2094;13.29;13.29
1826;2.07;2.07
4268;4.06;2.09
4214;3.14;1.93
1352;1.84;2.08
757;3.0;3.0
633;4.68;6.4
446;3.14;4.03
1140;3.75;3.75
2262;4.23;4.23
3550;12.46;19.02
2968;10.47;27.44
299;5.24;18.07
1579;2.77;2.81
1731;2.57;0.81
4270;3.95;9.33
2922;1.75;1.75
1358;4.83;4.83
4263;13.93;6.95
1565;4.43;9.88
3413;6.98;8.27
2305;2.5;30.42
3828;6.74;17.73
2494;0.65;0.65
2310;2.45;2.45
4262;6.9;3.18
1753;4.55;12.73
153;3.19;4.35
3998;1.96;1.57
1628;1.27;1.27
1844;5.0;8.73
3074;2.06;2.06
3860;3.52;5.24
179;3.7;3.7
1073;16.25;29.29
2045;8.24;18.76
1190;13.15;34.53
2426;12.97;32.36
2841;8.92;8.92
2635;1.04;2.05
3403;1.62;2.52
574;4.4;11.83
2877;4.99;20.21
559;3.2;11.09
3700;5.41;20.23
54;5.17;20.09
660;11.66;30.96
3745;23.23;29.98
3626;31.41;44.66
1908;27.62;26.12
1091;25.85;52.51
4069;36.25;27.1
3954;24.41;26.17
4008;35.87;54.9
2345;38.06;39.87
2408;19.07;72.77
162;7.01;7.01
452;3.18;4.55
3469;2.96;1.86
1815;7.7;11.25
4428;5.22;4.95
80;5.47;18.93
937;2.19;3.24
4320;5.22;8.02
2209;2.09;3.83
3372;24.33;17.74
1538;13.39;2.5
1402;4.15;2.09
2651;5.5;7.0
4238;4.28;3.68
3918;16.31;17.48
1910;8.0;10.91
675;10.9;13.89
4410;9.73;7.57
3827;10.59;10.75
2217;10.96;10.96
2764;3.31;3.31
1246;2.51;2.31
2819;7.01;12.32
620;43.87;36.27
3711;24.6;30.29
2376;6.86;6.86
3698;30.97;11.31
2128;21.89;11.97
261;33.63;15.63
1912;21.62;20.16
3409;3.0;1.18
1820;3.54;4.59
3485;2.83;2.83
891;2.4;2.44
3177;3.52;4.62
4424;2.17;2.84
2907;8.5;12.04
843;5.59;3.71
1605;3.93;8.59
3683;4.89;6.43
953;0.4;0.8
1276;1.66;0.37
2741;2.24;2.24
634;4.48;3.63
4142;3.8;4.81
3775;2.85;3.2
1042;1.78;1.78
743;2.66;0.7
1368;0.29;1.29
2620;2.28;3.28
3915;3.09;11.7
3911;3.19;3.19
847;1.45;0.55
4179;4.15;1.54
106;1.01;1.89
139;3.25;1.03
3512;0.89;1.56
3;10.02;2.61
3721;3.37;3.37
907;3.22;2.28
2117;2.86;1.76
2413;4.22;3.7
575;0.82;2.02
2307;2.06;3.1
2581;3.55;13.78
1557;0.48;2.05
3989;1.29;1.63
1357;0.98;3.02
4297;0.99;1.21
1015;0.98;3.28
1516;2.79;2.79
3081;1.13;1.08
2667;1.45;2.92
325;2.07;2.07
1778;5.09;15.9
2671;1.86;2.75
902;2.09;3.49
3525;1.66;3.54
3965;2.41;1.13
4348;1.41;3.53
2664;3.65;2.35
3686;4.57;6.2
4374;2.13;4.06
2294;4.03;4.29
2842;1.01;2.75
1175;4.42;2.55
3709;18.91;15.65
1986;15.49;7.27
3076;15.66;26.25
4215;5.9;5.9
864;4.13;10.9
4328;1.17;1.19
2036;4.4;4.4
2807;2.25;12.1
3839;0.2;1.55
3939;0.14;1.3
1597;3.6;3.34
700;2.41;2.61
1323;4.98;3.4
2993;1.73;1.73
4149;9.53;9.53
1614;7.58;7.58
2754;1.62;3.82
2158;5.69;6.01
2277;7.8;7.8
1828;2.54;2.54
203;3.44;1.36
1108;1.18;0.76
3103;1.3;1.3
3296;9.53;21.7
2616;6.09;5.96
3281;6.15;6.15
867;2.39;10.6
193;3.54;3.54
3246;2.16;4.96
2006;7.26;7.26
4023;7.16;0.71
1853;3.53;3.53
2863;9.1;9.1
1938;3.7;3.7
3455;2.12;2.12
3657;2.58;2.58
1547;3.95;3.95
4047;3.24;3.24
831;0.81;0.5
3384;1.07;0.77
1303;3.34;4.43
3754;2.78;8.24
1288;0.87;1.67
3142;2.87;6.33
1056;2.37;2.37
2560;5.23;5.23
2282;2.62;4.82
1020;14.13;2.56
2065;4.53;4.53
1264;5.68;2.5
1936;1.19;1.66
1365;2.9;2.9
1038;3.68;2.38
7;3.89;3.4
1867;0.42;1.65
1277;4.14;4.14
428;2.0;2.0
3294;6.14;8.34
2107;3.8;11.67
734;2.03;2.14
3059;3.36;2.93
3596;1.19;0.29
3400;2.62;7.55
3908;2.95;2.95
773;1.79;0.81
3568;2.86;5.53
1717;2.16;2.16
178;1.02;3.56
2048;3.75;3.9
977;2.6;3.88
1927;1.94;4.97
1226;2.3;4.03
1495;2.6;2.6
4442;3.21;3.21
3349;2.83;3.91
2806;1.43;1.43
2316;2.5;5.67
2300;6.55;5.73
999;6.26;19.26
1468;5.1;3.98
3659;5.09;4.0
2137;4.13;3.85
3804;12.02;2.69
2579;3.01;8.77
2241;3.66;5.33
861;5.85;5.85
3506;3.2;5.73
3857;3.08;3.13
55;1.93;1.93
2513;12.73;13.29
4188;1.9;7.03
1404;8.54;23.71
4095;2.25;0.89
2397;6.4;24.2
4399;2.22;2.22
950;0.49;1.82
836;13.84;39.42
1339;2.21;2.21
1053;0.6;0.61
4042;1.98;1.98
958;2.96;3.56
2644;0.78;0.88
4211;1.99;6.17
2177;2.54;2.54
2051;3.06;5.88
3899;0.83;2.56
2593;11.44;5.2
97;5.84;5.49
810;2.75;2.75
4040;2.53;4.91
4340;3.67;3.88
2043;4.45;3.29
3386;4.49;2.51
3798;1.56;1.57
1625;5.54;14.72
3614;0.48;0.48
687;2.64;2.13
1452;1.26;3.8
705;3.07;3.99
1242;0.42;3.58
1930;3.69;4.57
3858;2.97;3.39
1415;1.24;3.61
1586;1.35;4.04
1095;1.84;1.87
187;1.06;2.86
3981;7.17;0.94
1192;3.99;2.52
4244;5.33;6.57
842;11.15;7.23
1286;6.63;25.45
376;1.35;16.85
1653;1.61;11.45
978;7.32;12.8
278;6.3;9.2
1338;4.47;27.19
1063;8.03;44.37
3493;2.45;14.34
826;10.21;43.23
3280;2.97;17.91
1856;2.1;14.41
641;2.14;10.43
3217;6.83;19.45
3126;5.35;31.71
2264;5.09;31.49
440;11.99;31.53
1256;3.36;3.36
3340;26.51;17.1
1706;10.69;10.69
951;5.28;8.92
909;6.39;18.03
4229;9.39;21.24
1077;4.83;0.27
3335;3.41;4.37
3449;3.74;3.74
102;12.87;8.13
3716;37.54;1.34
3390;14.89;7.28
2023;22.16;22.09
3196;4.35;23.23
983;10.22;3.57
1451;7.78;3.48
4430;1.58;0.5
1004;3.26;1.56
4411;8.18;8.18
2588;3.02;3.87
4156;2.32;1.44
357;2.71;4.86
4079;4.16;6.84
3862;19.72;13.9
3518;2.42;6.3
2789;3.43;5.27
1608;4.63;17.16
3931;9.56;34.83
908;1.57;8.31
4425;0.25;1.36
4130;1.23;4.14
813;4.01;6.2
2302;1.21;5.61
4014;2.27;4.8
3429;1.02;7.81
1470;1.53;1.27
3012;2.7;7.37
518;0.48;1.91
3925;10.58;16.63
1836;5.46;4.62
3079;1.74;3.45
4335;1.55;3.13
684;6.44;3.85
2449;1.08;2.73
2523;3.16;7.01
3174;5.3;7.77
1596;3.3;3.26
2424;5.15;5.15
1156;7.18;21.61
1876;2.72;2.72
3910;0.92;1.25
725;3.12;4.44
4422;1.36;1.93
2615;2.78;5.47
2893;4.55;14.53
160;5.41;16.24
1847;12.13;25.64
2348;3.2;2.69
2801;14.59;25.75
2559;1.93;2.66
3733;2.39;2.78
3811;1.32;1.32
2280;0.77;1.71
3189;3.02;3.02
430;0.47;2.92
1008;2.78;1.03
35;7.38;5.77
2498;5.34;7.52
3842;1.28;0.26
2090;5.19;5.19
3992;1.64;1.64
425;0.21;0.85
603;5.76;11.3
3209;1.91;2.47
560;2.76;8.21
536;9.49;10.26
1431;10.23;15.78
3273;5.42;5.5
3171;7.0;2.61
3969;1.76;4.36
2373;4.65;9.34
1290;5.8;3.91
3785;2.36;4.36
1272;2.01;4.85
2759;7.63;7.67
2066;7.22;22.14
1438;6.88;9.75
1727;1.02;1.18
3268;1.7;2.09
3868;3.17;6.59
197;1.39;6.01
3572;2.18;4.9
2344;0.79;0.73
2059;1.46;1.69
3702;2.59;4.04
727;2.4;10.13
3610;2.97;2.95
3717;3.76;5.71
