id;fulladdress
3460;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.0
4025;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.1
4025;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140606_spela_gapi_flis..
149;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.2
149;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar..
3848;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.3
3848;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140606_garmin_blatnik..
3786;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.4
3786;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140606_garmin_blatnik..
2362;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.5
2362;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140521_trubar_od_360_do_422..
3880;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.6
3880;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140606_spela_gapi_flis..
3229;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.6666
3229;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140525_spela_solinc_diba..
1066;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.7
1066;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140327_trubar_od_170_do_275_spela_garmin_ikarus_..
418;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.77
418;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar..
3157;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.8
3157;sistem_pokljuskega_grebena.trubarjev_dah.2015.20151212_luknje_pod_prvim_strikom_garmin_spela.1.8
3157;sistem_pokljuskega_grebena.trubarjev_dah.2015.20150701_vhodni_aht_ter_vhodni_kamin.1.8
2604;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.88
2604;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140521_trubar_od_360_do_422..
2289;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.9
2289;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140521_trubar_od_360_do_422..
1141;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.10
1141;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140327_trubar_od_170_do_275_spela_garmin_ikarus_..
776;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.11
776;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar..
776;sistem_pokljuskega_grebena.trubarjev_dah.2015.20150630_nov_stranski_sahtic_na_50_garmin_jerca.1.11
2319;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.12
3425;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.13
3425;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140606_garmin_blatnik..
1665;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.14
1665;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140419_trubar..
1665;sistem_pokljuskega_grebena.trubarjev_dah.2015.20151212_rov_nad_ta_prvim_dolgim_meandrom_garmin_spela.1.14
3128;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.15
3128;sistem_pokljuskega_grebena.trubarjev_dah.2014.20140525_spela_solinc_diba..
1942;sistem_pokljuskega_grebena.trubarjev_dah.2013.20131201_zacetni_deli_trubar.1.16
