id;idsql
3460;1
4025;10
149;18
3848;25
3786;39
2362;43
3880;69
3229;85
1066;105
418;139
3157;145
3157;7664
3157;10294
2604;166
2289;182
1141;211
776;212
776;10039
2319;225
3425;239
1665;264
1665;7790
3128;279
1942;289
1604;301
679;312
3973;319
2815;335
2860;352
1436;362
515;374
3889;378
2758;391
277;415
1705;434
1100;445
2220;466
2220;11362
143;481
1616;492
1960;504
458;511
1777;518
1241;521
2355;526
318;538
685;542
3632;544
1584;561
2701;572
886;579
1598;587
92;598
1387;609
2378;634
2677;636
438;653
3220;667
553;677
3503;681
2418;687
2327;689
4418;703
4418;4666
354;722
3339;738
2001;739
2427;752
3720;753
339;764
218;773
697;787
2742;792
2253;801
2271;812
72;813
3734;821
101;841
790;851
1539;852
1903;856
3247;860
1033;872
1321;873
2602;879
1154;883
3197;891
1344;898
4000;901
51;903
3045;904
2191;907
1193;910
3542;912
2724;913
2724;7899
3940;915
4269;918
2746;920
3317;921
3317;922
4146;929
1058;935
3489;942
1006;947
4055;957
3752;966
3752;5074
4112;996
3634;1012
4241;1021
4087;1025
2225;1036
3181;1050
1794;1094
1275;1114
2828;1135
1388;1200
771;1226
1096;1255
3892;1279
3892;13301
4227;1324
274;1349
274;5523
360;1372
1440;1389
1440;1643
3060;1403
2221;1415
448;1429
1776;1437
2654;1444
3879;1453
202;1465
1771;1479
1799;1480
4002;1488
2434;1502
2432;1503
2287;1504
1955;1511
250;1519
1521;1520
2852;1529
122;1530
122;1644
1711;1554
830;1564
2035;1573
3145;1583
1403;1584
3138;1591
383;1600
1258;1611
3950;1616
1563;1624
437;1626
912;1631
3428;1636
3764;1637
4341;1645
2005;1660
4397;1661
2816;1678
3847;1703
272;1704
1963;1734
1963;1794
543;1762
2306;1796
4148;1813
524;1827
2169;1897
1457;1907
4394;1925
473;1939
1967;1956
3334;1969
463;1985
2335;1995
1698;2002
884;2010
152;2020
550;2034
1497;2051
1985;2061
3580;2080
466;2098
2569;2111
1840;2130
2239;2131
2250;2144
3942;2158
4159;2175
495;2177
2991;2188
1981;2202
1230;2203
2595;2217
3959;2218
851;2240
3990;2241
2414;2258
4100;2280
1537;2295
37;2296
296;2319
3609;2324
3284;2325
2542;2326
1962;2327
1590;2332
2339;2336
934;2356
3306;2361
2261;2378
4461;2395
3582;2396
1166;2397
1265;2419
4118;2443
4426;2463
3567;2486
282;2504
1186;2505
2360;2533
57;2534
594;2548
594;14294
594;14507
3183;2559
3310;2578
2582;2592
4443;2617
3286;2657
817;2658
4147;2678
3319;2679
1139;2714
1477;2747
2592;2760
1025;2801
243;2802
243;2957
243;8224
2399;2803
2710;2824
1737;2853
3152;2891
1504;2907
4181;2908
4181;7995
3156;2909
3041;2910
3109;2926
2599;2956
402;2958
2398;2962
12;2970
1248;2979
3046;3000
3924;3011
654;3020
3406;3026
4192;3054
2178;3066
766;3080
2585;3098
2291;3124
84;3142
98;3157
3193;3175
3453;3194
331;3215
369;3242
369;3430
2462;3273
1846;3307
2148;3322
3598;3334
2156;3366
1704;3387
1119;3408
1119;8442
3013;3431
897;3460
3771;3484
4230;3504
2776;3529
2930;3547
2279;3548
2349;3549
3835;3550
3048;3564
4352;3577
970;3593
2608;3594
567;3615
893;3616
2658;3627
4272;3668
723;3707
723;5075
723;5076
4287;3744
1078;3745
1221;3765
2421;3803
1950;3830
4163;3844
1637;3858
1637;3868
224;3878
791;3902
996;3926
570;3943
1897;3972
212;4009
881;4030
1228;4050
795;4073
507;4087
2932;4104
1130;4115
53;4128
61;4145
4427;4147
3105;4158
1043;4179
2010;4198
164;4216
164;4307
1088;4242
3681;4256
3885;4273
3961;4274
1231;4293
2896;4308
3050;4309
1672;4328
739;4374
3874;4395
1863;4416
890;4441
890;4597
326;4470
2453;4503
1630;4517
2825;4527
2094;4557
2094;6356
2094;6759
1726;4582
3544;4596
2949;4604
1834;4622
2586;4629
375;4640
2557;4664
1233;4667
1826;4678
2788;4685
1805;4696
2260;4708
4268;4729
4214;4737
1352;4753
2730;4762
757;4769
633;4784
2063;4799
446;4800
446;8857
1140;4801
2262;4822
2262;6963
3919;4823
3550;4852
2968;4871
4045;4900
299;4935
1579;4954
359;4962
1731;4984
1869;4996
3825;4997
4270;4998
1689;5020
2922;5046
807;5065
3699;5069
788;5070
2544;5071
3641;5072
2926;5073
2956;5087
4247;5113
1358;5135
2313;5172
4263;5188
1199;5231
2933;5256
1398;5257
3323;5283
1911;5298
2520;5299
2520;5626
190;5310
3130;5311
2938;5329
1565;5330
3413;5342
2305;5351
3828;5369
2494;5387
2494;8982
2494;8983
2310;5394
1031;5415
1191;5423
4262;5428
1753;5444
153;5450
3998;5457
3102;5462
3102;5463
1628;5483
1628;5771
3511;5490
352;5500
1844;5511
116;5524
3278;5539
3074;5561
3074;5768
3860;5568
1898;5581
179;5582
2237;5589
1073;5590
2045;5607
1676;5624
4276;5625
1190;5627
1190;5884
1190;5885
2426;5650
170;5669
2841;5698
2841;8856
927;5726
2379;5738
2635;5759
117;5766
2531;5767
3403;5769
3064;5786
3756;5797
1420;5798
1620;5799
2163;5800
574;5801
4388;5823
2877;5824
559;5847
3700;5866
3700;9945
54;5887
1319;5906
660;5925
1966;5942
3745;5967
3027;5982
4050;6010
1641;6033
3626;6065
1419;6099
1908;6138
2848;6161
1091;6179
4069;6209
1092;6230
3113;6253
2502;6283
4242;6303
3954;6324
2809;6339
2621;6354
1823;6355
3917;6358
1074;6362
4008;6364
2345;6382
3245;6395
1678;6396
4234;6397
2458;6416
3037;6417
83;6429
3541;6430
3624;6431
2408;6432
664;6456
162;6457
162;6863
452;6458
3469;6467
1815;6473
2814;6485
4428;6494
2650;6509
80;6514
797;6531
937;6539
4320;6546
2209;6555
2703;6563
3372;6576
3084;6587
1538;6606
1402;6615
2263;6628
1417;6638
1513;6645
2651;6646
4238;6657
3918;6669
1910;6681
675;6690
4410;6699
3827;6719
1086;6731
18;6744
4201;6748
2435;6755
2217;6760
2217;10627
2466;6770
2466;31063
2764;6772
1575;6781
1506;6786
3738;6794
3738;32545
1246;6802
2819;6806
2122;6816
620;6818
3711;6834
2376;6848
2376;10586
2089;6855
1789;6860
3698;6874
2694;6889
1645;6902
2128;6912
261;6924
1284;6935
1912;6937
3409;6956
1820;6991
3485;6999
891;7025
3177;7044
4424;7064
2901;7078
2907;7087
843;7099
1605;7116
3683;7138
3613;7167
565;7189
2869;7190
1124;7191
953;7192
2038;7195
1276;7196
251;7200
1824;7201
2741;7208
2403;7226
3606;7250
634;7273
1660;7291
3023;7311
4142;7312
3775;7336
3419;7352
60;7372
3943;7384
1042;7395
1899;7407
743;7417
1368;7424
1061;7428
2620;7436
2511;7447
4094;7455
3815;7456
3986;7472
1274;7473
1274;7663
3915;7477
1434;7491
420;7499
3266;7500
3266;10920
3911;7501
3911;7795
847;7509
4179;7514
106;7526
531;7534
419;7548
139;7554
34;7563
1205;7569
303;7576
3591;7581
1142;7586
3512;7592
1307;7595
4213;7604
3;7615
3721;7625
907;7634
2613;7640
3039;7649
1581;7665
873;7672
2117;7679
3548;7687
2463;7694
2460;7702
2413;7711
1690;7728
575;7729
2266;7738
2307;7746
2581;7757
181;7796
2659;7809
4051;7823
1181;7832
1557;7837
3989;7841
1346;7848
1994;7863
1357;7872
2368;7884
4297;7890
2170;7898
1015;7900
287;7909
1516;7920
3081;7935
2667;7942
714;7957
325;7958
839;7972
183;7974
1778;7981
3258;7994
2012;8009
2671;8019
902;8029
3525;8040
3965;8049
2093;8058
3951;8070
1647;8083
2891;8095
4348;8097
1642;8108
378;8117
3417;8129
2664;8145
3686;8157
58;8171
4374;8189
2294;8198
2842;8208
1175;8214
882;8222
3709;8223
1986;8233
3076;8239
4215;8262
864;8279
3728;8296
4107;8313
4328;8314
1511;8318
386;8319
2036;8331
2036;12228
2807;8353
2763;8358
2827;8368
2361;8369
656;8377
523;8381
3839;8391
3939;8396
2839;8401
1597;8409
700;8419
1323;8427
2865;8434
2865;9814
2993;8443
3025;8454
3151;8455
4149;8456
4149;9445
1076;8457
467;8486
4088;8508
1232;8534
512;8557
2850;8589
1614;8593
1614;12367
3642;8626
3415;8627
2707;8657
2488;8658
2609;8690
3605;8691
3502;8695
2754;8703
1987;8716
3732;8738
3897;8765
319;8766
4368;8776
2158;8808
2277;8822
1129;8853
3727;8855
1828;8871
203;8894
3967;8906
1108;8926
582;8931
3103;8947
391;8953
3031;8964
2167;8972
1406;8973
3898;8979
3491;8980
980;8981
3287;8984
3024;8988
3296;8993
2616;9011
3784;9022
3281;9046
2600;9062
379;9063
2231;9083
3131;9094
3131;9095
1217;9105
1059;9123
2041;9135
867;9147
193;9159
3246;9170
3155;9176
2006;9192
275;9202
1736;9203
393;9212
4023;9213
1853;9218
4331;9223
2863;9235
1938;9259
3455;9265
4326;9270
2365;9279
3657;9289
4369;9299
1311;9300
1547;9307
2106;9308
1542;9309
1861;9310
4047;9322
784;9349
1101;9350
831;9366
3384;9371
1303;9375
3754;9383
1288;9395
4071;9397
3585;9398
3324;9406
3142;9424
3142;9546
3142;9547
2393;9433
1056;9434
4313;9444
1442;9446
853;9463
612;9482
409;9502
2560;9518
2560;9946
2282;9539
1072;9545
1741;9548
3974;9549
1020;9579
2065;9603
1155;9631
2765;9658
3822;9681
1264;9702
1936;9720
3147;9727
1365;9730
1675;9735
610;9740
1038;9744
3831;9752
1153;9767
1109;9784
3575;9785
7;9786
1867;9798
1765;9803
4193;9812
4115;9813
1277;9816
1021;9817
2921;9831
1350;9832
2751;9833
428;9837
783;9841
2846;9851
2411;9863
2607;9877
399;9879
2109;9881
4076;9882
3294;9883
619;9907
2107;9908
516;9921
1292;9948
1748;9953
2878;9962
734;9978
4403;9996
3059;10006
3596;10024
676;10027
742;10037
1832;10038
4018;10040
1973;10048
3221;10071
3400;10072
3908;10080
2960;10096
485;10097
773;10098
3568;10108
1717;10120
3888;10132
178;10144
2272;10151
2048;10154
977;10177
1813;10189
1813;10309
1927;10190
1226;10203
242;10212
294;10218
729;10219
1495;10220
3018;10230
2227;10245
4442;10246
3349;10259
15;10269
3358;10284
397;10285
2806;10286
350;10293
1941;10295
4414;10302
434;10308
2316;10324
2300;10335
999;10352
1468;10371
3659;10385
2137;10401
3804;10412
4168;10430
2579;10431
2241;10440
1892;10453
861;10464
861;10532
3506;10465
3857;10479
55;10484
4370;10502
1247;10503
171;10515
1548;10516
2459;10531
1929;10541
1211;10554
1783;10572
2252;10585
3433;10588
422;10589
2513;10590
4188;10616
2110;10625
3096;10626
3962;10629
1404;10636
4095;10646
2397;10650
3629;10659
1012;10671
1012;10735
2843;10672
3333;10683
4399;10684
4399;11487
3588;10690
2889;10703
950;10717
836;10719
1339;10736
1339;10886
1053;10737
1796;10741
2357;10745
4042;10750
4042;10876
958;10753
2644;10760
4278;10768
3876;10769
4211;10770
3346;10792
2177;10793
2177;10921
2051;10809
3665;10823
2981;10838
711;10855
711;10867
601;10869
3173;10896
3368;10922
989;10923
4429;10924
3899;10925
3466;10937
2593;10938
2593;11363
4390;10964
97;10992
151;11006
810;11019
810;11486
4040;11036
4340;11049
2043;11060
3386;11070
3798;11083
1529;11093
1625;11104
244;11121
3614;11127
687;11131
2826;11139
2020;11144
3408;11151
2201;11159
2638;11160
3211;11161
1159;11178
2591;11189
508;11193
703;11201
1201;11205
3658;11210
1452;11211
1895;11216
2256;11221
3875;11225
1652;11230
