from_id;to_id
836;515
836;506
836;719
836;32
836;204
515;122
515;1006
515;142
515;967
506;1099
506;1779
506;632
506;516
506;32
506;42
506;591
719;1325
204;10
122;1548
122;1680
1006;1639
1006;1758
910;754
910;1772
754;803
754;303
803;38
1772;410
303;713
1685;343
1685;1032
1685;1214
343;1760
343;562
1032;1007
1214;554
1760;195
562;1204
1432;79
1432;1548
1432;1080
79;86
79;1640
79;1294
1080;1208
86;859
86;94
1640;1045
1634;1092
1634;1180
1634;159
1634;123
1092;158
1092;1418
1092;1042
1092;179
1092;1674
1092;925
1180;1611
1180;1728
159;429
123;1050
158;1042
1418;1042
1418;1450
1418;1121
1418;948
179;1093
1674;306
925;1008
925;1600
1450;626
1450;249
1450;1593
1121;363
1121;977
948;313
948;1791
1295;201
1295;617
1295;1815
201;1750
201;1541
201;902
617;1345
1815;1163
1750;386
1750;68
1750;251
1750;51
1541;318
386;510
386;870
386;394
386;1552
386;72
386;1732
68;426
251;74
510;801
510;1254
510;688
510;1251
510;1056
870;1767
394;1781
1552;1781
1732;1479
801;1313
801;1797
1254;434
1254;165
688;291
1251;1205
1056;1205
626;185
626;1313
626;434
249;363
185;776
434;56
434;265
291;886
291;587
886;1300
886;1465
886;1336
587;776
1300;1424
1465;1369
1336;957
34;851
34;658
34;740
34;429
34;993
851;1611
851;673
658;1239
658;810
740;1133
740;1001
740;324
429;735
1611;1201
673;1123
1201;1
1239;1168
1239;1314
810;1208
810;640
1168;1208
1314;1133
1133;756
1001;1050
324;121
756;76
1728;1189
640;1269
1099;1673
1099;1510
1779;232
632;1736
516;138
42;5
42;1489
591;75
1673;1325
1510;232
1302;125
1302;1079
1302;77
1302;88
125;1299
125;369
125;1709
1079;199
77;1041
77;788
1299;46
1299;1705
1299;1451
369;1705
1709;869
136;1371
136;1628
136;1041
1371;199
1371;1583
1371;174
1628;873
1628;1430
1628;564
1628;449
1583;644
174;945
873;930
873;772
873;1618
873;1491
1430;930
564;1473
930;918
930;92
930;644
930;57
930;1400
772;1618
1618;918
1618;1805
1618;1756
1618;718
1491;19
1491;8
918;1563
92;1761
57;635
1400;346
1335;900
1335;989
1335;1286
900;989
900;988
989;1016
1286;1007
1286;975
1286;693
988;156
1016;895
1007;1311
1007;862
975;554
693;1084
1311;1150
1311;217
862;217
1150;1273
217;69
410;1723
410;1497
848;502
848;11
502;187
11;671
187;1675
671;178
178;1824
1824;37
37;1089
1089;287
287;254
254;729
729;1179
1179;1324
1179;1802
1324;619
1324;359
1802;815
1675;1023
1023;1657
1657;213
213;1521
1521;1576
1576;1508
1508;768
768;536
536;1272
1272;904
904;619
893;1224
893;694
893;1800
1224;262
1224;615
1224;52
1224;731
694;567
262;797
615;1130
615;774
52;333
513;1130
513;1569
1130;929
1130;482
1569;876
929;1333
482;679
876;797
774;1468
1333;1539
1333;663
1539;1638
1638;815
645;1258
1258;1562
1527;1120
1527;512
1527;14
1120;689
1120;137
512;1808
14;322
689;618
137;1744
137;1151
137;372
137;1427
137;785
385;684
385;43
684;1581
684;618
43;1666
1581;1666
1581;971
971;964
856;1093
856;222
1093;47
222;1754
222;1159
222;1240
47;1478
1754;373
373;275
275;926
275;1330
275;1677
275;763
926;734
734;67
67;1065
1065;1289
1289;253
1289;917
1289;549
253;1744
917;192
549;637
1744;59
1744;1461
1744;295
59;1710
59;1405
1461;561
295;437
295;590
1151;1523
785;982
46;310
1705;1543
1705;1359
1451;867
310;1193
1193;1719
1478;945
1478;869
1478;1474
788;1022
788;316
1805;753
718;716
1761;1255
1761;23
1255;277
1255;1188
1255;486
277;1389
486;325
1389;1012
1389;226
1012;753
753;979
1543;809
1543;430
1359;1429
1359;585
1680;746
1680;934
1639;1758
1639;1020
1758;1396
1020;530
708;732
708;859
732;1045
732;76
732;1785
1785;63
1031;1325
1031;809
1325;1238
1325;795
795;1332
795;408
795;348
430;1694
1736;138
1736;1365
1736;1559
1365;553
1365;1152
1365;468
1269;5
1489;1434
735;1707
1189;943
943;1123
1050;630
363;776
776;1361
56;1069
56;391
265;384
265;447
436;789
436;880
789;1053
789;762
880;1149
880;529
