id;cswidth;csheight
203;0.92;0.96
1356;1.32;1.54
302;1.7;3.15
140;0.59;1.48
1649;0.8;1.11
596;1.11;1.11
651;1.07;1.2
457;2.5;2.5
1384;3.4;3.4
441;5.41;6.06
1568;3.71;3.93
1679;4.68;5.43
490;5.51;3.31
939;2.81;1.03
1312;0.12;0.39
264;0.55;0.55
497;0.21;0.63
914;0.63;0.41
1112;0.21;0.65
1126;0.19;0.61
1556;1.1;1.1
1390;0.84;1.4
855;0.93;0.93
963;1.44;0.95
1566;1.01;1.57
1549;1.21;0.14
1789;2.09;1.37
1054;1.27;3.67
704;0.93;0.73
656;1.88;1.88
289;1.05;0.36
1274;0.53;1.87
676;0.17;1.2
124;0.17;1.07
1127;1.22;1.22
1822;1.68;1.44
1534;0.62;1.06
216;0.68;0.49
1328;1.34;1.14
1134;0.12;0.34
1480;0.29;0.8
1355;1.65;0.58
1413;0.99;0.88
1278;0.91;1.11
770;0.99;1.08
1686;0.55;0.27
390;2.12;1.04
1554;8.13;3.98
1049;2.49;4.87
1453;4.32;4.32
1492;3.6;3.6
1747;9.34;3.36
1819;2.78;3.82
995;7.21;5.8
837;3.64;3.64
952;1.35;2.38
113;1.79;1.79
1535;0.39;1.41
686;0.83;0.46
911;1.16;2.26
1087;2.48;1.99
220;1.17;1.54
1826;0.37;1.68
1538;0.62;0.62
897;0.69;0.69
1010;0.33;0.5
1040;1.01;0.95
941;0.54;0.84
504;0.69;0.69
496;1.03;1.03
317;0.92;0.92
1143;0.67;0.67
625;1.01;0.99
227;0.31;1.16
1433;0.5;0.5
717;1.9;3.29
1248;0.98;1.01
715;1.21;1.17
1654;0.16;1.36
1027;0.83;1.17
737;0.22;1.14
1373;0.71;0.71
690;1.01;0.96
959;1.38;1.13
45;0.32;0.09
1813;0.62;0.62
1572;0.44;0.44
235;1.59;1.79
1550;0.24;0.61
1725;0.79;0.45
792;0.58;0.58
154;1.08;2.37
1419;0.29;0.87
1578;0.6;1.11
1128;4.11;2.45
311;0.57;0.99
1460;0.85;1.14
271;0.33;1.11
687;0.88;0.88
448;0.65;0.66
1633;0.27;0.52
1455;0.87;0.87
1683;0.26;0.59
1776;0.3;0.72
1242;0.9;2.03
1557;0.27;0.32
231;0.7;0.7
1796;0.11;1.66
1431;1.33;3.13
711;0.94;0.94
641;0.97;0.97
143;1.23;0.99
108;1.56;0.9
1223;0.31;0.33
1078;2.86;4.27
703;1.69;1.69
1221;0.49;0.97
1668;0.46;0.94
936;0.76;2.39
1404;1.59;1.53
299;2.36;0.32
197;1.4;1.11
293;0.21;1.1
29;0.59;0.37
395;1.29;1.29
947;0.87;1.72
35;0.46;0.97
110;0.34;1.12
1585;0.5;1.69
1233;0.64;1.08
1385;2.22;3.02
896;1.83;1.05
1820;2.97;1.47
724;0.68;0.91
984;1.04;0.83
100;1.17;1.35
239;0.14;0.77
301;0.38;1.39
417;3.13;2.46
329;1.75;1.75
1704;3.03;2.67
365;1.51;1.21
680;1.23;1.53
1660;1.15;0.55
1522;2.38;1.06
238;2.65;3.31
54;1.56;1.56
