from_id;to_id
732;55
732;6427
732;4037
732;2148
55;1657
1657;5302
5302;4453
4453;826
826;5680
5680;1392
5680;6006
5680;1766
1392;2220
1392;6427
2220;1830
6006;6323
6323;5246
6323;4436
6323;3222
5246;1766
1766;3876
1766;2698
3876;5203
5203;510
3222;777
777;7219
7219;3700
3700;3015
3015;3511
3511;490
1126;7147
7147;6050
6050;5750
5750;1712
1712;7386
1712;4504
1712;1633
7386;3857
3857;4530
4530;4037
510;1346
1346;3479
3479;6345
6345;7202
7202;338
338;4750
4750;6377
6377;6917
4504;6269
6269;4400
4400;4384
4384;3850
3850;4533
4533;487
487;6390
6390;3980
3980;3968
3968;5535
3968;4715
5535;796
5535;6786
796;6792
6792;3630
3630;2148
6786;4260
6786;626
626;593
593;3992
3992;2413
2413;763
763;4929
1633;2732
490;6513
6513;2299
2299;3915
2299;5558
3915;4511
4511;5560
5560;3008
3008;5071
5071;4729
4729;714
714;832
2698;6060
6060;2381
2381;3729
3729;4968
4968;554
554;5109
5558;7344
7344;1773
1773;6348
6348;4703
4703;2660
2660;1096
1096;1701
1701;331
6074;4506
3635;5443
5443;7296
5443;4413
7296;6188
6188;507
507;1273
1273;4896
1273;1173
4896;101
101;118
118;1197
1197;5015
4413;6364
4413;5193
4413;5021
6364;4514
5193;1599
1599;3444
1599;277
277;87
87;1559
1559;1033
1033;1151
1151;3235
5021;3208
3208;6607
6607;4410
1173;4919
4919;6197
6197;7031
7031;3618
3745;1139
1139;3868
3868;390
390;3897
3897;750
3897;7046
7046;3600
3814;2269
3814;2689
2004;4608
4708;2716
4708;1698
4708;3922
2716;3487
3487;3573
3573;6099
6099;2111
2111;3219
5483;4855
7066;6012
6012;1380
6012;522
1380;6645
522;1123
1123;5315
4608;6950
6950;2990
2990;1041
1041;1698
3922;3317
3317;3319
3319;3297
3297;2173
2173;5609
2173;59
5066;2816
5066;1854
5066;5281
2816;6093
6093;3332
3332;645
645;3677
59;229
229;3371
3371;3439
3371;6011
3439;5281
3439;3668
5281;5360
5281;5069
5281;6556
5360;1430
1430;768
768;5368
5368;2113
2113;6533
6533;2686
3668;5429
6011;4176
6011;6036
1854;7028
7028;785
5069;884
884;114
114;6564
6564;785
6564;6877
785;4398
4398;4169
4398;2925
4169;5914
5914;7233
7233;1560
1560;2993
2993;6978
6978;3390
6978;7097
3390;1813
1813;675
675;5287
5287;7106
2925;1653
6877;3786
3786;5909
5909;6556
7097;2985
2985;5802
5802;3481
5802;5948
3481;6361
6361;3974
5948;1289
1289;3504
3504;3268
2269;1964
2269;544
544;2877
2877;6530
6530;3891
3891;3492
3492;1959
1959;7112
7112;351
351;2188
2188;1265
1265;1233
1233;182
182;4081
182;786
786;4329
4329;6919
6919;2182
2182;734
734;2399
2399;223
223;2657
2657;1034
1034;1445
1034;4132
1445;1707
1707;799
799;6375
6375;4363
4363;1477
1477;7010
1477;3944
1477;2368
3944;4770
4770;3138
3138;3950
3950;4503
4132;828
828;540
540;2165
2368;1567
1567;1512
1512;3274
1512;3229
3274;5036
5036;4438
4438;1790
1790;5195
5195;4098
4098;4500
4098;226
4500;2491
4500;6252
2491;7291
7291;2913
2913;135
226;2422
6252;1680
1680;3224
3224;5763
3224;2633
2633;3112
3112;5585
5585;3229
1522;3069
1522;1756
3069;4796
1756;3975
3975;5373
5373;4005
4005;1362
1362;959
1362;6133
959;2070
2070;197
2070;4889
197;3078
197;6238
4889;3477
4889;4903
6133;5788
3078;7131
7131;7190
6238;3683
6238;2073
3683;2651
2073;5272
2651;6723
2651;1864
2651;6010
6723;5951
6723;6191
5951;721
721;3875
6191;6943
6943;2452
1864;6960
1864;2582
1864;2866
2582;615
2582;1983
615;1490
2866;4365
6010;7080
6010;650
7080;5105
650;1815
1815;6985
2260;6875
6875;3322
3322;1452
3322;3817
3817;7189
7189;5174
7189;566
566;123
566;6034
123;4805
4805;6883
6034;3926
3926;3724
3724;3525
3724;6982
6982;5164
5164;6386
6386;5594
5594;4033
4033;1399
4033;2418
1399;5291
5291;3434
3434;3447
2418;7256
7256;501
501;4823
4823;6066
2007;7130
2007;748
7130;790
790;888
790;1259
888;2659
1259;4455
748;5031
748;1179
5031;2158
2158;4849
4849;936
4849;525
525;5430
525;2424
1179;2275
2275;6765
2275;2393
6765;5382
5382;1591
1591;4362
1591;5430
4362;2577
2577;6452
6452;6987
6987;1496
1496;5583
1496;1492
1492;2358
2358;7366
5430;323
323;557
2424;4459
4459;4306
2393;2465
4359;5588
5588;5828
5828;4285
3829;1896
1896;7299
1896;2030
7299;6284
6284;4781
6284;37
37;22
22;6308
22;4418
22;280
2030;3530
3530;2709
2709;6336
6336;4063
4063;5893
5893;6540
6540;3923
3923;1147
1147;6709
6709;837
6709;3596
837;2907
837;3596
3596;6198
6198;6955
6955;6029
6955;1181
1181;545
2669;7103
3013;2075
2075;5254
3503;5470
3503;482
3503;6570
5470;4702
4702;6119
6119;6436
6119;1456
6436;3014
1456;6727
6727;109
6727;1838
1838;5499
5499;6439
5499;4771
4771;6209
6209;5497
5497;4281
5497;4292
4292;5048
5048;1331
1331;304
3014;6079
3014;85
6079;1860
1729;2020
2020;6041
6041;3723
3723;5306
5306;4501
4501;6327
4501;1535
4501;7140
6327;1693
1693;4312
7140;293
293;112
112;1849
1849;2136
2136;564
2136;6337
6337;5722
5722;2671
5722;6904
5722;4759
2671;6826
6826;2375
6904;4656
4656;1710
4759;4231
4231;4843
4843;5526
5526;1874
1874;5248
5248;5379
5248;6401
6401;5964
6401;5882
5964;4502
5964;3767
4502;2790
2790;6901
2790;872
872;2708
2708;3386
3386;1229
3386;7092
1229;204
7092;4074
4074;1814
1814;7271
1814;316
316;5216
5216;7184
5216;742
742;4974
4974;4946
4974;52
4946;6555
6555;5693
5693;7196
7196;3986
3986;3823
3986;482
3823;2733
2733;1553
1553;7001
7001;7168
7001;1029
7168;1944
1944;1739
1739;4853
4853;2048
2048;2583
2583;1725
