id;cswidth;csheight
3745;1.46;1.1
1139;0.5;0.6
3897;0.45;0.45
7046;0.22;1.54
3556;3.68;3.68
3814;2.35;2.35
2228;5.0;0.44
5420;4.57;3.45
335;2.67;2.67
5881;2.27;1.43
5043;3.41;5.3
2568;0.87;2.35
6418;1.05;2.71
4708;3.54;3.54
2716;1.39;1.39
3219;0.0;1.0
5483;2.86;1.09
6012;1.02;1.02
1380;1.38;0.64
1123;0.36;0.29
3922;1.05;3.35
2173;1.48;1.48
2691;2.07;3.63
5066;1.42;1.42
645;0.91;5.99
3677;1.06;4.07
229;0.48;2.13
3371;2.54;2.54
5281;1.99;1.99
768;0.4;0.69
2686;0.84;4.52
6011;1.42;1.42
4495;0.55;0.75
1223;0.41;0.96
5514;0.59;0.79
5069;0.74;1.61
884;0.37;0.57
6564;0.68;0.68
785;1.27;1.27
4398;0.94;0.94
1560;0.71;0.29
2993;2.29;5.52
6978;1.82;1.82
3390;1.67;2.67
5287;0.52;0.28
2925;0.75;2.23
6877;0.88;1.01
3786;1.14;2.42
5802;0.52;0.52
3481;0.42;0.44
6361;0.43;0.75
3504;0.26;0.99
2269;3.47;3.47
6530;1.28;1.46
3492;0.93;1.28
182;0.55;0.55
786;0.81;0.39
6919;0.88;0.3
2399;0.52;2.14
223;0.9;1.71
1034;0.82;0.82
1477;0.77;0.77
4770;1.1;1.31
3138;0.52;0.58
4503;3.59;1.86
2165;0.6;0.51
1512;0.95;0.95
3274;1.65;0.34
4098;0.54;0.54
4500;0.96;0.96
7291;1.1;1.24
2422;1.0;1.11
6252;1.04;0.61
3224;0.35;0.35
2633;0.84;0.53
3112;0.9;0.14
5585;1.01;0.97
3229;0.94;0.59
1522;1.32;1.32
3975;1.18;0.48
1362;0.99;0.99
959;1.25;0.72
2070;1.75;1.75
197;0.94;0.94
2174;1.79;1.79
2183;1.91;1.91
3546;1.96;0.82
5891;0.51;0.51
267;0.5;0.75
6843;0.4;0.08
3078;3.52;2.03
6238;0.8;0.8
2073;0.03;0.09
2651;1.27;1.27
6723;1.44;1.44
6943;1.75;2.35
1864;0.77;0.77
6960;2.65;1.41
2582;1.23;1.23
615;1.48;1.01
1490;0.52;0.38
6010;1.43;1.43
7080;2.36;2.4
650;1.22;1.22
1815;1.56;1.56
3322;0.59;0.59
3817;1.77;0.61
7189;0.67;0.67
566;0.54;0.54
6883;0.91;0.76
6034;0.07;0.62
3926;1.74;0.31
3724;0.53;0.53
6982;0.16;0.36
5164;0.25;0.26
6386;0.11;0.46
5594;4.57;0.58
4033;0.55;0.55
1399;1.88;0.52
5291;0.16;0.4
3434;0.27;0.27
2418;0.1;0.73
7256;0.33;1.75
4823;0.51;0.61
5588;5.31;2.59
