id;x;y;z
732;56107.51;51818.93;231.59
55;56110.13;51820.63;229.68
1657;56109.91;51824.48;228.33
5302;56112.78;51825.94;226.29
4453;56113.7;51829.66;225.74
826;56108.31;51833.28;225.84
5680;56103.69;51836.15;222.65
1392;56104.96;51830.09;227.3
2220;56103.17;51820.36;232.56
1830;56103.35;51817.57;234.31
6427;56105.77;51821.94;230.92
6006;56107.46;51835.97;223.86
6323;56108.19;51834.51;223.89
5246;56106.91;51837.17;220.76
1766;56106.08;51838.94;220.34
3876;56108.71;51838.78;219.11
5203;56112.2;51839.57;217.7
4436;56111.8;51839.41;222.26
3222;56108.43;51838.66;221.49
777;56110.89;51840.77;220.89
7219;56110.63;51841.08;220.89
3700;56113.17;51842.19;220.5
3015;56114.22;51844.21;220.18
3511;56117.5;51843.84;220.12
1126;56100.0;51810.0;249.13
7147;56100.0;51810.0;244.73
6050;56102.68;51810.26;243.75
5750;56103.85;51809.08;244.04
1712;56103.85;51809.08;240.74
7386;56104.1;51809.01;240.75
3857;56105.57;51812.06;235.9
4530;56105.64;51810.73;235.47
4037;56107.36;51813.4;233.64
510;56114.71;51839.64;216.25
1346;56116.62;51840.55;215.13
3479;56118.66;51841.2;214.61
6345;56120.46;51839.3;213.61
7202;56121.76;51838.55;213.61
338;56121.76;51838.55;210.91
4750;56123.64;51837.31;209.61
6377;56123.64;51837.31;208.01
6917;56125.54;51836.19;208.01
4504;56104.59;51807.9;243.36
6269;56105.83;51806.33;244.87
4400;56106.68;51806.72;245.86
4384;56107.01;51804.99;246.56
3850;56105.69;51804.4;248.48
4533;56105.69;51804.4;246.24
487;56105.92;51802.57;245.98
6390;56107.24;51800.94;245.01
3980;56107.81;51800.15;244.86
3968;56107.81;51800.15;242.59
5535;56108.51;51800.49;242.36
796;56108.51;51800.49;236.84
6792;56110.06;51803.99;235.8
3630;56108.87;51810.11;234.88
2148;56107.32;51814.09;233.18
4715;56111.04;51801.91;241.61
6786;56108.51;51800.49;239.86
4260;56106.71;51797.96;239.86
626;56107.35;51798.86;239.86
593;56107.35;51798.86;238.56
3992;56108.18;51797.04;238.56
2413;56108.18;51797.04;237.06
763;56107.27;51796.63;237.06
4929;56107.9;51795.26;237.06
1633;56104.17;51808.69;240.74
2732;56107.38;51803.04;240.74
490;56118.3;51844.74;220.03
6513;56119.98;51847.29;218.54
2299;56121.48;51848.56;218.2
3915;56122.4;51845.63;218.63
4511;56119.66;51844.09;219.18
5560;56118.95;51842.68;218.55
3008;56117.6;51840.63;220.27
5071;56115.19;51839.21;222.69
4729;56115.73;51832.29;224.95
714;56118.43;51831.39;225.1
832;56118.79;51835.92;222.68
2698;56106.08;51838.94;221.64
6060;56106.65;51840.86;220.91
2381;56107.73;51841.81;220.5
3729;56106.81;51844.05;220.07
4968;56107.79;51845.28;219.59
554;56110.02;51847.89;217.92
5109;56108.82;51848.95;217.92
5558;56123.79;51849.92;218.2
7344;56125.45;51851.49;217.67
1773;56128.59;51854.07;216.73
6348;56128.79;51854.68;218.11
4703;56128.61;51856.33;216.38
2660;56123.66;51856.64;215.69
1096;56123.62;51855.94;215.69
1701;56123.62;51855.94;213.29
331;56123.3;51858.83;212.88
6074;46620.0;54200.0;111.0
4506;46614.9;54200.16;112.19
3635;50540.0;55510.0;236.0
5443;50540.0;55510.0;227.64
7296;50538.86;55507.0;226.47
6188;50538.58;55504.97;224.11
507;50539.4;55504.31;223.85
1273;50539.4;55504.31;218.12
4896;50539.73;55503.68;213.02
101;50538.65;55503.5;210.01
118;50535.54;55508.43;207.04
1197;50535.55;55509.18;206.88
5015;50533.96;55508.86;204.18
4413;50539.13;55512.99;229.51
6364;50538.47;55517.06;230.31
4514;50535.11;55520.28;230.31
5193;50536.04;55514.98;224.96
1599;50535.45;55516.89;224.11
3444;50533.76;55519.03;224.64
277;50534.16;55517.69;221.0
87;50532.72;55516.98;220.52
1559;50532.55;55516.66;219.32
1033;50534.02;55514.43;218.29
1151;50534.02;55514.43;214.91
3235;50533.47;55515.44;213.77
5021;50536.67;55513.37;226.43
3208;50537.41;55511.98;224.1
6607;50535.74;55509.82;219.89
4410;50537.6;55507.69;219.89
1173;50539.95;55503.48;218.12
4919;50542.14;55500.13;219.12
6197;50541.74;55499.6;217.4
7031;50541.84;55498.28;215.36
3618;50544.46;55496.96;213.99
3745;48180.0;54630.0;158.0
1139;48180.54;54629.26;156.86
3868;48181.01;54627.17;155.23
390;48181.11;54625.37;153.34
3897;48181.47;54624.27;152.47
750;48181.63;54623.04;150.75
7046;48179.39;54624.04;153.06
3600;48178.43;54623.78;153.23
3814;48054.09;54730.83;180.92
2004;48053.3;54730.08;179.83
4708;48051.08;54719.6;169.84
2716;48052.26;54717.92;171.21
3487;48051.99;54716.45;172.13
3573;48052.87;54715.67;172.42
6099;48051.93;54714.83;172.87
2111;48052.57;54713.99;172.81
3219;48051.83;54710.62;173.01
5483;48050.14;54718.1;172.14
4855;48047.7;54719.66;172.7
7066;48048.91;54721.47;168.87
6012;48049.68;54722.4;165.99
1380;48050.53;54723.37;165.48
6645;48051.69;54724.11;163.9
522;48047.76;54722.92;166.59
1123;48047.76;54723.02;165.3
5315;48047.83;54724.03;163.84
4608;48053.31;54730.08;179.83
6950;48053.55;54728.9;175.92
2990;48052.56;54728.37;175.62
1041;48053.41;54727.33;173.7
1698;48053.11;54724.29;171.33
3922;48048.52;54721.26;169.21
3317;48047.22;54720.54;168.92
3319;48047.49;54718.93;169.52
