id;x;y;z
6074;46620.3;54201.55;109.63
6074;46620.23;54201.44;110.43
6074;46620.34;54199.37;111.58
6074;46620.92;54196.13;108.51
6074;46620.85;54196.93;110.56
4506;46615.1;54200.23;111.44
4506;46616.14;54197.44;111.23
4506;46616.01;54197.92;113.4
4506;46615.85;54198.81;113.83
4506;46615.23;54200.02;112.92
4506;46615.09;54200.73;112.72
4506;46615.03;54200.67;111.53
4506;46618.79;54202.39;111.94
4506;46616.89;54199.24;109.72
4506;46618.34;54197.93;113.34
4506;46619.18;54195.24;109.37
3745;48180.78;54630.18;157.79
3745;48179.49;54631.09;157.99
3745;48180.31;54630.55;157.05
3745;48180.14;54630.27;158.45
3745;48179.42;54629.57;157.39
1139;48180.37;54629.04;157.01
1139;48180.48;54629.21;156.33
1139;48180.83;54629.22;156.9
1139;48181.13;54629.25;156.68
1139;48181.04;54629.26;156.22
3868;48180.75;54627.12;154.39
3868;48181.38;54627.25;154.6
3868;48181.54;54627.28;155.21
390;48181.06;54625.25;153.72
390;48180.95;54625.32;152.58
390;48181.09;54625.39;152.56
390;48181.46;54625.56;153.17
390;48181.96;54625.6;153.4
3897;48181.11;54624.66;152.54
3897;48181.29;54624.59;151.98
3897;48181.21;54624.57;153.07
3897;48181.79;54624.28;152.54
3897;48181.24;54623.82;152.45
3897;48181.47;54624.27;152.47
7046;48179.32;54624.33;151.98
7046;48179.31;54624.17;152.0
7046;48179.38;54623.84;153.08
7046;48179.46;54623.76;153.45
7046;48179.53;54624.08;153.66
3814;48053.89;54730.85;179.61
3814;48052.4;54730.62;180.71
3814;48051.76;54731.49;181.14
3814;48051.45;54732.07;181.14
3814;48054.05;54730.79;179.66
3814;48052.42;54730.75;180.02
3814;48054.3;54731.01;179.81
3814;48051.58;54730.34;185.87
3814;48053.24;54729.9;186.0
3814;48054.09;54730.83;180.92
2004;48053.38;54729.87;179.1
2004;48053.68;54730.21;179.11
4708;48052.96;54719.41;169.71
4708;48052.65;54721.16;169.97
4708;48052.83;54722.94;170.58
4708;48051.18;54722.54;170.3
4708;48050.66;54721.52;168.53
4708;48051.86;54720.87;168.65
4708;48051.53;54720.95;168.67
4708;48052.2;54722.1;169.32
4708;48051.89;54722.2;169.33
4708;48052.83;54724.38;170.85
4708;48052.53;54724.55;170.88
4708;48053.19;54725.89;172.08
4708;48052.9;54725.98;172.1
4708;48051.03;54719.66;171.5
4708;48051.52;54720.42;171.48
4708;48052.32;54722.81;174.87
2716;48052.84;54718.02;171.22
2716;48052.16;54719.43;170.69
2716;48052.37;54717.32;171.36
2716;48050.13;54718.05;171.48
2716;48050.71;54719.57;170.62
2716;48049.95;54717.06;172.24
2716;48051.1;54716.51;172.37
2716;48050.34;54716.84;172.31
2716;48052.03;54717.87;171.69
2716;48052.29;54717.87;170.63
2716;48051.54;54718.48;170.9
2716;48052.26;54717.92;171.21
3487;48052.33;54717.33;171.71
3487;48052.64;54716.81;172.2
3487;48051.99;54716.4;172.67
3487;48052.53;54716.63;172.89
3487;48051.98;54716.47;171.83
3487;48052.7;54717.07;171.57
3573;48052.93;54715.96;172.33
3573;48052.97;54715.65;172.0
3573;48052.46;54715.7;172.0
3573;48052.32;54715.65;172.56
3573;48052.53;54715.81;173.04
6099;48051.58;54714.84;173.37
6099;48051.67;54714.4;174.52
6099;48052.16;54714.48;174.49
6099;48052.37;54715.36;172.85
6099;48052.73;54715.17;172.52
6099;48052.75;54714.48;172.74
2111;48052.39;54714.07;174.31
2111;48052.65;54714.01;172.47
2111;48051.96;54713.88;172.85
2111;48051.49;54714.5;173.55
2111;48052.23;54713.38;172.81
2111;48052.15;54713.09;172.46
2111;48052.49;54713.26;172.59
2111;48052.26;54711.87;172.6
2111;48051.93;54711.45;172.44
3219;48051.83;54710.62;173.51
3219;48051.83;54710.62;172.51
5483;48047.39;54718.97;172.46
5483;48047.93;54719.75;172.74
5483;48050.18;54718.51;172.25
5483;48050.14;54718.1;172.29
5483;48050.14;54718.1;172.09
4855;48047.7;54719.66;172.85
4855;48047.7;54719.66;172.65
6012;48049.78;54721.88;167.82
6012;48049.17;54722.15;167.04
6012;48049.54;54721.74;167.57
6012;48048.78;54721.68;167.46
6012;48050.18;54722.57;166.03
6012;48049.71;54722.71;166.09
6012;48049.21;54722.78;166.13
6012;48049.68;54722.4;165.99
1380;48050.71;54722.69;165.63
1380;48049.41;54723.29;165.55
1380;48050.18;54722.62;165.55
1380;48050.57;54723.09;165.39
522;48048.61;54722.25;166.76
522;48047.71;54722.59;166.59
1123;48047.45;54722.99;165.21
1123;48047.75;54722.74;165.36
1123;48047.81;54723.38;165.28
1123;48047.92;54724.39;165.73
6950;48053.68;54729.35;175.98
6950;48053.7;54729.18;174.94
6950;48053.29;54729.23;174.94
6950;48053.54;54728.98;177.23
6950;48052.12;54729.65;177.52
6950;48053.66;54729.67;175.89
6950;48051.74;54729.76;176.06
6950;48052.26;54728.66;175.98
6950;48052.8;54727.8;175.75
2990;48052.56;54728.37;175.62
2990;48053.05;54729.16;174.69
2990;48052.93;54728.5;174.46
2990;48052.89;54727.98;173.98
2990;48052.92;54728.08;176.09
