id;cswidth;csheight
4100;4.28;3.22
4101;0.09;0.66
4;2.43;2.76
6151;1.05;1.84
6159;6.77;3.52
2065;0.03;0.66
23;1.33;1.33
6172;6.83;4.98
2079;1.0;0.96
2090;1.72;8.65
4141;1.17;1.17
2098;0.28;0.7
6205;2.4;3.97
2120;0.56;1.63
74;0.38;2.42
6222;0.35;0.72
4177;0.49;1.55
6234;0.72;0.72
93;0.1;0.51
2142;8.42;1.34
4190;0.88;0.3
2143;1.63;1.63
98;0.32;2.0
101;2.23;5.47
2152;0.4;0.87
105;1.07;0.89
108;1.36;1.21
113;1.8;0.36
6260;3.26;0.52
6268;3.59;2.84
6269;0.33;3.09
6272;2.23;2.64
2180;1.93;1.93
128;4.29;2.78
2190;2.95;2.95
148;1.79;1.79
2197;3.0;0.08
4256;1.79;1.04
6304;2.39;0.98
6314;0.62;0.83
4268;2.43;2.43
2223;0.06;0.72
4269;0.31;1.14
184;1.23;3.83
4282;0.6;1.15
4293;0.57;2.02
6349;3.83;3.83
4307;1.45;2.81
4309;0.23;1.62
4312;2.4;0.44
2269;2.65;3.9
2275;1.37;0.36
235;3.56;3.56
251;6.76;2.19
256;0.11;1.13
2306;0.02;1.13
6402;3.99;0.73
258;0.28;1.67
4356;0.94;0.94
264;7.77;1.24
2322;1.41;3.31
6429;1.33;0.85
4384;0.26;0.66
4390;2.84;0.82
295;2.13;1.66
309;8.64;2.04
4403;0.09;1.14
6458;0.77;4.82
4414;0.6;0.68
6464;2.13;2.13
2384;0.32;2.05
345;0.55;0.13
2393;0.36;2.57
2404;2.97;2.95
358;0.73;0.62
359;3.63;1.97
2414;1.31;0.76
6524;0.66;2.52
384;0.08;0.71
391;0.51;2.77
4488;1.33;0.98
6536;0.12;1.35
6541;0.09;1.32
4497;2.23;0.77
2455;1.89;1.89
408;2.5;2.5
409;2.58;2.58
410;0.56;4.63
4510;0.5;2.77
414;1.84;2.18
2465;0.73;0.62
6566;1.2;2.77
425;0.23;3.82
2478;1.89;2.96
6587;3.59;2.12
454;0.35;3.15
6603;0.59;0.51
2510;2.18;1.65
2515;1.96;1.96
472;7.17;2.5
