from_id;to_id;flag
8986;10695;srf
2098;12762;srf
12762;11685;srf
11685;1127;srf
1127;2410;srf
2410;7121;srf
7731;4234;srf
6649;3579;srf
5604;8823;srf
5604;1099;srf
11218;2268;srf
11218;7974;srf
2268;2329;srf
4957;8919;srf
4957;7464;srf
4957;8020;srf
8919;11297;srf
11297;4969;srf
4969;5894;srf
5894;1674;srf
1674;8217;srf
8217;12280;srf
12280;2113;srf
2113;8282;srf
8282;10275;srf
10275;7464;srf
3178;8020;srf
3178;1068;srf
7992;11753;srf
11753;6944;srf
6944;12334;srf
12334;10891;srf
10891;1068;srf
2040;7273;dpl
11541;7851;dpl
11541;7851;srf
11429;4048;dpl
11429;4048;srf
8381;12005;dpl
12005;7967;dpl
7967;7273;dpl
2688;9621;dpl
2688;9621;srf
2688;10793;dpl
2688;10793;srf
1066;12308;dpl
1066;12308;srf
9621;11614;dpl
9621;11614;srf
11614;3370;dpl
11614;3370;srf
3370;2800;dpl
3370;2800;srf
2800;5946;dpl
2800;5946;srf
5946;10672;dpl
5946;10672;srf
10672;1592;dpl
10672;1592;srf
1592;6510;dpl
1592;6510;srf
6510;4269;dpl
6510;4269;srf
4269;6159;dpl
4269;6159;srf
6159;4143;dpl
6159;4143;srf
4143;3223;dpl
4143;3223;srf
3223;11010;dpl
3223;11010;srf
11010;7702;dpl
11010;7702;srf
7702;12570;dpl
7702;12570;srf
12570;1799;dpl
12570;1799;srf
1799;9649;dpl
1799;9649;srf
9649;5895;dpl
9649;5895;srf
5895;7490;dpl
5895;7490;srf
7490;3356;dpl
7490;3356;srf
3356;12367;dpl
3356;12367;srf
12367;9217;dpl
12367;9217;srf
9217;8847;dpl
9217;8847;srf
8847;8940;dpl
8847;8940;srf
8940;5238;dpl
8940;5238;srf
5238;3068;dpl
5238;3068;srf
3068;3638;dpl
3068;3638;srf
3638;5823;dpl
3638;5823;srf
5823;11976;dpl
5823;11976;srf
11976;2955;dpl
11976;2955;srf
2955;9242;dpl
2955;9242;srf
9242;3550;dpl
9242;3550;srf
3550;11999;dpl
3550;11999;srf
11999;2801;dpl
11999;2801;srf
2801;1219;dpl
2801;1219;srf
1219;7336;dpl
1219;7336;srf
7336;3488;dpl
7336;3488;srf
3488;4421;dpl
3488;4421;srf
4421;11993;dpl
4421;11993;srf
11993;3797;dpl
11993;3797;srf
3797;6391;dpl
3797;6391;srf
6391;6573;dpl
6391;6573;srf
6573;9235;dpl
6573;9235;srf
9235;1248;dpl
9235;1248;srf
1248;4756;dpl
1248;4756;srf
4756;6583;dpl
4756;6583;srf
6583;1776;dpl
6583;1776;srf
1776;4382;dpl
1776;4382;srf
4382;9244;dpl
4382;9244;srf
9244;963;dpl
9244;963;srf
963;5603;dpl
963;5603;srf
5603;2992;dpl
5603;2992;srf
2992;10132;dpl
2992;10132;srf
10132;6241;dpl
10132;6241;srf
6241;12308;dpl
6241;12308;srf
10793;1576;dpl
10793;1576;srf
1576;1391;dpl
1576;1391;srf
1391;3111;dpl
1391;3111;srf
3111;1253;dpl
3111;1253;srf
1253;12316;dpl
1253;12316;srf
12316;1554;dpl
12316;1554;srf
1554;9628;dpl
1554;9628;srf
9628;3274;dpl
9628;3274;srf
3274;2126;dpl
3274;2126;srf
2126;10955;dpl
2126;10955;srf
10955;1398;dpl
10955;1398;srf
1398;11298;dpl
1398;11298;srf
11298;681;dpl
11298;681;srf
681;3898;dpl
681;3898;srf
3898;338;dpl
3898;338;srf
338;3416;dpl
338;3416;srf
3416;6773;dpl
3416;6773;srf
6773;10550;dpl
6773;10550;srf
10550;9986;dpl
10550;9986;srf
9986;11187;dpl
9986;11187;srf
11187;1779;dpl
11187;1779;srf
1779;5278;dpl
1779;5278;srf
5278;12046;dpl
5278;12046;srf
12046;6058;dpl
12046;6058;srf
6058;8105;dpl
6058;8105;srf
8105;5719;dpl
8105;5719;srf
5719;3447;dpl
5719;3447;srf
3447;5595;dpl
