id;cswidth;csheight
1766;1.59;1.87
8425;2.42;2.42
6675;0.76;1.71
5887;3.52;1.5
4732;3.15;1.38
6688;0.4;1.49
2772;0.2;0.21
428;0.85;0.57
3201;1.85;1.85
8570;0.08;1.37
10462;2.03;0.99
9802;2.26;2.26
9777;2.31;2.31
3353;1.57;1.57
487;3.35;3.06
3748;7.86;1.38
12538;2.69;2.79
5707;2.13;0.09
3876;4.91;0.38
415;8.13;0.21
9631;11.55;0.78
2236;3.3;0.32
6271;2.37;1.11
12283;2.83;0.2
3045;4.63;0.41
8701;8.24;0.7
445;7.16;3.37
11631;5.93;0.82
6885;1.86;1.86
6532;8.1;3.72
6054;2.45;2.45
11018;4.36;0.79
369;4.98;0.21
4009;1.39;0.18
10088;3.53;0.08
12397;4.42;2.03
5048;4.19;1.86
8968;4.01;1.0
8213;4.15;3.3
1603;1.96;1.17
1240;4.82;0.55
5564;8.46;1.66
2702;6.02;0.73
1511;11.25;1.51
8422;5.32;0.9
10498;5.44;0.98
2934;4.91;0.21
6163;5.9;4.01
4849;4.24;3.11
1968;3.96;3.58
1950;4.91;3.24
1971;4.57;3.58
1318;0.4;2.13
11204;3.98;3.18
12521;1.89;3.13
630;3.87;1.25
12600;2.62;2.81
12574;2.46;2.55
7824;3.28;2.82
8709;3.38;3.08
1044;8.34;2.89
7517;1.32;2.18
3259;1.93;0.17
977;1.1;2.85
10587;2.13;2.11
2163;1.15;2.67
9821;1.45;1.45
8595;9.16;0.64
11832;0.54;0.33
5940;1.32;1.32
9187;1.82;1.94
6467;3.16;1.96
652;2.58;1.63
9385;4.76;1.92
10139;1.32;2.11
11438;2.56;2.22
2502;1.57;0.1
12710;3.13;2.06
3362;0.62;0.05
10128;3.17;1.88
7794;1.32;2.16
311;3.03;3.03
805;8.07;1.13
5995;6.24;1.24
1612;5.92;1.18
4559;5.65;1.22
9163;2.08;1.24
5101;2.62;1.17
12244;2.68;2.68
7730;9.47;1.14
427;5.13;1.72
8202;12.77;1.19
2515;8.41;1.34
6697;1.99;1.99
9967;6.59;0.6
10458;6.03;2.51
3257;6.9;5.38
8559;2.91;1.73
6098;1.17;1.17
3415;3.82;1.73
5154;7.52;1.8
897;1.79;1.76
1191;4.15;1.96
847;6.19;2.37
7688;3.97;1.27
3279;8.23;0.77
624;8.46;1.76
8777;5.54;1.25
270;8.88;1.48
2171;9.23;1.66
2984;5.04;3.41
2786;2.91;1.98
10379;1.4;1.4
11054;6.41;1.11
11139;3.2;3.2
4602;1.63;3.37
8351;9.23;2.94
10297;7.68;1.94
10951;1.45;1.73
157;6.47;4.18
12738;3.75;3.93
9756;4.15;3.55
6244;2.74;1.48
1877;6.17;1.32
9757;4.83;4.07
11006;5.31;1.44
3872;5.77;2.9
4549;5.33;4.01
7331;4.54;0.69
3388;4.23;4.45
1839;7.57;4.34
1832;3.55;0.96
2752;11.83;4.32
7559;2.81;2.81
6692;0.3;0.3
12019;4.33;1.77
10619;4.76;0.37
9370;2.29;2.29
9774;3.07;0.55
9855;2.32;1.02
10741;3.97;3.97
8957;9.46;0.93
9687;1.01;1.01
7344;2.07;0.82
11530;1.17;1.17
5332;0.82;0.15
36;3.91;5.18
1746;6.85;4.29
11265;1.87;1.2
5496;4.02;0.46
8515;2.96;0.46
8140;3.24;0.72
10535;2.27;0.58
10901;2.28;0.42
216;3.23;0.79
1770;3.84;0.56
5712;2.46;0.61
6442;4.83;0.67
12571;1.86;0.58
2549;2.27;0.49
12690;1.66;0.64
6804;1.41;0.55
1577;2.41;2.41
383;0.39;0.59
10029;5.68;0.97
5212;5.87;0.83
7944;3.72;1.65
2075;7.37;0.3
5840;4.19;0.14
9224;5.44;0.47
3418;0.81;0.81
3209;4.29;0.68
1977;3.34;0.89
1948;6.29;1.95
6493;7.0;0.88
10318;2.35;1.42
1888;7.72;1.85
3026;4.13;1.95
9018;3.79;0.27
1952;3.2;1.12
10470;2.78;2.54
4951;8.37;1.93
215;3.41;2.75
7548;2.93;1.53
6868;3.16;3.28
133;1.75;1.75
8611;0.89;0.89
5679;5.95;5.17
10469;1.87;1.19
10574;0.51;1.14
9592;1.73;1.12
10428;2.34;0.9
6325;3.05;0.52
7525;1.69;1.69
8178;3.4;0.56
134;1.68;0.7
3678;4.1;0.26
5551;2.01;0.76
2252;6.45;0.59
374;2.63;0.56
11780;3.21;0.54
8128;2.41;0.54
11935;1.25;0.32
2914;2.26;0.52
2247;1.62;0.17
10644;1.29;0.36
17;1.55;0.12
8961;1.94;0.15
2298;1.92;0.15
2393;0.71;0.05
1480;0.54;0.14
10674;1.09;0.12
622;0.89;0.27
173;2.32;0.46
1573;6.08;2.15
12020;7.6;1.84
9664;8.39;1.59
6202;13.7;1.93
6200;8.1;1.61
11134;8.82;1.73
10510;11.14;1.65
7514;13.61;1.52
11684;8.25;1.61
7864;3.05;3.05
1657;4.44;1.66
486;3.45;2.07
6236;2.03;2.03
8033;0.09;1.14
6449;7.18;2.19
4917;2.5;2.5
11727;1.48;1.83
6754;1.35;1.35
10675;2.12;0.47
3152;3.98;1.05
11517;9.19;5.2
5542;2.23;2.23
1303;2.45;2.09
400;8.29;1.83
3402;9.78;2.11
4857;9.54;2.05
2242;3.2;3.2
6924;8.02;0.42
10725;10.29;7.08
4719;6.5;7.22
7395;5.02;7.09
10374;16.95;7.63
540;16.16;7.58
3719;7.94;7.47
1478;10.71;7.5
11480;4.64;1.03
5605;4.49;0.91
5740;1.88;1.88
2537;4.27;1.45
5858;6.57;0.6
2248;4.25;0.63
3849;2.4;0.58
10877;1.64;1.64
10019;6.24;0.59
7520;5.21;0.56
12118;0.12;0.44
9783;0.08;0.58
10103;1.25;0.64
5549;1.5;0.63
12649;1.07;0.55
55;1.68;0.67
10968;2.06;0.62
7718;2.67;0.59
950;0.95;0.53
3430;1.39;5.22
4129;2.13;0.92
2376;1.74;0.82
7287;2.65;0.52
726;1.73;0.81
3232;2.17;0.6
3511;4.76;0.66
3667;1.93;0.66
6635;1.95;0.63
11266;2.87;0.63
2373;2.52;0.6
2894;2.75;0.63
12369;0.14;0.57
233;1.12;0.7
10480;1.97;0.62
11947;1.44;0.54
7561;0.09;0.51
1694;0.09;0.52
7813;1.72;1.72
3431;6.05;0.45
10118;1.4;1.4
4483;5.93;3.25
1857;3.48;0.6
2237;3.2;0.49
5641;0.08;0.49
6084;5.15;0.45
7745;2.56;0.48
1899;2.64;0.74
5172;4.43;0.49
9304;2.24;0.45
697;2.95;0.47
10652;3.77;0.68
11003;2.22;0.74
11690;5.14;1.65
3786;5.8;0.24
10753;6.89;0.8
884;1.27;1.27
914;3.33;0.83
8770;3.17;0.44
5601;1.62;1.62
786;2.94;0.83
8340;2.36;0.8
11109;3.69;0.8
799;3.16;0.87
169;1.21;0.93
6700;2.85;0.8
10902;1.86;1.15
7570;3.55;0.8
603;1.58;0.55
3477;0.96;0.63
2598;0.14;0.54
4177;2.03;0.4
1452;1.21;0.51
4633;1.24;0.55
10440;1.48;0.59
12044;1.26;0.62
5289;1.06;0.64
10138;1.51;0.64
1962;1.05;0.6
3874;1.22;0.66
9583;1.47;0.65
9386;1.16;0.7
3351;3.3;1.4
3185;4.32;7.01
1982;5.04;7.07
12637;7.79;6.33
11606;4.98;7.2
8628;2.61;0.34
8279;4.93;7.62
5117;2.09;6.07
6505;9.75;6.1
6256;4.38;4.38
6595;4.04;2.91
5674;0.9;2.6
5570;2.95;2.95
1347;2.99;1.3
4094;6.18;6.18
6995;8.76;1.8
10886;8.12;3.03
2121;0.41;3.15
609;3.33;3.33
6540;9.43;7.74
4846;2.36;2.36
11526;6.09;2.13
199;1.98;1.38
8540;1.64;4.67
126;4.84;2.62
6382;3.36;7.01
6183;2.09;7.62
8679;1.54;1.54
5146;4.3;2.21
3295;1.82;1.01
5450;3.32;2.07
3585;4.54;0.76
12680;2.56;0.82
7161;4.08;6.43
4475;4.38;4.06
1213;1.82;2.65
11599;1.48;1.48
7680;6.99;1.66
910;1.35;2.45
11600;1.65;1.25
6511;1.54;0.98
25;2.7;2.3
6404;3.62;2.66
2867;1.3;2.34
11307;2.47;2.47
792;1.51;1.51
7543;2.59;4.17
10304;0.43;4.06
12032;4.99;4.07
8638;3.38;4.28
9115;2.81;3.53
3480;4.35;4.23
7236;3.13;1.91
4693;1.44;1.44
1548;1.92;1.92
11163;2.56;2.09
3250;1.28;1.28
3925;1.99;2.82
2219;1.63;2.51
6305;0.12;0.29
10106;1.06;1.06
7799;1.37;1.37
8280;1.97;5.43
12209;3.51;4.06
3778;1.07;1.07
7883;2.52;0.31
6237;0.44;2.99
10338;1.34;4.57
8693;1.05;2.82
3016;1.55;3.09
1070;1.52;4.69
10359;0.69;4.61
5571;3.47;1.76
1145;2.62;3.01
11549;1.78;2.37
2620;1.4;2.85
7807;1.5;4.21
8772;0.23;1.3
4132;0.05;1.68
7742;0.23;1.12
