id;fulladdress
10915;TheBurren.cahercloggaun.1963.151
10915;TheBurren.crc.crcsouth2.-
1157;TheBurren.cahercloggaun.1963.152
8920;TheBurren.cahercloggaun.1963.153
9382;TheBurren.cahercloggaun.1963.154
7183;TheBurren.cahercloggaun.1963.155
11408;TheBurren.cahercloggaun.1963.157
11408;TheBurren.crc.westseries1.-
1326;TheBurren.cahercloggaun.1963.158
2689;TheBurren.cahercloggaun.1963.300
8681;TheBurren.cahercloggaun.1963.301
8681;TheBurren.crc.crcb7.-
1513;TheBurren.cahercloggaun.1963.302
7170;TheBurren.cahercloggaun.1963.303
8398;TheBurren.cahercloggaun.1963.304
8398;TheBurren.crc.crcb7.-
1878;TheBurren.cahercloggaun.1963.305
9651;TheBurren.cahercloggaun.1963.306
9651;TheBurren.crc.1stbed.-
4039;TheBurren.cahercloggaun.1963.309
7690;TheBurren.cahercloggaun.1963.150
7690;TheBurren.polnagollum.bpg.mainstreampassage12.93
8763;TheBurren.cahercloggaun.1963.149
8763;TheBurren.crc.crcb7.-
1797;TheBurren.cahercloggaun.1963.148
2916;TheBurren.cahercloggaun.1963.147
10191;TheBurren.cahercloggaun.1963.146
10191;TheBurren.crc.B7p3.-
1543;TheBurren.cahercloggaun.1963.145
12626;TheBurren.cahercloggaun.1963.144
12626;TheBurren.crc.CrcGourPassage.-
340;TheBurren.cahercloggaun.1963.143
10624;TheBurren.cahercloggaun.1963.142
10624;TheBurren.crc.B7p3.-
3793;TheBurren.cahercloggaun.1963.141
6937;TheBurren.cahercloggaun.1963.140
4526;TheBurren.cahercloggaun.1963.139
11898;TheBurren.cahercloggaun.1963.138
11898;TheBurren.crc.PolldoSouthMainEnt.-
2874;TheBurren.cahercloggaun.1963.137
6348;TheBurren.cahercloggaun.1963.136
8547;TheBurren.cahercloggaun.1963.135
8547;TheBurren.crc.crcb7.-
2413;TheBurren.cahercloggaun.1963.134
3182;TheBurren.cahercloggaun.1963.133
2015;TheBurren.cahercloggaun.1963.132
9073;TheBurren.cahercloggaun.1963.131
9073;TheBurren.crc.1stbed.-
7758;TheBurren.cahercloggaun.1963.130
5321;TheBurren.cahercloggaun.1963.129
87;TheBurren.cahercloggaun.1963.128
4183;TheBurren.cahercloggaun.1963.127
12659;TheBurren.cahercloggaun.1963.126
12659;TheBurren.crc.CrcGourPassage.-
