id;x;y;z
10915;515777.84;700846.89;179.0
1157;515773.73;700841.89;179.0
8920;515774.33;700837.66;179.0
9382;515776.36;700833.54;179.0
7183;515775.9;700830.85;179.0
11408;515775.79;700829.36;179.0
1326;515778.52;700821.64;179.0
2689;515781.53;700824.75;179.0
8681;515780.21;700826.97;179.0
1513;515781.99;700828.08;179.0
7170;515780.83;700831.49;179.0
8398;515781.79;700834.76;179.0
1878;515780.02;700838.61;179.0
9651;515781.23;700840.84;179.0
4039;515779.58;700845.94;179.0
7690;515777.56;700848.47;179.0
8763;515775.87;700850.22;179.0
1797;515777.53;700856.01;179.0
2916;515771.66;700864.08;179.0
10191;515775.36;700865.01;179.0
1543;515772.58;700868.44;179.0
12626;515775.21;700869.96;179.0
340;515774.49;700871.13;179.0
10624;515774.79;700874.01;179.0
3793;515772.36;700881.95;179.0
6937;515767.88;700884.23;179.0
4526;515766.31;700888.12;179.0
11898;515768.11;700889.53;179.0
2874;515768.01;700892.42;179.0
6348;515769.61;700893.13;179.0
8547;515767.63;700894.92;179.0
2413;515766.21;700895.95;179.0
3182;515766.14;700898.0;179.0
2015;515764.44;700899.53;179.0
9073;515764.75;700901.72;179.0
7758;515762.47;700901.56;179.0
5321;515763.69;700903.02;179.0
87;515765.5;700903.83;179.0
4183;515766.92;700904.98;179.0
12659;515767.12;700906.8;179.0
8309;515765.45;700909.26;179.0
6483;515766.2;700911.02;179.0
12151;515764.88;700913.85;179.0
8411;515768.91;700915.0;179.0
5247;515768.57;700918.18;179.0
3660;515768.17;700920.28;179.0
7654;515766.49;700921.02;179.0
4554;515764.78;700928.45;179.0
7837;515763.06;700929.07;179.0
10821;515762.21;700931.19;179.0
797;515763.82;700933.78;179.0
11937;515760.85;700938.93;179.0
10487;515761.82;700939.38;179.0
4088;515758.79;700947.68;179.0
4557;515755.98;700947.93;179.0
2614;515755.71;700950.58;179.0
6765;515753.87;700952.3;179.0
5391;515753.78;700954.88;179.0
5217;515750.86;700953.4;179.0
2226;515749.55;700956.98;179.0
2302;515745.49;700957.99;179.0
122;515739.69;700968.89;179.0
5853;515740.39;700971.7;179.0
8510;515740.23;700976.19;179.0
992;515738.14;700978.51;179.0
8997;515739.97;700979.07;179.0
12025;515740.55;700981.12;179.0
7513;515738.58;700982.56;179.0
7689;515741.16;700987.4;179.0
2489;515738.54;700989.24;179.0
7465;515738.32;700992.28;179.0
12144;515736.78;700995.59;179.0
3777;515732.84;701000.64;179.0
6665;515730.57;701002.67;179.0
9390;515733.33;701007.86;179.0
7015;515730.08;701009.37;179.0
10112;515732.34;701016.33;179.0
4697;515728.17;701019.14;179.0
12630;515728.29;701022.64;179.0
4485;515730.51;701023.87;179.0
8039;515729.61;701025.63;179.0
1065;515729.87;701027.13;179.0
2212;515729.04;701029.1;179.0
5025;515728.54;701031.67;179.0
9714;515724.58;701031.6;179.0
10803;515724.4;701033.64;179.0
2039;515719.47;701037.22;179.0
4978;515717.58;701042.7;179.0
183;515718.17;701045.06;179.0
2063;515717.85;701049.62;179.0
201;515718.2;701052.96;179.0
10836;515715.71;701055.63;179.0
8277;515712.36;701055.87;179.0
12708;515712.01;701059.2;179.0
3423;515713.32;701062.29;179.0
10798;515712.6;701062.85;179.0
11;515710.39;701066.13;179.0
5985;515705.9;701068.72;179.0
145;515706.88;701071.93;179.0
4517;515706.26;701073.32;179.0
7086;515705.18;701075.75;179.0
11870;515703.05;701078.79;179.0
9161;515701.6;701082.05;179.0
3519;515700.87;701085.48;179.0
4443;515699.85;701089.87;179.0
10601;515696.63;701092.99;179.0
12516;515696.59;701095.27;179.0
4903;515694.28;701095.94;179.0
3382;515693.39;701099.23;179.0
12002;515693.72;701101.28;179.0
8384;515693.09;701102.77;179.0
4286;515691.39;701103.91;179.0
3661;515691.01;701105.45;179.0
1339;515689.76;701107.61;179.0
9416;515690.45;701110.17;179.0
6228;515689.2;701110.28;179.0
1481;515688.06;701112.33;179.0
2089;515687.74;701116.9;179.0
9020;515688.09;701120.17;179.0
2545;515687.83;701121.64;179.0
1088;515689.95;701123.13;179.0
7599;515690.75;701128.15;179.0
11178;515689.93;701131.19;179.0
9660;515691.74;701136.75;179.0
6267;515690.5;701141.72;179.0
7574;515687.15;701143.66;179.0
334;515680.47;701147.06;179.0
1593;515677.19;701150.58;179.0
5715;515678.1;701152.84;179.0
750;515675.6;701156.04;179.0
9266;515677.13;701157.57;179.0
2927;515674.58;701161.83;179.0
9175;515671.69;701163.7;179.0
16;515674.62;701165.83;179.0
6254;515672.38;701169.03;179.0
759;515675.12;701172.66;179.0
434;515675.71;701174.86;179.0
8731;515677.89;701177.12;179.0
11190;515677.2;701178.68;179.0
6572;515677.92;701180.23;179.0
6993;515676.26;701183.79;179.0
12689;515675.47;701187.18;179.0
7167;515675.23;701189.51;179.0
6193;515673.89;701192.52;179.0
8044;515673.93;701195.02;179.0
2882;515670.95;701201.13;179.0
10537;515672.56;701200.93;179.0
9718;515674.11;701203.41;179.0
5977;515673.68;701205.25;179.0
9850;515673.98;701205.99;179.0
4658;515675.37;701206.44;179.0
3406;515676.2;701209.34;179.0
359;515677.15;701212.87;179.0
6552;515676.89;701215.79;179.0
11790;515677.09;701218.59;179.0
7995;515677.74;701220.36;179.0
6806;515678.72;701224.04;179.0
9427;515680.15;701227.97;179.0
2299;515679.8;701229.36;179.0
2022;515680.84;701230.79;179.0
254;515681.08;701231.98;179.0
5717;515679.1;701232.51;179.0
11072;515679.33;701234.69;179.0
9833;515677.71;701239.68;179.0
2128;515679.48;701240.43;179.0
2273;515677.0;701246.0;179.0
3733;515779.5;700807.65;179.0
12578;515780.71;700807.78;179.0
5785;515781.25;700802.7;179.0
11106;515783.24;700798.42;179.0
1274;515780.09;700786.64;179.0
532;515781.97;700775.98;179.0
9734;515777.12;700762.67;179.0
543;515778.3;700759.04;179.0
12750;515780.15;700753.96;179.0
7285;515783.42;700751.58;179.0
7431;515782.67;700751.74;179.0
3222;515781.81;700747.72;179.0
3140;515784.12;700744.03;179.0
5368;515786.0;700743.03;179.0
12597;515787.91;700735.89;179.0
5443;515787.41;700736.07;179.0
11267;515783.86;700725.76;179.0
8424;515782.45;700723.59;179.0
1840;515779.3;700722.05;179.0
