id;x;y;z
1766;527370.36;698297.97;149.68
1766;527370.36;698297.97;147.81
1766;527371.89;698297.54;149.0
1656;527373.87;698308.31;149.62
1656;527373.87;698308.31;147.64
1656;527372.78;698308.61;148.83
1656;527372.92;698308.57;149.66
1656;527372.92;698308.57;147.65
3425;527376.47;698320.31;149.6
3425;527376.47;698320.31;147.5
3425;527377.97;698319.88;149.06
2001;527380.83;698333.12;149.7
2001;527380.83;698333.12;147.59
2001;527381.78;698338.95;148.75
2001;527380.11;698336.71;148.89
2001;527379.51;698333.28;149.14
8063;527380.41;698342.25;150.77
8063;527380.41;698342.25;148.82
8063;527380.87;698342.27;149.13
8063;527378.97;698342.16;149.13
8425;527379.55;698351.64;149.5
8425;527379.55;698351.64;147.32
8425;527381.65;698348.67;147.33
8425;527382.95;698349.9;147.17
8425;527381.42;698351.52;148.73
12497;527381.81;698362.66;149.3
12497;527381.81;698362.66;147.81
12497;527380.26;698366.56;148.74
12497;527381.83;698365.29;148.55
12497;527380.49;698362.74;148.95
8813;527381.35;698368.9;149.44
8813;527381.35;698368.9;147.86
8813;527382.8;698368.73;148.7
752;527383.4;698375.29;149.62
752;527383.4;698375.29;147.73
752;527384.14;698383.15;148.57
752;527382.23;698380.34;148.84
752;527381.92;698375.38;148.99
6675;527382.4;698383.88;149.31
6675;527382.4;698383.88;147.6
6675;527381.9;698382.19;148.81
5887;527377.19;698383.97;149.24
5887;527377.19;698383.97;147.74
5887;527374.46;698385.88;148.46
5887;527373.48;698383.75;148.67
5887;527377.51;698385.2;148.78
10872;527371.47;698387.2;149.2
10872;527371.47;698387.2;148.16
10872;527372.64;698387.48;148.83
4732;527383.74;698348.31;147.47
4732;527383.74;698348.31;145.95
4732;527380.85;698349.52;147.27
4732;527383.72;698348.07;146.85
4732;527383.91;698349.75;146.85
6688;527389.12;698349.69;147.57
6688;527389.12;698349.69;146.22
6688;527388.3;698350.93;147.26
6688;527388.44;698350.58;146.39
6688;527389.18;698349.56;147.46
6688;527388.36;698351.01;147.67
2772;527378.74;698349.76;147.37
428;527375.65;698349.34;147.15
428;527375.65;698349.34;146.89
428;527375.93;698350.3;146.99
428;527375.22;698347.91;146.99
3201;527373.83;698350.77;147.11
3201;527373.35;698349.01;147.24
10529;527372.53;698355.79;147.3
10529;527372.53;698355.79;145.2
10529;527373.96;698355.49;146.52
8570;527368.99;698349.18;147.37
8570;527368.99;698349.18;145.99
8570;527368.99;698350.38;146.56
743;527373.19;698345.1;148.18
743;527373.19;698345.1;147.35
743;527372.31;698345.75;148.04
743;527374.44;698344.16;148.04
2769;512497.86;701436.06;172.33
2769;512495.18;701436.84;172.62
2769;512497.78;701433.9;172.53
2769;512497.26;701433.93;172.27
2769;512497.07;701433.97;171.49
2769;512497.44;701433.92;171.04
2769;512498.16;701433.92;171.46
10462;512504.07;701427.12;171.73
10462;512504.09;701427.19;171.66
10462;512504.75;701428.69;171.65
10462;512503.94;701426.37;171.97
10462;512503.9;701426.29;171.94
7756;512498.35;701432.32;171.75
7756;512497.57;701431.4;172.14
7756;512497.43;701430.01;172.41
7756;512497.23;701430.14;172.09
7756;512497.0;701430.02;171.38
7756;512497.46;701429.86;170.66
7756;512497.83;701429.92;171.18
7756;512497.38;701428.57;171.46
7756;512496.71;701427.82;171.79
7756;512497.0;701429.6;171.89
7756;512496.69;701428.63;171.35
657;512494.42;701427.39;171.66
657;512494.95;701427.83;171.61
657;512495.52;701427.95;171.66
657;512495.08;701427.43;171.93
657;512496.35;701428.23;170.83
657;512496.33;701428.52;171.55
657;512494.22;701426.89;170.67
9802;512492.59;701425.36;170.39
9802;512493.53;701425.29;170.42
9802;512492.61;701425.39;170.42
9802;512493.17;701425.39;169.88
9802;512492.62;701424.19;170.94
9777;512492.4;701423.3;170.7
9777;512492.26;701421.57;170.74
9777;512491.65;701422.7;170.7
9777;512494.36;701425.09;170.46
9777;512494.02;701424.0;170.41
9777;512492.43;701422.13;170.76
3353;512495.99;701424.66;170.79
3353;512495.61;701423.79;170.42
3353;512498.33;701424.23;170.97
3353;512498.12;701423.5;170.94
3353;512497.24;701424.51;170.74
3353;512497.33;701424.53;171.87
3353;512497.68;701424.16;172.19
3353;512497.52;701423.79;171.28
3353;512497.18;701423.42;170.19
3353;512497.75;701425.63;170.62
3353;512501.06;701423.79;170.84
3353;512497.45;701425.26;170.49
3353;512497.51;701425.25;170.51
3353;512497.61;701425.66;170.64
3353;512497.16;701423.17;170.56
3353;512497.48;701423.33;170.15
487;512498.34;701425.88;171.49
487;512499.87;701427.02;171.77
487;512500.66;701428.42;171.8
487;512503.08;701430.41;171.82
487;512497.49;701424.83;171.45
487;512497.78;701424.36;171.34
3748;512497.63;701423.05;170.38
3748;512498.26;701423.4;170.86
3748;512498.86;701423.91;171.2
3748;512500.15;701423.98;171.17
3748;512500.05;701423.28;171.09
3748;512500.01;701423.33;171.17
3748;512504.66;701426.74;171.69
3748;512503.47;701426.16;171.61
3748;512501.6;701424.9;170.88
3748;512502.29;701425.49;171.0
3748;512502.39;701424.79;171.48
3748;512501.44;701424.28;170.53
2722;512490.87;701419.09;170.74
2722;512488.65;701417.18;170.47
2722;512490.41;701419.72;170.52
2722;512491.34;701421.18;170.73
8944;512488.55;701418.07;170.66
8944;512487.05;701417.09;170.65
8944;512487.1;701415.05;170.66
8944;512487.8;701414.44;170.62
8944;512486.65;701415.92;170.75
8944;512486.68;701416.53;170.67
10638;512486.34;701414.18;170.65
10638;512484.53;701412.64;170.48
10638;512482.65;701410.53;170.31
10638;512483.03;701411.24;170.42
12538;512485.08;701411.81;170.73
12538;512483.71;701410.88;170.69
12538;512483.1;701410.17;170.61
12538;512482.65;701410.54;169.28
12538;512483.04;701410.06;169.95
12538;512482.94;701410.22;171.06
12538;512482.93;701410.45;172.12
12538;512482.69;701410.71;171.29
5707;512482.66;701409.63;170.61
5707;512481.61;701408.96;170.6
5707;512480.66;701409.51;170.49
3876;512479.61;701408.01;170.52
3876;512479.14;701407.66;170.47
3876;512478.43;701407.29;170.47
3876;512475.52;701406.23;170.22
3876;512475.53;701405.23;170.17
9397;512473.65;701403.49;170.35
9397;512473.57;701404.56;170.39
9397;512472.93;701402.34;170.32
9397;512474.29;701405.36;170.33
9397;512472.27;701402.85;168.8
9397;512472.76;701402.5;168.79
9397;512472.85;701402.32;169.98
9397;512472.8;701402.3;171.02
9397;512472.24;701402.82;168.82
9397;512472.77;701402.5;168.8
9397;512472.87;701402.34;169.98
9397;512472.87;701402.47;171.3
9397;512472.65;701402.63;172.05
9397;512472.33;701402.73;170.88
415;512472.14;701401.32;170.34
415;512471.42;701401.6;170.18
415;512470.92;701399.64;170.21
415;512470.34;701400.0;170.18
415;512469.49;701399.58;170.16
415;512467.75;701398.71;170.22
415;512464.86;701397.35;170.12
415;512467.1;701397.77;170.23
9631;512467.28;701398.09;170.09
9631;512464.65;701396.34;170.07
9631;512462.29;701394.63;169.93
9631;512460.91;701393.88;169.95
9631;512461.38;701395.26;170.02
9631;512459.89;701393.48;170.0
9631;512458.93;701393.05;169.97
9631;512459.45;701394.21;169.96
9631;512458.57;701393.47;170.01
9631;512458.05;701392.8;170.04
9631;512458.51;701393.27;169.97
9631;512457.18;701392.36;169.25
2236;512457.29;701393.38;169.91
2236;512456.46;701392.99;169.86
2236;512455.17;701392.12;169.81
6271;512457.52;701392.52;169.61
6271;512456.01;701391.85;169.52
6271;512455.35;701391.58;169.29
6271;512455.13;701392.24;168.92
6271;512455.46;701391.45;170.07
6271;512455.37;701391.49;170.76
6271;512455.7;701391.61;172.0
6271;512455.52;701391.86;172.03
6271;512455.42;701392.04;170.85
6271;512455.26;701392.24;170.12
12283;512454.75;701391.36;169.54
12283;512453.39;701392.0;169.53
12283;512454.65;701391.93;169.66
12283;512451.98;701392.0;169.64
3045;512452.7;701391.65;169.73
3045;512451.84;701391.12;169.76
3045;512450.79;701390.22;169.79
3045;512449.19;701389.43;169.79
3045;512447.98;701389.21;169.59
3045;512451.67;701391.91;169.69
3045;512451.0;701391.33;169.82
3045;512450.61;701390.86;169.93
8701;512446.89;701389.59;169.39
8701;512446.49;701388.98;169.42
8701;512446.32;701388.25;169.44
8701;512448.0;701390.12;169.39
8701;512449.24;701390.48;169.46
8701;512446.73;701387.16;169.26
8701;512445.59;701386.21;169.27
8701;512443.39;701384.65;168.64
8701;512443.65;701384.4;168.67
445;512445.79;701387.85;169.55
445;512444.57;701386.76;169.33
445;512443.61;701385.83;169.36
445;512442.82;701385.64;169.41
445;512441.9;701384.97;169.1
445;512440.32;701384.17;169.17
445;512442.11;701384.25;168.96
445;512443.48;701384.51;168.79
445;512444.67;701385.46;169.17
445;512446.75;701387.38;169.5
445;512443.5;701384.55;168.84
445;512443.48;701384.6;169.61
445;512443.34;701384.93;169.97
445;512443.31;701385.34;171.11
445;512443.38;701385.8;172.11
445;512443.25;701385.88;171.81
445;512443.19;701385.55;170.46
445;512443.16;701385.67;169.93
445;512443.36;701385.63;169.06
445;512442.02;701384.23;168.95
11631;512440.52;701383.19;168.85
11631;512439.9;701383.96;168.56
11631;512439.33;701383.22;168.87
11631;512438.53;701382.22;169.04
11631;512437.81;701381.15;169.08
11631;512437.74;701380.26;168.99
11631;512437.7;701379.32;168.8
11631;512441.53;701383.99;169.09
11631;512440.72;701383.43;168.98
11631;512440.07;701382.87;168.93
11631;512439.28;701382.02;169.05
12619;512438.87;701381.04;169.26
12619;512437.87;701381.07;169.3
12619;512438.85;701380.35;169.12
12619;512438.99;701379.32;169.2
12619;512438.34;701377.56;169.4
12619;512437.78;701376.41;169.36
8630;512437.88;701378.2;169.49
8630;512437.26;701377.06;169.47
8630;512436.86;701375.74;169.41
8630;512437.66;701374.71;169.53
8630;512437.5;701373.82;169.5
8630;512437.15;701373.14;169.56
8630;512436.6;701371.93;169.43
8630;512435.75;701371.99;169.41
8630;512435.6;701370.86;169.47
8630;512435.3;701369.46;169.47
1320;512435.42;701368.23;169.79
1320;512434.84;701367.06;169.73
1320;512434.88;701368.73;169.87
1320;512434.35;701367.23;169.95
1320;512434.75;701366.84;169.97
1320;512433.91;701366.8;169.39
1320;512434.43;701365.45;169.38
1320;512434.09;701363.66;169.71
1320;512433.44;701365.57;169.27
1320;512433.19;701363.66;169.39
2640;512433.68;701363.45;169.45
2640;512433.51;701361.95;169.21
2640;512432.17;701360.36;168.94
2640;512432.36;701360.96;169.04
2640;512432.8;701361.92;169.05
2640;512431.87;701359.65;168.88
2640;512431.35;701359.11;168.77
2640;512432.2;701358.94;168.89
2640;512430.68;701358.09;168.81
6885;512431.33;701359.29;169.17
6885;512430.1;701359.06;169.05
6885;512428.41;701358.5;168.93
6885;512431.66;701356.71;169.08
6885;512430.73;701357.09;168.7
6885;512429.82;701357.41;168.63
6885;512428.74;701357.24;168.55
6885;512432.21;701357.05;168.98
6885;512431.55;701357.62;168.82
6885;512433.13;701356.23;169.01
6885;512430.8;701356.84;168.66
6885;512433.03;701358.02;168.37
6885;512433.25;701357.27;168.21
6885;512429.49;701357.14;169.2
6885;512431.07;701357.02;169.23
6885;512430.11;701357.21;169.15
6885;512432.28;701356.93;168.57
6885;512432.68;701356.0;168.84
6885;512433.4;701356.36;168.61
6532;512428.27;701358.54;168.79
6532;512424.54;701354.63;169.09
6532;512423.28;701352.78;168.23
6532;512423.2;701351.91;168.47
6532;512428.73;701357.5;169.17
6532;512427.69;701356.76;169.14
6532;512427.12;701356.16;169.06
6532;512426.2;701355.44;169.03
6532;512425.03;701354.05;168.86
6532;512426.64;701356.39;167.88
6532;512427.22;701355.89;167.94
6532;512427.3;701356.03;168.64
6532;512427.03;701356.16;169.42
6532;512427.08;701356.3;170.25
6532;512427.0;701356.24;171.53
6532;512426.68;701356.54;170.16
6532;512425.89;701356.87;167.99
6054;512423.83;701353.65;168.27
6054;512423.45;701352.83;168.05
6054;512423.32;701351.05;168.09
6054;512426.3;701354.29;168.53
6054;512425.08;701353.25;167.9
6054;512424.37;701351.91;167.8
6054;512424.69;701351.34;167.95
6054;512424.5;701350.01;167.89
6054;512423.66;701349.54;167.96
6054;512424.47;701349.97;169.12
6054;512425.73;701349.84;169.44
6054;512426.15;701350.58;169.57
6054;512425.45;701352.19;169.4
6054;512425.27;701352.42;169.32
6054;512426.29;701354.3;168.62
6054;512424.86;701353.37;168.96
6054;512425.77;701353.7;169.51
6054;512426.21;701353.32;169.64
11018;512426.54;701354.61;169.92
11018;512427.17;701354.99;170.01
11018;512427.86;701354.79;169.84
11018;512429.67;701356.02;169.93
11018;512429.09;701354.89;169.89
11018;512428.68;701354.28;169.88
11018;512428.01;701353.97;169.96
11018;512427.47;701353.85;169.99
11018;512426.45;701353.41;169.9
11018;512429.56;701356.62;169.93
5187;512422.86;701350.84;168.37
5187;512421.93;701350.36;168.27
5187;512421.47;701349.77;168.17
5187;512420.98;701348.91;167.93
5187;512423.86;701349.6;168.25
5187;512422.81;701349.44;168.18
1436;512422.38;701349.07;168.17
1436;512421.98;701348.3;168.16
1436;512421.43;701347.37;168.05
1436;512421.03;701345.78;168.07
1436;512420.45;701343.88;168.06
1436;512419.3;701342.83;167.99
1436;512420.22;701346.88;167.94
1436;512420.08;701346.1;168.02
369;512419.23;701344.36;168.13
369;512420.14;701345.75;168.13
369;512418.05;701343.64;168.07
369;512416.89;701341.94;167.94
369;512418.43;701342.66;168.16
11372;512417.94;701342.21;168.03
11372;512417.95;701341.69;168.13
11372;512417.72;701340.27;168.08
11372;512416.76;701339.49;168.01
11372;512416.98;701340.97;168.36
5639;512495.08;701428.66;171.71
5639;512495.47;701428.45;171.63
5639;512494.96;701427.84;171.68
5639;512495.03;701428.13;171.67
5639;512495.09;701428.41;171.65
5639;512495.02;701428.64;171.74
4009;512494.84;701428.17;171.68
4009;512494.23;701427.93;171.8
4009;512493.67;701427.9;171.79
4009;512493.47;701428.03;171.96
4009;512494.8;701428.46;171.66
4009;512494.59;701428.34;171.67
4009;512494.3;701428.27;171.84
4457;512493.13;701428.81;172.08
4457;512493.48;701429.34;172.14
4457;512494.02;701428.21;171.98
4457;512493.54;701428.43;172.01
4457;512493.66;701430.01;172.23
4457;512493.63;701430.74;172.16
4457;512493.63;701428.43;172.12
4457;512493.54;701432.07;172.4
10088;512432.85;701356.72;168.62
10088;512434.15;701357.86;168.82
10088;512436.14;701360.04;169.02
12397;512432.5;701355.92;168.71
12397;512433.81;701356.76;168.78
12397;512434.76;701357.58;168.78
12397;512436.07;701358.92;168.76
12397;512436.68;701359.3;169.03
12397;512436.73;701359.42;168.32
12397;512436.67;701360.14;168.21
12397;512436.64;701360.18;168.41
12397;512436.59;701359.34;169.21
12397;512436.66;701359.13;169.87
12397;512436.72;701359.12;170.18
12397;512436.66;701359.52;170.17
5048;512437.21;701358.88;169.1
5048;512438.23;701357.31;169.06
5048;512439.27;701356.92;169.03
5048;512439.0;701357.73;169.24
5048;512440.56;701357.8;169.21
5048;512440.59;701358.85;169.2
5048;512441.1;701360.48;169.05
5048;512440.23;701359.87;169.07
5048;512439.58;701357.78;169.2
5048;512439.59;701357.93;169.96
5048;512439.9;701357.41;170.17
5048;512438.69;701359.19;169.4
5048;512440.23;701358.97;169.6
5048;512439.28;701359.0;169.41
5048;512439.5;701357.77;168.4
5048;512440.3;701358.95;168.32
8968;512440.59;701358.96;169.05
8968;512441.07;701359.66;169.1
8968;512441.23;701359.85;169.24
8968;512442.76;701359.94;169.23
8968;512444.13;701361.03;169.23
8968;512442.46;701360.67;169.34
8968;512441.48;701360.63;169.2
8968;512441.29;701360.53;169.98
8213;512443.47;701361.22;169.54
8213;512442.62;701360.71;169.37
8213;512443.84;701362.68;169.03
8213;512444.93;701363.27;169.29
8213;512444.48;701362.13;169.54
8213;512444.23;701361.15;169.51
8213;512441.21;701361.3;170.11
8213;512443.01;701361.75;170.21
8213;512443.52;701361.12;168.44
8213;512444.66;701361.91;171.78
8213;512443.67;701361.16;170.34
1603;512444.92;701362.51;169.64
1603;512445.13;701362.09;170.29
1603;512445.6;701362.5;169.7
1603;512444.94;701362.5;169.45
1603;512445.55;701362.52;169.64
1603;512445.26;701361.99;170.18
1603;512444.79;701361.85;170.48
1603;512446.71;701362.41;169.34
1603;512445.77;701363.12;169.38
8615;512447.87;701362.43;169.73
8615;512448.2;701362.71;169.46
8615;512446.04;701363.37;170.13
8615;512447.34;701363.49;170.24
8615;512448.25;701362.88;169.64
8615;512446.12;701362.07;169.72
8615;512445.63;701362.48;169.77
8615;512446.96;701361.31;169.74
8615;512448.39;701362.03;169.7
8615;512448.83;701363.49;169.63
8615;512447.8;701364.61;169.41
9864;512448.07;701363.11;169.35
9864;512447.37;701363.7;169.31
9864;512446.84;701364.26;169.36
9864;512446.93;701365.31;169.37
9864;512448.61;701366.25;169.33
9864;512449.38;701366.13;169.37
9864;512450.13;701365.72;169.4
9864;512448.04;701365.11;169.37
9864;512448.62;701365.42;169.59
9864;512448.3;701366.34;170.4
9864;512449.35;701366.28;170.32
9864;512450.19;701367.33;170.36
9864;512451.4;701366.27;170.33
1240;512450.2;701365.68;169.68
1240;512450.96;701366.02;169.61
1240;512451.93;701366.53;169.58
1240;512453.59;701367.61;169.87
1240;512453.22;701367.02;169.42
1240;512449.41;701364.91;169.33
1240;512450.57;701364.84;169.44
11592;512455.12;701368.28;169.72
11592;512456.94;701370.44;169.56
11592;512457.78;701371.3;169.56
11592;512454.65;701369.14;169.79
11592;512455.65;701370.65;169.89
11592;512456.82;701371.67;169.87
11592;512455.55;701369.72;170.31
11592;512457.86;701374.06;169.72
11592;512457.27;701375.87;169.82
11592;512456.74;701375.07;169.84
11592;512456.75;701374.14;169.82
11592;512457.55;701372.58;169.88
11592;512457.13;701373.39;170.35
11592;512457.69;701374.57;170.33
5760;512458.59;701374.08;170.26
5760;512457.96;701374.4;169.92
5760;512457.89;701374.37;170.42
5760;512457.4;701374.26;171.16
5760;512456.84;701374.78;170.11
5760;512456.58;701374.87;169.49
5760;512457.05;701374.65;169.08
5760;512457.22;701374.56;168.71
5760;512457.72;701374.23;168.75
5760;512457.76;701374.41;169.71
11892;512458.08;701374.56;169.39
11892;512459.24;701374.28;169.45
11892;512460.29;701374.18;169.49
11892;512461.38;701375.21;169.54
11892;512458.1;701375.7;170.25
11892;512459.74;701375.48;169.7
11892;512460.66;701376.03;169.53
11892;512460.01;701376.99;169.52
11892;512459.98;701377.98;169.15
11892;512460.91;701377.64;169.56
11892;512461.61;701376.76;169.53
11892;512461.35;701378.35;170.36
9303;512461.13;701378.0;169.74
9303;512461.79;701378.1;169.71
9303;512463.88;701377.49;169.51
9303;512465.21;701378.35;169.64
9303;512461.25;701378.49;170.36
9303;512461.98;701379.18;171.89
9303;512461.11;701378.6;169.01
9303;512460.88;701380.74;170.06
5564;512463.12;701378.9;169.72
5564;512463.89;701379.52;169.7
5564;512463.96;701380.41;169.76
5564;512464.6;701381.55;169.77
5564;512465.41;701382.47;169.82
5564;512466.23;701384.72;169.77
5564;512462.97;701382.76;170.53
5564;512465.83;701379.88;169.83
5564;512466.68;701381.32;169.9
5564;512467.11;701382.49;169.94
5564;512467.42;701383.44;169.98
5564;512468.61;701385.74;170.04
5564;512467.81;701385.3;169.63
5564;512467.67;701386.97;169.62
5564;512463.95;701379.58;169.79
5564;512463.97;701379.63;169.79
5564;512463.36;701379.99;170.37
5564;512463.75;701379.84;170.38
5564;512465.68;701379.51;170.32
5564;512465.33;701379.03;169.24
5564;512463.86;701379.75;169.3
5564;512465.99;701383.39;170.37
5564;512465.51;701383.29;170.36
5564;512467.16;701386.4;170.36
2702;512468.69;701389.52;170.23
2702;512468.01;701389.03;170.25
2702;512466.85;701388.38;170.13
2702;512466.47;701387.28;170.05
2702;512466.22;701387.45;170.6
2702;512467.81;701387.67;170.56
2702;512468.06;701387.6;170.03
2702;512468.6;701387.81;169.9
2702;512469.17;701388.07;170.02
2702;512470.23;701386.11;169.76
2702;512471.36;701385.84;169.99
2702;512471.98;701386.39;169.9
2702;512473.01;701387.1;169.9
2702;512470.07;701389.16;170.08
2702;512470.42;701388.53;170.06
2702;512470.48;701388.16;169.73
1511;512474.27;701387.99;169.63
1511;512474.1;701391.21;170.19
1511;512474.11;701389.59;170.55
1511;512473.97;701388.62;170.5
1511;512475.26;701385.66;170.38
1511;512474.04;701386.6;170.02
1511;512474.37;701387.94;169.63
1511;512473.22;701385.5;170.33
1511;512471.81;701385.27;170.25
1511;512471.29;701385.76;170.21
1511;512470.09;701386.04;170.09
1511;512472.31;701388.19;170.14
1511;512472.66;701388.88;170.13
1511;512473.08;701390.08;170.12
1511;512474.59;701391.48;170.22
1511;512475.95;701391.02;170.21
1511;512477.29;701390.5;170.28
1511;512474.95;701390.27;170.61
1511;512475.25;701388.38;170.6
1511;512478.38;701389.57;170.6
1511;512477.52;701388.2;170.47
1511;512477.07;701387.24;170.44
1511;512476.5;701386.16;170.41
1511;512475.36;701385.66;170.44
1511;512479.13;701392.36;170.54
1511;512479.89;701392.11;170.58
1511;512481.21;701391.65;170.62
1511;512479.65;701389.83;170.4
1511;512476.6;701389.1;169.75
1511;512478.85;701388.82;169.75
8422;512477.83;701388.23;170.37
8422;512479.76;701387.35;170.29
8422;512482.05;701388.93;170.15
8422;512483.02;701389.71;170.32
8422;512482.35;701390.77;170.74
9636;512485.07;701394.6;170.44
9636;512483.3;701396.18;170.46
9636;512485.48;701395.3;170.32
9636;512481.77;701392.34;170.46
9636;512481.39;701394.03;170.56
9636;512482.6;701395.23;170.57
9636;512484.31;701391.36;170.45
9636;512489.54;701394.35;170.71
9636;512488.48;701395.93;170.65
9636;512487.32;701392.89;170.79
9636;512487.14;701396.0;170.65
9636;512486.89;701399.19;170.7
9636;512485.17;701397.77;170.53
9636;512497.66;701399.46;170.83
9613;512488.25;701399.8;170.63
9613;512489.44;701400.66;170.59
9613;512489.73;701401.56;170.6
9613;512490.27;701401.78;170.5
9613;512491.26;701402.55;170.53
9613;512492.38;701404.07;170.72
9613;512490.41;701402.06;170.17
9613;512490.88;701402.91;170.26
9613;512491.01;701403.74;170.35
9613;512490.41;701403.51;170.38
9613;512486.62;701403.06;170.98
9613;512484.25;701399.41;170.61
9613;512484.61;701400.76;170.66
9613;512488.27;701402.04;171.1
9613;512488.27;701402.06;171.09
79;512489.6;701404.45;170.78
79;512489.34;701405.6;171.04
79;512489.89;701405.95;171.05
79;512490.48;701405.77;170.93
79;512490.41;701407.42;170.95
79;512491.42;701407.68;170.96
79;512492.79;701405.26;170.85
79;512494.11;701406.71;171.02
79;512494.14;701408.04;170.99
79;512493.78;701408.61;170.88
79;512490.43;701404.2;170.27
79;512491.06;701407.28;170.46
79;512492.99;701409.0;170.11
12363;512494.07;701411.54;170.94
12363;512494.65;701410.73;171.01
12363;512495.04;701409.59;170.96
12363;512495.97;701410.99;171.04
12363;512496.93;701412.39;171.09
12363;512497.9;701413.2;170.95
12363;512499.14;701414.7;171.02
12363;512494.59;701411.17;170.4
12363;512495.32;701414.37;171.01
12363;512496.78;701415.28;171.07
12363;512499.25;701416.56;171.36
10498;512500.13;701415.28;171.16
10498;512501.29;701415.92;171.26
10498;512502.72;701415.62;171.4
10498;512504.48;701416.37;171.6
10498;512504.77;701418.16;171.52
10498;512500.88;701416.74;170.77
10498;512504.07;701418.33;171.13
10498;512499.62;701417.27;171.25
10498;512498.93;701419.18;171.23
10498;512501.35;701419.79;171.7
10498;512502.44;701419.5;171.52
10498;512502.57;701418.55;171.24
2934;512503.32;701419.36;171.34
2934;512506.33;701419.95;171.19
2934;512506.81;701420.05;171.18
2934;512507.3;701420.18;171.17
2934;512504.63;701418.44;171.16
2934;512506.08;701418.55;171.09
2934;512506.88;701418.51;171.13
2934;512507.67;701418.47;171.15
2934;512508.39;701418.33;171.05
9426;512513.82;701421.84;171.02
9426;512513.56;701420.77;171.06
9426;512523.1;701426.48;171.19
5298;512416.45;701340.54;167.97
5298;512415.37;701340.43;167.95
5298;512413.45;701340.08;167.8
5298;512416.61;701339.51;168.13
5298;512415.01;701339.59;168.16
5298;512416.76;701341.15;169.99
5298;512416.74;701340.02;166.82
6163;512413.07;701339.77;169.51
6163;512413.3;701339.24;169.59
6163;512413.5;701339.14;169.23
6163;512413.36;701339.11;168.18
6163;512413.21;701338.92;167.06
6163;512412.76;701339.72;167.1
6163;512412.08;701339.16;171.18
6163;512412.1;701338.97;168.26
6163;512411.15;701337.38;167.97
6163;512410.51;701335.76;167.83
6163;512413.3;701339.05;168.24
6163;512412.78;701338.5;168.22
6163;512410.6;701334.58;167.78
6163;512409.79;701334.14;167.7
