id;cswidth;csheight
8192;4.02;0.59
8202;1.28;0.66
8203;12.75;1.19
8204;0.16;2.32
17;1.56;0.12
8213;4.13;3.29
8216;1.76;1.76
25;2.7;2.3
33;3.02;1.09
36;3.88;5.19
8244;0.48;0.43
55;1.7;0.67
61;4.96;1.77
8270;3.1;0.54
79;5.88;1.24
8275;1.54;0.21
83;3.26;0.94
8276;0.2;4.34
8279;5.01;7.62
8280;1.96;5.43
91;5.17;0.86
8283;1.78;0.6
98;2.0;0.65
99;5.48;0.71
8290;6.19;1.42
8301;2.22;1.9
8306;2.52;3.86
117;10.56;0.42
126;4.91;2.55
8318;0.19;0.84
127;6.25;1.0
133;1.75;1.75
134;1.66;0.7
8329;3.15;1.93
8333;2.81;1.52
143;2.47;0.47
8337;1.34;0.76
8340;2.35;0.8
152;7.13;3.14
157;6.47;4.17
8351;9.23;2.94
8354;5.64;2.81
162;4.79;4.07
165;1.76;4.99
8359;2.07;4.63
169;1.22;0.93
172;4.55;4.55
173;2.36;0.46
180;0.34;0.65
182;10.79;7.59
189;4.34;4.34
192;1.79;0.83
195;1.49;1.13
199;1.98;1.37
8392;5.49;2.14
8393;1.63;0.73
205;5.03;1.16
215;3.47;2.75
216;3.26;0.76
219;6.06;2.95
8413;1.96;2.73
8415;2.24;1.13
8416;1.56;0.47
8417;0.26;0.24
8418;1.36;1.36
8420;8.15;6.97
8422;5.3;0.89
233;1.12;0.7
238;4.75;0.9
8435;15.06;2.84
251;0.38;0.72
258;3.37;0.24
8451;0.75;0.65
259;4.44;1.76
8452;4.88;5.12
265;8.18;2.28
270;8.8;1.48
271;3.71;1.82
8463;1.29;2.89
8467;3.9;1.15
8476;0.08;0.62
8483;0.17;1.05
294;2.48;2.48
8490;12.07;0.8
311;3.03;3.03
8503;3.84;4.41
8507;5.06;1.55
8515;2.95;0.46
8518;1.03;0.28
341;0.32;1.5
8534;7.37;3.54
8533;3.22;0.57
8537;1.88;3.11
8540;1.61;4.67
354;3.71;1.46
357;4.05;1.08
8559;2.93;1.73
369;4.99;0.21
374;2.62;0.56
8571;1.78;0.12
383;0.34;0.59
8576;6.61;0.32
8584;2.13;1.02
8586;8.11;0.95
400;8.3;1.83
8595;9.15;0.64
407;1.43;0.65
8604;0.41;1.98
413;0.51;2.09
415;8.1;0.21
8610;2.65;2.22
8611;0.89;0.89
8612;0.31;3.35
8615;3.05;0.95
8616;2.06;0.76
423;1.33;0.69
427;5.18;1.72
8625;7.46;0.59
8628;2.62;0.34
8630;9.11;0.85
443;3.54;3.37
445;7.15;3.37
8638;3.38;4.28
450;1.24;1.24
8645;3.69;0.26
455;0.16;5.1
460;2.03;0.62
462;4.06;2.15
8661;1.54;1.0
475;0.38;0.61
8669;2.12;2.12
478;2.65;0.54
486;3.43;2.07
487;3.47;3.03
8679;1.54;1.54
8690;0.65;0.58
499;1.96;0.66
8693;1.04;2.82
502;2.53;3.64
8701;8.25;0.72
8705;1.48;0.79
515;6.52;3.36
8709;3.38;3.08
524;0.29;0.69
8718;0.59;2.03
530;0.39;0.45
8724;4.04;3.52
8725;2.97;1.21
534;3.43;1.42
533;0.73;3.52
539;10.26;0.42
540;16.15;7.58
549;1.33;0.13
575;1.02;6.02
8769;0.09;0.73
8770;3.17;0.45
8772;0.24;1.3
8774;2.59;0.34
8777;5.54;1.25
8792;2.49;0.69
602;4.06;3.46
603;1.58;0.55
604;1.49;0.6
609;3.33;3.33
616;1.4;0.57
622;0.88;0.28
624;8.46;1.76
630;3.86;1.24
8824;0.8;0.1
8825;7.74;2.19
8826;2.57;1.71
640;10.46;1.53
8833;2.14;3.84
647;0.69;1.5
652;2.56;1.63
654;1.99;3.23
8848;0.38;2.51
657;2.6;1.26
8849;1.27;4.59
8852;5.03;1.76
8856;7.45;4.1
675;3.15;3.15
8878;0.4;0.15
688;2.88;1.98
8880;0.4;3.65
697;2.97;0.45
716;1.34;1.34
8910;2.55;0.62
724;2.5;0.61
725;4.31;0.35
726;1.75;0.81
8918;3.94;1.82
732;4.3;1.86
744;8.29;1.29
8938;4.12;1.9
8944;3.57;0.2
753;1.81;0.41
755;2.78;0.41
757;1.55;0.65
8951;3.6;2.12
761;3.5;0.79
8957;9.48;0.93
8961;1.93;0.15
8967;2.0;2.68
8968;3.99;1.0
786;2.96;0.83
787;1.72;0.59
792;1.51;1.51
793;3.21;4.98
795;0.34;4.23
798;0.69;0.19
799;3.13;0.87
8994;3.35;4.43
803;10.39;2.08
805;8.06;1.13
8999;4.42;0.89
9006;0.05;1.96
815;1.36;1.36
9007;3.15;1.79
821;1.78;3.9
9016;2.09;2.87
9018;3.78;0.27
847;6.27;2.34
9052;1.78;1.48
868;2.57;1.25
870;1.79;6.39
871;3.54;1.33
9069;0.12;1.62
884;1.27;1.27
9076;2.01;2.4
9085;0.65;1.65
897;1.78;1.76
9094;6.46;2.55
903;3.79;0.55
910;1.36;2.46
9104;3.07;2.14
9105;1.96;0.96
914;3.33;0.82
9113;4.85;0.38
921;4.12;0.94
9115;2.78;3.53
9120;5.86;3.57
9124;1.3;4.29
9125;7.03;3.58
935;2.01;0.68
9128;3.53;2.9
9127;0.23;5.04
9138;15.07;7.79
950;0.93;0.53
9145;3.53;0.35
9147;1.71;1.84
959;2.62;1.4
9159;0.52;1.18
9160;1.77;0.39
9163;2.08;1.24
977;1.12;2.85
9176;5.07;1.97
9177;1.24;0.59
9178;6.43;0.5
9181;3.02;0.62
991;1.8;1.38
9187;1.77;1.94
9191;6.44;3.96
9198;0.26;4.98
1012;3.34;0.99
9206;6.75;1.25
9216;0.64;3.48
9224;5.47;0.47
9225;8.76;6.63
1044;8.33;2.89
1046;5.2;0.55
1063;22.83;3.8
9255;1.13;1.31
9260;2.42;1.56
1070;4.22;2.71
1071;1.53;4.68
1073;2.91;6.93
9273;0.72;0.72
9274;0.04;1.33
1083;7.22;0.5
1087;4.3;5.83
1101;0.32;3.99
9297;0.88;0.88
9303;2.53;2.91
9304;2.25;0.45
1119;2.49;1.03
9324;2.69;0.58
9333;6.29;1.02
1141;18.11;7.93
1145;2.61;3.01
1146;5.93;1.53
9339;1.41;1.73
9342;3.27;1.22
9352;3.58;7.05
9370;2.29;2.29
1185;2.38;2.21
1191;4.14;1.96
9385;4.77;1.92
9386;1.14;0.7
9397;3.31;3.27
1213;1.82;2.65
9407;1.83;4.6
9415;3.9;5.81
9423;0.94;3.74
1233;2.02;2.02
9426;6.71;0.42
1239;3.95;1.38
1240;4.85;0.55
9435;1.17;0.5
1245;4.56;6.49
1250;3.5;3.5
9443;1.53;1.53
1255;0.61;0.32
9454;5.37;7.32
9456;3.55;3.17
1265;2.84;2.84
1272;4.39;0.91
9466;5.37;1.07
1278;1.9;1.05
1279;1.69;0.45
1280;2.18;2.92
9475;1.14;0.85
1292;1.78;2.03
1299;4.39;2.19
1303;2.43;2.09
1310;5.38;2.29
9502;0.62;4.33
