from_id;to_id
11268;11300
11268;2421
5637;90
5637;5127
1031;1220
1031;4784
5127;3946
1033;9952
1033;8048
9737;366
9737;12401
5643;7425
5643;72
9227;2331
9227;11712
1545;4345
1545;11300
6686;72
6686;6491
11299;5366
11299;8764
1572;11559
1572;5983
5163;5833
5163;9528
12335;6744
12335;11756
9778;5975
9778;11203
10808;11140
10808;4972
2104;2666
2104;8440
5178;8764
8764;11029
7229;12111
7229;3312
6721;800
6721;3527
10309;3772
10309;4359
10309;11666
4677;6322
4677;11418
72;5751
8265;3687
8265;7034
10827;11029
10827;8487
588;4572
588;7291
80;4059
80;9842
6744;4784
90;393
2141;7403
2141;4971
9822;8843
8287;12178
8287;4255
8287;5876
3687;717
10856;8048
10856;5498
2666;7456
12401;7057
9842;12729
5751;10386
1147;3901
1147;3064
7291;813
635;10709
635;4757
6268;2331
6268;8062
5256;3457
5256;277
12426;11712
12426;4572
8843;10994
8843;11559
4757;7116
5271;3946
5271;4555
10904;6321
10904;484
11418;9514
7322;4572
7322;3959
7836;811
7836;717
2718;9952
2718;2250
4255;800
10400;811
10400;9666
10400;2046
8863;5975
3246;9575
3246;7649
3761;1485
3761;12591
6322;3509
6321;12484
7348;11257
7348;9530
2225;11203
2225;2331
3772;277
2238;12591
2238;2007
2238;7938
1220;10526
12484;11257
5316;4562
5316;4345
5833;3453
10954;7938
10954;393
2250;5891
5322;3376
7372;11756
2767;4534
6349;3527
6349;811
11986;813
2259;9719
2259;1485
3283;3959
6870;9578
6870;2403
9952;5403
1762;7921
1762;4001
7403;7613
9455;6409
9455;6087
3312;3901
6385;5507
6385;4906
6386;7952
6386;7414
7921;10117
5876;8037
10994;8062
5366;11666
7414;7425
8440;6495
4359;3509
6409;9575
7945;5953
7952;11029
7441;11545
7441;12111
4368;6608
4368;5953
2840;7034
2840;11257
11545;7057
5403;2968
10526;4972
7456;1434
8487;6087
9514;5600
4906;1434
3376;4972
1845;5983
1845;4562
9528;12178
9530;4534
830;3064
830;5975
1867;10709
1867;11205
7001;2007
7001;4059
6491;7613
2403;10709
2403;4455
8037;10117
9575;484
9578;5029
4971;366
10612;12729
2421;3453
5498;3457
5507;5600
11140;11205
7560;6132
7560;5029
2968;4555
4001;6608
12761;4059
12761;6132
