id;x;y;z
10241;509235.26;702774.49;-10.7
5126;509141.15;702824.67;-9.9
2569;509176.22;702803.49;-9.9
8218;509411.43;702878.94;-6.7
11806;509217.54;702761.93;-10.8
12323;509409.37;702920.54;-4.7
5158;509085.16;702852.16;-8.8
12330;508960.83;702768.97;-12.0
7728;509388.29;702790.69;-8.1
11828;509013.04;702814.42;-11.0
2612;509017.44;702819.43;-10.4
572;509200.28;702759.15;-11.6
66;509208.54;702761.48;-11.1
6211;509416.72;702964.8;-3.7
8261;509089.71;702863.88;-8.0
77;509402.2;702862.74;-7.0
5198;508977.71;702783.34;-12.4
4691;509222.37;702765.81;-10.6
5720;509386.48;702785.79;-9.0
1629;509387.31;702824.09;-7.3
11871;508924.23;702742.6;-13.4
7798;509438.36;702976.81;-3.4
7289;508934.3;702749.68;-13.2
3707;509473.16;703007.36;-2.9
7296;509312.18;702733.37;-11.1
10377;509253.4;702752.87;-11.0
7827;508865.63;702804.9;-11.7
4250;509299.35;702737.85;-10.8
4763;509139.72;702831.52;-9.8
2721;509374.09;702760.68;-9.2
1187;509321.78;702737.54;-9.2
3236;508905.75;702761.35;-12.8
9894;509394.09;702805.6;-8.0
168;509183.75;702782.52;-10.6
685;509131.1;702853.33;-9.2
1199;509426.11;702968.52;-4.4
8371;509391.52;702815.36;-7.7
9909;509170.63;702801.38;-10.5
7862;508886.97;702775.63;-12.5
5304;508942.46;702757.49;-13.5
7358;509410.65;702887.18;-5.5
8390;509412.85;702958.16;-4.2
6347;509411.94;702882.91;-6.6
11468;509042.0;702823.04;-10.7
5843;509458.65;702995.72;-2.7
7380;508884.23;702781.3;-12.4
1767;508968.94;702776.19;-11.8
12520;509391.84;702841.92;-7.6
10998;508913.1;702751.86;-13.0
4344;509108.39;702870.74;-7.6
11002;508880.46;702786.18;-11.8
2814;508917.95;702744.31;-12.3
4869;509356.38;702752.91;-10.5
5898;509121.4;702864.6;-7.0
12563;508868.65;702815.98;-11.1
4885;508964.81;702770.56;-12.3
4890;509022.39;702821.31;-10.7
9500;509446.24;702986.11;-3.0
285;508947.8;702765.54;-12.8
9005;509157.8;702791.63;-10.0
12088;509402.41;702865.02;-6.8
5952;509259.23;702750.0;-11.2
321;509228.07;702767.85;-11.3
7491;509259.65;702743.58;-12.1
9031;509406.9;702928.25;-4.5
339;509477.69;703015.46;-2.3
6488;509132.19;702858.8;-7.6
8031;509130.74;702861.43;-7.6
10591;509317.24;702733.35;-10.4
6498;509096.27;702873.37;-7.4
5987;508928.3;702746.1;-12.8
6500;509407.46;702907.37;-4.8
8563;509135.6;702840.07;-9.4
10616;508943.69;702759.51;-13.1
2942;509068.26;702843.27;-9.5
8593;509286.04;702745.94;-11.7
8605;509187.1;702759.89;-11.2
12192;509421.83;702968.09;-4.2
9131;509369.39;702758.09;-10.4
3504;508984.06;702794.68;-12.0
1458;509168.16;702792.31;-10.6
1459;509241.56;702761.24;-11.1
4532;508989.78;702800.55;-11.9
10679;509211.92;702760.56;-11.2
3000;509395.79;702850.29;-6.7
10176;508861.58;702824.78;-9.5
8142;509265.54;702733.26;-11.5
5073;509186.19;702773.86;-11.0
8672;509346.7;702744.57;-9.8
5089;509239.45;702769.27;-10.9
3555;508866.0;702839.0;-7.7
10212;509408.51;702868.23;-6.7
2534;509432.21;702971.86;-3.6
9703;509093.35;702872.76;-7.7
2538;508871.52;702794.59;-12.6
10736;509032.04;702820.42;-10.9
4593;508972.97;702780.63;-11.7
8689;509001.93;702808.07;-11.2
11249;509051.93;702825.29;-10.0
3060;509405.5;702896.56;-5.3
10239;509129.28;702863.45;-7.7
